target,slice,n,champ_mae,best_simple_mae,best_simple_adaptive_mae,d081_ref_mae,champ_skill_vs_best_simple,champ_skill_vs_best_simple_adaptive,champ_skill_vs_d081_ref,best_simple_skill_vs_d081_ref
pts,pooled_wf,9517,4.227561938738641,4.147585220885528,4.145064253988364,4.203732679236231,-0.019282718399704857,-0.019902631104185664,-0.005668595346252969,0.013356572036094527
pts,decision_stratum_wf,3549,5.077011208948848,5.047955930814265,5.064641072723039,5.050975338048395,-0.005755850196159873,-0.0024424507182614352,-0.005154622455652902,0.0005977869682682879
pts,outside_decision_stratum_wf,5968,3.7224185975898427,3.6121603466333343,3.598218052632908,3.6999015471778582,-0.0305241850792346,-0.03451723690454345,-0.006085851238165851,0.023714469000249316
pts,tier_0,47,6.4508039704544835,5.682825167487695,5.682825167487696,6.5186523046052285,-0.13514031847407715,-0.13514031847407715,0.010408337641020116,0.128220849657382
pts,tier_1-2,610,6.314021833368278,4.573324873259771,4.593004188510488,5.0422852996047185,-0.38061957292523907,-0.3747041313750503,-0.2522143151763456,0.09300553191262528
pts,tier_3-7,1474,3.8394568368194877,3.878598902757237,3.878370160267171,3.922984105446792,0.0100918055512067,0.010033421731205472,0.021291768302434066,0.011314142881162614
pts,tier_8-14,1912,4.026388609787978,4.048409523671656,4.046215786039455,4.050772201125233,0.005439398794740979,0.004900177672156225,0.00601949211818964,0.0005832659394969797
pts,tier_15-24,2403,4.023168089662859,4.076923914849031,4.079914355396263,4.1034852197896905,0.013185388373420759,0.013908690425902925,0.019572905914096994,0.006472864776644882
pts,tier_25+,3071,4.2505628613361255,4.285667740898921,4.273081983779053,4.310167116275234,0.00819122752512591,0.005269995410434936,0.01382875729204136,0.005684089436765238
pts,season_2023,4748,4.226803415354732,4.193619419034963,4.18690551360491,4.210549650702809,-0.007912972781732641,-0.009529209966687269,-0.0038602477111771005,0.0040209077370741975
pts,season_2024,4769,4.228317122011193,4.101753731513853,4.1034072398010375,4.196945725886827,-0.030855921340413817,-0.030440527812738427,-0.007474815776355337,0.02268125455752934
minutes,pooled_wf,9517,5.099994974918809,4.884528084606725,4.875499196218545,5.296698859382703,-0.04411212026625755,-0.04604570109956829,0.037137071539464106,0.07781653926687726
minutes,decision_stratum_wf,3549,4.325778845981634,4.323591891517416,4.316710988337359,4.619604221289363,-0.0005058188929691898,-0.002100640434065104,0.06360401481010858,0.06407742213235046
minutes,outside_decision_stratum_wf,5968,5.560399304945291,5.21810089782287,5.207794663673359,5.699347798825273,-0.06559827297805532,-0.06770709370158223,0.024379718308930376,0.08443894248769934
minutes,tier_0,47,12.369931938720248,12.022355133709192,10.221090071309938,12.24272872856148,-0.028910874878125492,-0.21023607584106863,-0.010390102809515911,0.018000365746744795
minutes,tier_1-2,610,10.144001639534096,7.037971586838761,6.982490815686493,7.077995486606366,-0.4413246081447264,-0.4527769398199739,-0.43317435829529827,0.0056546941635300385
minutes,tier_3-7,1474,4.693912613128662,4.602926758100417,4.617874066866096,4.746028596196508,-0.01976695694063002,-0.016466136832997025,0.010980966930880354,0.03015191231902259
minutes,tier_8-14,1912,4.701842987977362,4.702637623094993,4.708151464321313,4.91426987606381,0.00016897647263480753,0.00133990513936455,0.04322654096005729,0.043064841432422285
minutes,tier_15-24,2403,4.803659355231518,4.805095676645248,4.805095676645248,5.443560290553517,0.0002989162985268523,0.0002989162985268523,0.11755191477027482,0.1172880577838421
minutes,tier_25+,3071,4.661504382833267,4.658104309400864,4.658104309400864,5.22406122293883,-0.0007299264264093441,-0.0007299264264093441,0.10768572880336436,0.10833657749891057
minutes,season_2023,4748,5.048011723847635,4.867129872230871,4.878833785469593,5.224806639264769,-0.037163966519318636,-0.03467589711334229,0.03383759967086797,0.06845741703548103
minutes,season_2024,4769,5.151749320921314,4.901849685017829,4.872179290627441,5.368274506503681,-0.05098068116353849,-0.057380899514859474,0.04033422384046237,0.08688542676436861
fga,pooled_wf,9517,2.6389777226770477,2.558836001322271,2.5535204107783236,2.6390234186339177,-0.0313196005188936,-0.033466469090284834,1.7315479865498418e-05,0.030385261739418468
fga,decision_stratum_wf,3549,2.9325658784882913,2.928533158462893,2.9167984947024888,2.9672656194668114,-0.001377044345133971,-0.005405715826595214,0.011694180915544528,0.013053250356089952
fga,outside_decision_stratum_wf,5968,2.4643891896720045,2.3389876081097936,2.337489257988969,2.4438271098611395,-0.05361361519292185,-0.054288990312713725,-0.008413884815294148,0.042899721231631216
fga,tier_0,47,4.788626844003946,4.187397628884782,4.187397628884782,4.768478747456209,-0.1435806360905083,-0.1435806360905083,-0.004225267137550892,0.12185880431603269
fga,tier_1-2,610,4.583437905658392,3.1685778203014676,3.149075313040375,3.51319480015981,-0.44652843186988855,-0.45548691283383946,-0.304635286790786,0.09809219228113009
fga,tier_3-7,1474,2.382075959452426,2.358641292800145,2.386690414305618,2.3712298895134722,-0.009935663690708862,0.0019334115667174467,-0.00457402716915789,0.005308889184047039
fga,tier_8-14,1912,2.3893047695900003,2.3837304279765488,2.38869367143603,2.4121511014554953,-0.002338494969073901,-0.00025582943567781236,0.009471351878292178,0.01178229401209463
fga,tier_15-24,2403,2.526166275989097,2.57300645447042,2.5548930474173144,2.652674926022642,0.01820445432616058,0.011243825434202326,0.047690973663037206,0.030033258418013187
fga,tier_25+,3071,2.586870777501435,2.606817880713637,2.591839191289193,2.69189675530866,0.007651897495325355,0.0019169452350501492,0.039015603997480386,0.031605548922795657
fga,season_2023,4748,2.6297493513868715,2.5875142697937146,2.589514332037223,2.6273828387501483,-0.01632264682989515,-0.015537670076533283,-0.0009007110048144806,0.015174251870884281
fga,season_2024,4769,2.648165457398322,2.5302840158531126,2.517684986551597,2.6506127399356867,-0.04658822519789907,-0.051825574503441274,0.0009232893589065094,0.04539656897804456
ppm,pooled_wf,9517,0.18269237180042866,0.18029301753872462,0.18042605959937455,0.18452018948290308,-0.013308082001504573,-0.012560891736406177,0.009905786936360017,0.022908994164945518
ppm,decision_stratum_wf,3549,0.15203529915506928,0.15115347100966636,0.1516430932073456,0.15229007425199,-0.0058339920314931515,-0.00258637528045802,0.001672959305930588,0.007463409863750825
ppm,outside_decision_stratum_wf,5968,0.200923261682865,0.1976214777652038,0.19754247175173897,0.2036865230878814,-0.01670761677829402,-0.017114243337882362,0.01356624563631137,0.02977637023172519
ppm,tier_0,47,0.23185801167187536,0.20636624291327288,0.21764154542919986,0.21917326016591687,-0.12352683461565772,-0.06532055364080391,-0.05787545203441313,0.058433301776635194
ppm,tier_1-2,610,0.2267198321577668,0.20164480469868656,0.20104763624328206,0.22516746602945667,-0.12435245974499232,-0.12769210518555685,-0.006894273651891769,0.10446740706178592
