target,slice,n,champ_mae,best_simple_mae,champ_skill_vs_best_simple,mean_abs_err_diff,p_two_sided_blockflip
pts,pooled_wf,9517,4.227561938738641,4.147585220885528,-0.019282718399704857,0.07997671785311423,0.00024993751562109475
pts,champion_FALLBACK_rows,698,6.3099108410083815,4.6667495259468215,-0.3520997443564715,1.6431613150615603,0.00024993751562109475
pts,champion_MODELLED_rows,8819,4.062749654603901,4.106494770161774,0.010652665595906718,-0.043745115557872895,0.00024993751562109475
pts,modelled AND decision stratum,3549,5.077011208948851,5.047955930814263,-0.005755850196160761,0.029055278134586426,0.03199200199950013
pts,modelled AND >=3 priors,8819,4.062749654603901,4.106494770161774,0.010652665595906718,-0.043745115557872895,0.00024993751562109475
minutes,pooled_wf,9517,5.09999497491881,4.884528084606726,-0.04411212026625755,0.2154668903120849,0.00024993751562109475
minutes,champion_FALLBACK_rows,698,10.236700649149347,7.281563164561098,-0.4058383368794647,2.955137484588248,0.00024993751562109475
minutes,champion_MODELLED_rows,8819,4.693438612449946,4.694809240541848,0.00029194542774302334,-0.0013706280919021537,0.7743064233941515
minutes,modelled AND decision stratum,3549,4.325778845981633,4.323591891517417,-0.0005058188929687457,0.002186954464215904,0.6628342914271432
minutes,modelled AND >=3 priors,8819,4.693438612449946,4.694809240541848,0.00029194542774302334,-0.0013706280919021537,0.7743064233941515
fga,pooled_wf,9517,2.6389777226770477,2.558836001322271,-0.0313196005188936,0.08014172135477651,0.00024993751562109475
fga,champion_FALLBACK_rows,698,4.57170906615421,3.1995426204486472,-0.4288633121921517,1.3721664457055625,0.00024993751562109475
fga,champion_MODELLED_rows,8819,2.486007263696772,2.508125805137873,0.008818752789748974,-0.022118541441101543,0.0012496875781054736
fga,modelled AND decision stratum,3549,2.9325658784882913,2.928533158462894,-0.0013770443451335268,0.0040327200253977204,0.6863284178955261
fga,modelled AND >=3 priors,8819,2.486007263696772,2.508125805137873,0.008818752789748974,-0.022118541441101543,0.0012496875781054736
ppm,pooled_wf,9517,0.18269237180042863,0.18029301753872462,-0.013308082001504351,0.0023993542617040393,0.00024993751562109475
ppm,champion_FALLBACK_rows,698,0.22721413833413928,0.20332879262021678,-0.11747153664821197,0.0238853457139225,0.00024993751562109475
ppm,champion_MODELLED_rows,8819,0.17916859438342786,0.178469798238704,-0.00391548683093812,0.000698796144723828,0.07223194201449637
ppm,modelled AND decision stratum,3549,0.1520352991550693,0.1511534710096663,-0.005833992031493596,0.000881828145403015,0.002749312671832042
ppm,modelled AND >=3 priors,8819,0.17916859438342786,0.178469798238704,-0.00391548683093812,0.000698796144723828,0.07223194201449637
