arm,drop_pct,n_kept,mae,rmse,mae_reduction,mse_reduction
L1,0,2945,4.277748815621224,5.672216857503573,0.0,0.0
L1,10,2650,4.185247540363613,5.599945500577599,0.021623821136907417,0.02532023848539411
L1,20,2356,4.083413939672704,5.492813044811048,0.045429239612868155,0.06225667275183577
L1,30,2061,3.988618843691977,5.413998212711252,0.06758928221157345,0.08897443617340561
L1,40,1767,3.8616735914154074,5.292840983730205,0.0972649966464646,0.12929299124903026
L1,50,1472,3.8247352449129344,5.312716339316887,0.10589999325205868,0.1227414610007378
L4,0,2945,4.277748815621224,5.672216857503573,0.0,0.0
L4,10,2650,4.118463360334334,5.478456528127103,0.03723581307654644,0.06715220948583833
L4,20,2356,4.024266326579067,5.366866458943241,0.05925604797469752,0.10476732369075248
L4,30,2061,3.8817919118518693,5.209832811572188,0.09256198080715328,0.1563896083976728
L4,40,1767,3.7962254124517743,5.167691088314639,0.11256467453419694,0.16998214091301245
L4,50,1472,3.7085400924553027,5.0705917615949545,0.13306268032552993,0.20088066175375308
L5,0,2945,4.277748815621224,5.672216857503573,0.0,0.0
L5,10,2650,4.127084641542021,5.491620370029256,0.0352204349935219,0.06266385988361722
L5,20,2356,4.019101139380728,5.378042441159821,0.06046350250766985,0.10103497004278827
L5,30,2061,3.901986252575714,5.236348638758888,0.08784119387125366,0.1477805214758775
L5,40,1767,3.8098473725414403,5.180108627080182,0.10938029866810539,0.16598841840208745
L5,50,1472,3.692781240659232,5.0543870633313315,0.13674659269984302,0.20598018316868438
C5,0,2945,4.277748815621224,5.672216857503573,0.0,0.0
C5,10,2650,4.110974016424734,5.4582357327489035,0.03898658064902538,0.07402571956687187
C5,20,2356,3.960203364188587,5.315281100115692,0.07423190680879699,0.12189424791381853
C5,30,2061,3.8721900185413367,5.217401294662788,0.09480659444025608,0.15393675090726522
C5,40,1767,3.6721240266833313,4.953587367746949,0.1415755845051745,0.23733467418654186
C5,50,1472,3.6277531406947707,4.939291697867087,0.15194806963719754,0.2417303085350917
