target,season,n,pred_sd_distinct,pred_sd_value,pred_sd_ptp,pred_point_distinct,off_q05_distinct,off_q05_min,off_q05_max,off_q25_distinct,off_q25_min,off_q25_max,off_q50_distinct,off_q50_min,off_q50_max,off_q75_distinct,off_q75_min,off_q75_max,off_q95_distinct,off_q95_min,off_q95_max,q05_clip_max_abs_dev,q95_clip_max_abs_dev
minutes,2022,6333,1,6.710391139367388,0.0,3952,523,-10.41778287020206,-2.0169398907103826,49,-4.351529798240108,-2.0169398907103826,1,0.45704829415293347,0.457048294152937,1,4.571109208825334,4.571109208825341,4,10.75407416935412,10.982355621148756,0.0,7.105427357601002e-15
minutes,2023,7418,1,5.9347144005597166,0.0,4385,710,-9.75052840603028,-1.2724795147936174,102,-3.9226315672891694,-1.2724795147936174,1,-0.009894831281442862,-0.009894831281442862,1,3.8593239313911702,3.8593239313911774,6,7.451075602222588,9.495894868573771,3.552713678800501e-15,7.105427357601002e-15
minutes,2024,7866,1,6.037461772356537,0.0,4279,636,-9.953439414889292,-0.9400184234767732,114,-3.642266430293297,-0.9400184234767732,1,0.10648074005504071,0.10648074005504427,1,3.8481855411858525,3.848185541185856,36,6.119121812232159,9.69149979644936,0.0,7.105427357601002e-15
pts,2022,6333,1,5.4553326518487415,0.0,3939,1974,-7.962930682113615,0.0,715,-3.1984261259193616,0.0,42,-0.4356975932138738,0.0,1,3.2105417255486834,3.210541725548687,1,9.506839364499445,9.506839364499449,3.552713678800501e-15,7.105427357601002e-15
pts,2023,7418,1,5.258089971558802,0.0,4370,2287,-7.6038907075703985,0.0,905,-3.011814961109142,0.0,58,-0.4142004122125371,0.0,1,3.057954327663511,3.057954327663513,1,9.65443485698139,9.654434856981396,3.552713678800501e-15,7.105427357601002e-15
pts,2024,7866,1,5.4117374106964595,0.0,4246,2258,-7.880844561524409,0.0,854,-2.9662238613032743,0.0,76,-0.4770292536144183,0.0,1,3.15217840249667,3.1521784024966735,1,10.029515750123565,10.029515750123572,0.0,7.105427357601002e-15
fga,2022,6333,1,3.3490329762515576,0.0,3952,1296,-4.874945383014124,0.0,446,-2.137693887147325,0.0,6,-0.35181306450513716,0.0,1,2.05857302797874,2.058573027978742,1,5.608421014268208,5.60842101426821,0.0,3.552713678800501e-15
fga,2023,7418,1,3.205179394229066,0.0,4384,1592,-4.802995576011433,0.0,506,-2.0191908488209025,0.0,17,-0.29450659020628933,0.0,1,2.0229137611607975,2.0229137611607992,1,5.547307495999341,5.547307495999345,1.7763568394002505e-15,3.552713678800501e-15
fga,2024,7866,1,3.265153240917919,0.0,4275,1662,-4.96142485623337,0.0,471,-2.008476648248722,0.0,7,-0.21343824136529932,0.0,1,1.9617484291508305,1.9617484291508323,1,5.858403708670288,5.858403708670291,3.552713678800501e-15,3.552713678800501e-15
