column,distinct_all,distinct_min_within_season,distinct_max_within_season,per_season,season_constant,near_degenerate
fga__pred_sd,2,1,1,1;1,True,True
pts__pred_sd,2,1,1,1;1,True,True
minutes__pred_sd,2,1,1,1;1,True,True
minutes__fallback_level,1,1,1,1;1,True,True
pts__is_fallback,1,1,1,1;1,True,True
pts__fallback_level,1,1,1,1;1,True,True
pts__is_cold_start,1,1,1,1;1,True,True
minutes__pred_iqr,2,1,1,1;1,True,True
minutes__is_cold_start,1,1,1,1;1,True,True
minutes__is_fallback,1,1,1,1;1,True,True
tm_3in4,2,2,2,2;2,False,True
pl_is_rookie_window,2,2,2,2;2,False,True
tm_five_changed_prior,2,2,2,2;2,False,True
tm_first_meeting,2,2,2,2;2,False,True
tm_is_home,2,2,2,2;2,False,True
tm_b2b,2,2,2,2;2,False,True
x53_absence8,2,2,2,2;2,False,True
x53_blowout,2,2,2,2;2,False,True
x53_starter_flag,2,2,2,2;2,False,True
fga__pred_iqr,4,1,3,3;1,False,True
x53_starter_rate_recent3,4,4,4,4;4,False,True
tm_newfaces_prior,4,3,4,3;4,False,True
tm_games_prior7d,5,5,5,5;5,False,True
x53_C7_sched_density,5,5,5,5;5,False,True
pl_start_switch5,6,6,6,6;6,False,False
pl_dnp_frac5,6,6,6,6;6,False,False
pl_start_frac5,6,6,6,6;6,False,False
x53_C6_team_rest,9,8,8,8;8,False,False
pts__pred_iqr,9,1,8,8;1,False,False
tm_prior_meetings,8,8,8,8;8,False,False
tm_rest_days,13,9,11,9;11,False,False
opp_rest_days,13,9,11,9;11,False,False
pl_teamgames_since_appear,14,9,11,9;11,False,False
x53_C1_player_rest,14,11,14,14;11,False,False
tm_rest_diff,17,13,15,13;15,False,False
tm_roster_churn_prior,22,18,22,18;22,False,False
pl_rest_days,30,19,24,19;24,False,False
minutes__pred_width,37,6,31,6;31,False,False
tm_five_tenure_prior,32,19,32,32;19,False,False
x53_n_prior,32,32,32,32;32,False,False
pl_games_prior,44,42,44,42;44,False,False
tm_game_idx,44,42,44,42;44,False,False
minutes__n_prior_games,45,43,45,43;45,False,False
pts__n_prior_games,45,43,45,43;45,False,False
opp_game_idx,46,44,46,44;46,False,False
fga__pred_width,63,17,46,46;17,False,False
pl_prior_season_games,83,46,54,46;54,False,False
pl_fga_mean5,108,98,102,102;98,False,False
pl_pts_mean5,142,131,134,131;134,False,False
pl_career_games_prior,168,124,165,124;165,False,False
pts__pred_width,356,168,188,188;168,False,False
pl_fga_sd5,262,227,231,227;231,False,False
x53_starter_rate_prior,313,231,241,231;241,False,False
x53_C5_starter_delta,394,254,289,254;289,False,False
opp_poss_mean_prior,778,405,413,413;405,False,False
tm_poss_mean_prior,778,404,414,414;404,False,False
pl_pts_sd5,672,522,556,556;522,False,False
pl_min_rng5,993,681,713,681;713,False,False
pl_usg_mean5,1067,828,851,828;851,False,False
x53_prior5_minutes,2155,1298,1301,1298;1301,False,False
pl_abs_min_trend5,2114,1329,1350,1329;1350,False,False
inv_pl_min_mean5,2328,1424,1429,1424;1429,False,False
pl_min_mean5,2328,1424,1429,1424;1429,False,False
pl_min_trend5,2678,1514,1541,1514;1541,False,False
x53_C3_blowout_adj,3073,1502,1582,1582;1502,False,False
x53_prior5_sd_minutes,3152,1567,1587,1587;1567,False,False
x53_C2_foul_rate,3166,1569,1597,1597;1569,False,False
pl_usg_sd5,3244,1680,1698,1698;1680,False,False
pts__pred_point,3451,1699,1752,1752;1699,False,False
pts__pred_cv,3451,1699,1752,1752;1699,False,False
minutes__pred_point,3451,1699,1752,1752;1699,False,False
fga__pred_point,3451,1699,1752,1752;1699,False,False
fga__pred_cv,3451,1699,1752,1752;1699,False,False
inv_pts_pred_point,3451,1699,1752,1752;1699,False,False
inv_min_pred_point,3451,1699,1752,1752;1699,False,False
minutes__pred_cv,3451,1699,1752,1752;1699,False,False
pl_minutes_prior,3462,1751,1755,1751;1755,False,False
pl_min_sd5,3534,1766,1771,1766;1771,False,False
pl_min_cv5,3540,1768,1772,1768;1772,False,False
