c,implied_r2,mean_realised_dr2,sd_realised_dr2,detection_rate,n_rep
0.0,0.0,0.01188256934596322,0.0005662360696548817,0.0,40
0.1,0.009900990099009903,0.01925418014772672,0.003364252132120927,0.025,40
0.15,0.022004889975550123,0.02765035687104538,0.0049080354301630725,0.65,40
0.2,0.03846153846153847,0.039135549162321,0.008258472518497224,0.925,40
0.3,0.08256880733944953,0.07452983604070845,0.01258060173301869,1.0,40
0.4,0.13793103448275862,0.1199788832085893,0.014839705257911503,1.0,40
0.6,0.2647058823529412,0.23876751477021382,0.019793545346851245,1.0,40
0.9,0.44751381215469616,0.4227491285681255,0.019239537825082927,1.0,40
