column,acf1,n_pairs,var_share_between_gameid
pl_minutes_prior,0.902304907341225,3375,0.7811535166385758
pl_career_games_prior,0.8940071819998457,3375,0.3943317205183845
pl_games_prior,0.8940071819998456,3375,0.8888938467408141
minutes__n_prior_games,0.8936948651405447,3375,0.886271444703649
pts__n_prior_games,0.8936948651405447,3375,0.886271444703649
tm_game_idx,0.8905638795424218,3375,0.9981064787159378
opp_game_idx,0.8885344351873247,3375,0.9981247756302742
tm_poss_mean_prior,0.8191118436762369,3375,0.557193099955717
tm_five_tenure_prior,0.7405655928742756,3375,0.572510654234352
pl_start_switch5,0.684765673458393,3375,0.12521128663605846
pl_pts_sd5,0.6703308862990562,3375,0.09506693229313316
pl_usg_sd5,0.6429452916409305,3375,0.12753506095380215
pl_fga_sd5,0.6420344563582313,3375,0.11236452887081985
pl_min_sd5,0.5942147478053289,3375,0.18790857108028997
pl_dnp_frac5,0.5892471028136198,3375,0.12613426074551964
pl_min_cv5,0.5824419879356844,3375,0.1745423213551671
pl_min_rng5,0.581093850160889,3375,0.19018716554398002
tm_prior_meetings,0.5496559569799511,3375,1.0000000000000002
tm_games_prior7d,0.3555035007808491,3375,0.7292191092245868
pl_min_trend5,0.32322629254583546,3375,0.2197271131143499
pl_abs_min_trend5,0.16198488173940948,3375,0.17030049011091583
opp_poss_mean_prior,0.14339349182559605,3375,0.5534147268414232
tm_3in4,0.1156261278159131,3375,0.6169481774264364
tm_five_changed_prior,0.11127963418546233,3375,0.5621978191841526
tm_roster_churn_prior,0.10453995531793754,3375,0.5617341517377865
opp_rest_days,0.07821277256900264,3375,0.8756659479247515
tm_first_meeting,0.06517028007907279,3375,0.9999999999999953
tm_is_home,0.058581585461222066,3375,0.0469926686033851
tm_newfaces_prior,-0.05462760652231389,3375,0.548283501127591
tm_b2b,-0.06827344795757549,3375,0.5956625395001868
tm_rest_diff,-0.07793043263470645,3375,0.009709530173937555
pl_teamgames_since_appear,-0.09379581910519749,3375,0.12696470269704196
pl_rest_days,-0.09494509936613951,3375,0.6445240559635682
tm_rest_days,-0.09946190809509313,3375,0.8762790544720774
pl_prior_season_games,,3375,0.3268302190553512
pl_is_rookie_window,,3375,0.12033256229245279
