channel,predictor,n,within_teamgame_corr,within_R2
minutes,uniform (constant within team-game),5602,0.0,0.0
minutes,base5 level,5602,-0.09146361609550661,0.008365593069266217
minutes,within-team-game z of base5,5602,-0.08257944800469372,0.006819365232759913
minutes,u * z,5602,-0.1223151797599221,0.014961003199702056
minutes,position match with the absentee,5602,0.04519133255715849,0.0020422565382916926
minutes,"[EX-POST spread of the realised gain, sd]",5602,6.1074713069538875,
fga,uniform (constant within team-game),5593,0.0,0.0
fga,base5 level,5593,-0.08295429893469904,0.006881415711747409
fga,within-team-game z of base5,5593,-0.07370585656376245,0.005432553291797925
fga,u * z,5593,-0.06070845375781025,0.0036855163576641854
fga,position match with the absentee,5593,0.04748003161101087,0.0022543534017825917
fga,"[EX-POST spread of the realised gain, sd]",5593,3.2008963821619476,
pts,uniform (constant within team-game),5413,0.0,0.0
pts,base5 level,5413,-0.13780503081098427,0.018990226516816325
pts,within-team-game z of base5,5413,-0.1241812838044697,0.01542099124732625
pts,u * z,5413,-0.08775129191130134,0.007700289232102419
pts,position match with the absentee,5413,0.0286159386297218,0.0008188719436600043
pts,"[EX-POST spread of the realised gain, sd]",5413,5.439518622381556,
