cell,planted,planted_in_null_sds,recovered,p,null_sd,detected
P02_minutes,0.0,0.0,-0.03486695826317718,0.7402597402597403,0.029283392558373336,False
P02_minutes,0.02952500002372324,1.0,-0.005341958239453566,0.4985014985014985,0.027230948817538528,False
P02_minutes,0.05905000004744648,2.0,0.024183041784269724,0.11188811188811189,0.02836626592513969,False
P02_minutes,0.08267000006642507,2.8,0.047803041803248285,0.013986013986013986,0.028273555604445312,True
P02_minutes,0.11810000009489297,4.0,0.08323304183171584,0.000999000999000999,0.027536722211956258,True
P02_fga,0.0,0.0,0.05770067809897819,0.057942057942057944,0.04535376457236481,False
P02_fga,0.04666033637598883,1.0,0.1043610144749669,0.003996003996003996,0.04517221700341876,True
P02_fga,0.09332067275197765,2.0,0.1510213508509557,0.000999000999000999,0.04584608806580913,True
P02_fga,0.1306489418527687,2.8,0.18834961995174682,0.000999000999000999,0.04407882849590949,True
P02_fga,0.1866413455039553,4.0,0.24434202360293333,0.000999000999000999,0.04403298468525265,True
P02_pts,0.0,0.0,0.04263050255109837,0.14885114885114886,0.06126457525196873,False
P02_pts,0.06474624153007509,1.0,0.10737674408117362,0.016983016983016984,0.06250553124431402,True
P02_pts,0.12949248306015018,2.0,0.17212298561124856,0.001998001998001998,0.06227171501447376,True
P02_pts,0.18128947628421024,2.8,0.22391997883530856,0.000999000999000999,0.06032276162663552,True
P02_pts,0.25898496612030036,4.0,0.301615468671399,0.000999000999000999,0.06248067576667825,True
P05_posmatch,0.0,0.0,0.09850573138611154,0.04995004995004995,0.05385357165640715,True
P05_posmatch,0.054552771576880384,1.0,0.15305850296299192,0.003996003996003996,0.05200298134483615,True
P05_posmatch,0.10910554315376077,2.0,0.20761127453987258,0.000999000999000999,0.05198085860041527,True
P05_posmatch,0.15274776041526505,2.8,0.2512534918013767,0.000999000999000999,0.053209630175426056,True
P05_posmatch,0.21821108630752153,4.0,0.31671681769363336,0.000999000999000999,0.05601457636589331,True
