cell,planted_lambda,dMAE,p,null_sd,MDE80,detected
P03_minutes,0.0,0.02949664894847303,0.0007498125468632841,0.008727187896273931,0.024436126109567004,True
P03_minutes,0.1,0.05614461138123916,0.00024993751562109475,0.011605081192382627,0.032494227338671355,True
P03_minutes,0.25,0.11178851789954161,0.00024993751562109475,0.016417533050097494,0.04596909254027298,True
P03_minutes,0.5,0.2388441265409398,0.00024993751562109475,0.02653396015434585,0.07429508843216838,True
P03_minutes,1.0,0.6090925345691328,0.00024993751562109475,0.051308714813099614,0.14366440147667892,True
P03_fga,0.0,0.007362291929101953,0.02424393901524619,0.003272274905435057,0.009162369735218159,True
P03_fga,0.1,0.014485090304819082,0.0004998750312421895,0.003987099751974625,0.01116387930552895,True
P03_fga,0.25,0.029156785895814892,0.00024993751562109475,0.005520910540873573,0.015458549514446003,True
P03_fga,0.5,0.06318216742145896,0.00024993751562109475,0.007891125134220352,0.022095150375816986,True
P03_fga,1.0,0.16404664381919282,0.00024993751562109475,0.014819468220494134,0.04149451101738357,True
P03_pts,0.0,0.0022522877097689723,0.4996250937265684,0.0032996776792686274,0.009239097501952157,False
P03_pts,0.1,0.006258634172529884,0.1279680079980005,0.004124582929253191,0.011548832201908934,False
P03_pts,0.25,0.01516429553757239,0.00899775056235941,0.0056219846465449825,0.01574155701032595,True
P03_pts,0.5,0.03901686758120362,0.00024993751562109475,0.007673328461602866,0.021485319692488025,True
P03_pts,1.0,0.1187499438083791,0.00024993751562109475,0.013739541835158386,0.03847071713844348,True
