cell,stratum,n,n_blocks,MAE_M0,MAE_M1,dMAE,p,null_sd,MDE80,pct_of_MAE
P03_vs_base5_minutes,ALL,8118,888,4.866367945824594,4.8368712968761205,0.02949664894847303,0.0013499325033748313,0.008982834982256733,0.02515193795031885,0.6061327313686079
P03_vs_base5_minutes,FREED>0,5602,627,5.023807548536525,4.9763721470253515,0.04743540151117355,9.99950002499875e-05,0.011836938486156773,0.033143427761238964,0.9442121548822439
P03_vs_base5_minutes,FREED>=25min-equivalent,2475,282,5.2467226632710755,5.123896234041404,0.12282642922967198,4.999750012499375e-05,0.026234544123416862,0.0734567235455672,2.3410124207536382
P03_vs_base5_minutes,FREED=0,2516,261,4.515820785891269,4.526265667887252,-0.010444881995981764,0.3834808259587021,0.012001912957317614,0.033605356280489315,-0.23129531686940716
P04_vs_champion_minutes,ALL,8118,888,4.709235057063949,4.692382908643,0.01685214842094784,0.0631468426578671,0.00901285589091685,0.025235996494567176,0.35785320156549144
P04_vs_champion_minutes,FREED>0,5602,627,4.823177445037782,4.79389230871448,0.02928513632330213,0.01574921253937303,0.012262433676134794,0.03433481429317742,0.6071751797859207
P04_vs_champion_minutes,FREED>=25min-equivalent,2475,282,5.101386713527127,5.008694067293478,0.09269264623364977,0.0002999850007499625,0.02692019725399605,0.07537655231118894,1.8170088142477159
P04_vs_champion_minutes,FREED=0,2516,261,4.455536624063381,4.466367145844735,-0.010830521781352931,0.28088595570221486,0.010005115220627518,0.028014322617757048,-0.2430800753125818
P03_vs_base5_fga,ALL,8118,888,2.556660587191884,2.5492982952627816,0.007362291929101953,0.023498825058747064,0.0032791094637179335,0.009181506498410213,0.28796516698324626
P03_vs_base5_fga,FREED>0,5593,626,2.594259335335754,2.590703337267847,0.0035559980679070098,0.4125793710314484,0.004333690412304909,0.012134333154453746,0.1370718038660073
P03_vs_base5_fga,FREED>=25min-equivalent,2475,282,2.6197156556577514,2.623583929202142,-0.0038682735443902132,0.6815159242037898,0.00950775479852417,0.026621713435867677,-0.1476600537175084
P03_vs_base5_fga,FREED=0,2525,262,2.4733774987290453,2.4575840774670077,0.015793421262037918,0.0005499725013749313,0.004394735359280629,0.012305259005985761,0.6385366273507957
P04_vs_champion_fga,ALL,8118,888,2.486002462576265,2.478942876775956,0.007059585800308846,0.0464476776161192,0.0035688122126426142,0.00999267419539932,0.2839734033486411
P04_vs_champion_fga,FREED>0,5593,626,2.4957954703206657,2.4905018385532243,0.005293631767441302,0.2612869356532173,0.004678167968246426,0.013098870311089993,0.21210198633629077
P04_vs_champion_fga,FREED>=25min-equivalent,2475,282,2.538898161050631,2.538976766308285,-7.860525765430479e-05,0.992700364981751,0.010166344950981187,0.028465765862747322,-0.0030960382287163837
P04_vs_champion_fga,FREED=0,2525,262,2.4643104656200525,2.453339204213475,0.010971261406577427,0.030448477576121194,0.00507778577281104,0.014217800163870909,0.445206136143926
P03_vs_base5_pts,ALL,8118,888,4.236976230502708,4.2347239427929395,0.0022522877097689723,0.4792760361981901,0.003193284180881732,0.00894119570646885,0.053157902882588114
P03_vs_base5_pts,FREED>0,5413,606,4.308810422103661,4.317423551085918,-0.008613128982256388,0.046197690115494225,0.004306595042323402,0.012058466118505523,-0.19989575169220974
P03_vs_base5_pts,FREED>=25min-equivalent,2475,282,4.345216715328587,4.381843659080541,-0.0366269437519535,0.00014999250037498125,0.009135124871209292,0.025578349639386017,-0.8429255927039246
P03_vs_base5_pts,FREED=0,2705,282,4.093228179066125,4.069233007602592,0.023995171463533582,4.999750012499375e-05,0.004208314491337516,0.011783280575745044,0.5862163166532316
P04_vs_champion_pts,ALL,8118,888,4.07987410354895,4.083251760091598,-0.0033776565426484485,0.49407529623518825,0.004890885102622449,0.013694478287342856,-0.08278825416966505
P04_vs_champion_pts,FREED>0,5413,606,4.118335986519799,4.133326145859126,-0.014990159339326372,0.0327983600819959,0.007065840426554474,0.019784353194352528,-0.3639858279749975
P04_vs_champion_pts,FREED>=25min-equivalent,2475,282,4.145306635884854,4.193757631257431,-0.048450995372577264,0.0007999600019999,0.014786091897900248,0.04140105731412069,-1.1688157144552216
P04_vs_champion_pts,FREED=0,2705,282,4.002907681175119,3.9830474531933993,0.01986022798172035,4.999750012499375e-05,0.004205618754144377,0.011775732511604254,0.49614504164357975
