cell,row_set,n,n_blocks,response,base,candidate,effect,p,null_scheme,null_mean,null_sd,MDE80,MAE_M0,MAE_M1,null_absorbed,null_mean_over_observed,MDE80_injection_verified,empirical_power_at_observed,verdict_under_injection_floor,verdict
P01_LEAKAGE_minutes,RST-W2,888,,volume of players with no established baseline,,FREED_minutes,-0.030124672818257116,0.08189590520473976,N4_freed_permute_within_season,-0.00017249947619421752,0.01726776474959831,0.04834974129887526,,,False,0.005726185882081145,,,,FULL_LEAKAGE_REJECTED__NO_LEAKAGE_ESTABLISHED
P01_LEAKAGE_fga,RST-W2,888,,volume of players with no established baseline,,FREED_fga,-0.032564097575212635,0.05654717264136793,N4_freed_permute_within_season,-0.0001923765502885306,0.016980296968658562,0.04754483151224397,,,False,0.005907627252504154,,,,FULL_LEAKAGE_REJECTED__NO_LEAKAGE_ESTABLISHED
P01_LEAKAGE_pts,RST-W2,888,,volume of players with no established baseline,,FREED_pts,-0.03902040153420004,0.034098295085245735,N4_freed_permute_within_season,-0.0012674282214292887,0.01798614904114489,0.05036121731520569,,,False,0.032481168096602786,,,,FULL_LEAKAGE_REJECTED__NO_LEAKAGE_ESTABLISHED
P02_TILT_minutes,RSP-W2,8118,,delta_minutes,1 + base5 + z + u  (mean-reversion main effect IN THE BASE),u * z,-0.03486695826317718,0.6731634182908546,"N1_within_teamgame_shuffle_of_(base5,z)",-0.023204218111673357,0.02952500002372324,0.08267000006642507,,,False,0.6655073819897624,,,,DIFFUSE__TILT_NOT_ESTABLISHED
P02_TILT_fga,RSP-W2,8118,,delta_fga,1 + base5 + z + u  (mean-reversion main effect IN THE BASE),u * z,0.05770067809897819,0.06896551724137931,"N1_within_teamgame_shuffle_of_(base5,z)",-0.0269955288323028,0.04666033637598883,0.1306489418527687,,,False,0.4678546201137428,,,,DIFFUSE__TILT_NOT_ESTABLISHED
P02_TILT_pts,RSP-W2,8118,,delta_pts,1 + base5 + z + u  (mean-reversion main effect IN THE BASE),u * z,0.04263050255109837,0.19790104947526238,"N1_within_teamgame_shuffle_of_(base5,z)",-0.04087980572397916,0.06474624153007509,0.18128947628421024,,,False,0.9589332350698713,,,,DIFFUSE__TILT_NOT_ESTABLISHED
P03_GAIN_vs_BASE5_ORACLEABS_minutes,RSP-W2,8118,888.0,minutes,"1 + base5 + z (absence-blind, walk-forward)",,0.02949664894847303,0.0012499375031248437,paired_signflip_block_teamgame,-2.213275294546528e-05,0.009032775424148114,0.025291771187614717,4.866367945824594,4.8368712968761205,False,0.0007503480474723906,0.030787046438979403,0.7833333333333338,SIGNIFICANT_BUT_UNDERPOWERED__NOT_ESTABLISHED,DECIDED_POSITIVE
P03_GAIN_vs_BASE5_ORACLEABS_fga,RSP-W2,8118,888.0,fga,"1 + base5 + z (absence-blind, walk-forward)",,0.007362291929101953,0.023498825058747064,paired_signflip_block_teamgame,-3.366582980566221e-05,0.0032811760956110627,0.009187293067710975,2.556660587191884,2.5492982952627816,False,0.004572737692264906,0.0147996239925531,0.3000000000000054,SIGNIFICANT_BUT_UNDERPOWERED__NOT_ESTABLISHED,SIGNIFICANT_BUT_UNDERPOWERED__NOT_ESTABLISHED
P03_GAIN_vs_BASE5_ORACLEABS_pts,RSP-W2,8118,888.0,pts,"1 + base5 + z (absence-blind, walk-forward)",,0.0022522877097689723,0.4791260436978151,paired_signflip_block_teamgame,-4.607976470699051e-06,0.003165695663127164,0.008863947856756059,4.236976230502708,4.2347239427929395,False,0.0020459093439584206,0.030110400067300196,0.033333333333334825,NOT_ESTABLISHED,NOT_ESTABLISHED
P04_GAIN_vs_CHAMPION_ORACLEABS_minutes,RSP-W2,8118,888.0,minutes,champion min_hat + walk-forward intercept,,0.01685214842094784,0.06299685015749212,paired_signflip_block_teamgame,-5.736741610547114e-05,0.009065500769776762,0.02538340215537493,4.709235057063949,4.692382908643,False,0.0034041603878922247,,,,NOT_ESTABLISHED
P04_GAIN_vs_CHAMPION_ORACLEABS_fga,RSP-W2,8118,888.0,fga,champion fga_hat + walk-forward intercept,,0.007059585800308846,0.04754762261886906,paired_signflip_block_teamgame,-8.013079569850508e-06,0.0035730771055783673,0.010004615895619427,2.486002462576265,2.478942876775956,False,0.0011350636987087753,,,,SIGNIFICANT_BUT_UNDERPOWERED__NOT_ESTABLISHED
P04_GAIN_vs_CHAMPION_ORACLEABS_pts,RSP-W2,8118,888.0,pts,champion pts_hat + walk-forward intercept,,-0.0033776565426484485,0.4895755212239388,paired_signflip_block_teamgame,-3.7440696389643064e-06,0.004918714923850871,0.013772401786782438,4.07987410354895,4.083251760091598,False,0.001108481455023414,,,,NOT_ESTABLISHED
P05_POSITION_MATCH_minutes,RSP-W2,8118,,delta_minutes,1 + base5 + z + u + u*z + posmatch  (P02's tilt IS in the base),u * posmatch,0.09850573138611154,0.04397801099450275,"N1_within_teamgame_shuffle_of_(base5,z,posmatch)",-0.012706054501366356,0.054552771576880384,0.15274776041526505,,,False,0.12898797179184032,,,,SIGNIFICANT_BUT_UNDERPOWERED__NOT_ESTABLISHED
P06_NEGCONTROL_PSEUDOABSENCE_minutes,"control: REM rows in team-games with FREED == 0, seasons 2023-2024",2168,261.0,minutes,,,-0.0006709624490466128,0.8174591270436479,paired_signflip_block_teamgame,2.012289242868882e-05,0.00284208870471593,0.007957848373204604,4.560518543836629,4.561189506285675,False,0.029991085875643173,,,,NEGATIVE_CONTROL_PASSES__NULL
