cell,observed,null_mean,null_sd,abs_null_mean_over_abs_observed,same_sign,null_mean_in_null_sds,ABSORBED_FLAG,WARN_same_sign_over_half
P02_TILT_pts,0.04263050255109837,-0.04087980572397916,0.06474624153007509,0.9589332350698713,False,-0.6313850002395922,False,False
P02_TILT_minutes,-0.03486695826317718,-0.023204218111673357,0.02952500002372324,0.6655073819897624,True,-0.7859176322787076,False,True
P02_TILT_fga,0.05770067809897819,-0.0269955288323028,0.04666033637598883,0.4678546201137428,False,-0.5785540981696515,False,False
P05_POSITION_MATCH_minutes,0.09850573138611154,-0.012706054501366356,0.054552771576880384,0.12898797179184032,False,-0.23291308826463397,False,False
P01_LEAKAGE_pts,-0.03902040153420004,-0.0012674282214292887,0.01798614904114489,0.032481168096602786,True,-0.07046690308914574,False,False
P06_NEGCONTROL_PSEUDOABSENCE_minutes,-0.0006709624490466128,2.012289242868882e-05,0.00284208870471593,0.029991085875643173,False,0.0070803182164224975,False,False
P01_LEAKAGE_fga,-0.032564097575212635,-0.0001923765502885306,0.016980296968658562,0.005907627252504154,True,-0.01132939845773076,False,False
P01_LEAKAGE_minutes,-0.030124672818257116,-0.00017249947619421752,0.01726776474959831,0.005726185882081145,True,-0.009989681854927419,False,False
P03_GAIN_vs_BASE5_ORACLEABS_fga,0.007362291929101953,-3.366582980566221e-05,0.0032811760956110627,0.004572737692264906,False,-0.010260293512041,False,False
P04_GAIN_vs_CHAMPION_ORACLEABS_minutes,0.01685214842094784,-5.736741610547114e-05,0.009065500769776762,0.0034041603878922247,False,-0.006328102281644151,False,False
P03_GAIN_vs_BASE5_ORACLEABS_pts,0.0022522877097689723,-4.607976470699051e-06,0.003165695663127164,0.0020459093439584206,False,-0.0014555967980027372,False,False
P04_GAIN_vs_CHAMPION_ORACLEABS_fga,0.007059585800308846,-8.013079569850508e-06,0.0035730771055783673,0.0011350636987087753,False,-0.0022426271062945466,False,False
P04_GAIN_vs_CHAMPION_ORACLEABS_pts,-0.0033776565426484485,-3.7440696389643064e-06,0.004918714923850871,0.001108481455023414,True,-0.0007611885821659018,False,False
P03_GAIN_vs_BASE5_ORACLEABS_minutes,0.02949664894847303,-2.213275294546528e-05,0.009032775424148114,0.0007503480474723906,False,-0.002450271583891684,False,False
