cell,planted,planted_in_null_sds,recovered,p,null_sd,detected
P01_minutes,0.0,0.0,-0.030124672818257116,0.06993006993006994,0.017083249585620783,False
P01_minutes,0.01726776474959831,1.0,-0.012856908068658754,0.47052947052947053,0.017245751954555917,False
P01_minutes,0.03453552949919662,2.0,0.0044108566809396,0.7412587412587412,0.017470256185343737,False
P01_minutes,0.04834974129887526,2.8,0.018225068480618247,0.2977022977022977,0.01765310086458138,False
P01_minutes,0.06907105899839323,4.0,0.038946386180136267,0.02197802197802198,0.016865460947602946,True
P01_minutes,0.999803579001742,57.9,0.9696789061834852,0.000999000999000999,0.03517264167943695,True
P01_fga,0.0,0.0,-0.032564097575212635,0.052947052947052944,0.017105216923566972,False
P01_fga,0.016980296968658562,1.0,-0.01558380060655408,0.37462537462537465,0.016930563055332654,False
P01_fga,0.033960593937317124,2.0,0.0013964963621045082,0.8781218781218781,0.0175294469494947,False
P01_fga,0.04754483151224397,2.8,0.014980733937031244,0.37962037962037964,0.017081048274051158,False
P01_fga,0.06792118787463425,4.0,0.03535709029942161,0.022977022977022976,0.016392468910513013,True
P01_fga,0.9831591944853307,57.9,0.9505950969101183,0.000999000999000999,0.034525168993024866,True
P01_pts,0.0,0.0,-0.03902040153420004,0.03396603396603397,0.017989743359555034,True
P01_pts,0.01798614904114489,1.0,-0.02103425249305516,0.2837162837162837,0.01801201697820295,False
P01_pts,0.03597229808228978,2.0,-0.0030481034519102552,0.975024975024975,0.018465267501427057,False
P01_pts,0.05036121731520569,2.8,0.01134081578100565,0.4745254745254745,0.017713051246909226,False
P01_pts,0.07194459616457956,4.0,0.032924194630379565,0.04395604395604396,0.017661781651712182,True
P01_pts,1.041398029482289,57.9,1.0023776279480903,0.000999000999000999,0.03601454877000901,True
