cell,planted_in_analytic_null_sds,planted_lambda,dMAE_total,dMAE_planted_component,n_reps,empirical_power
P03_GAIN_vs_BASE5_ORACLEABS_minutes,0.0,0.0,0.02949664894847303,0.0,60,0.7833333333333333
P03_GAIN_vs_BASE5_ORACLEABS_minutes,1.0,0.037553608417510986,0.03852943138201787,0.009032782433544842,60,0.9
P03_GAIN_vs_BASE5_ORACLEABS_minutes,2.0,0.07127851247787476,0.04756219954447965,0.01806555059600662,60,1.0
P03_GAIN_vs_BASE5_ORACLEABS_minutes,2.8,0.09564179182052612,0.05478840759161801,0.02529175864314498,60,1.0
P03_GAIN_vs_BASE5_ORACLEABS_minutes,4.0,0.1293615698814392,0.06562775415940496,0.03613110521093193,60,1.0
P03_GAIN_vs_BASE5_ORACLEABS_fga,0.0,0.0,0.007362291929101953,0.0,60,0.3
P03_GAIN_vs_BASE5_ORACLEABS_fga,1.0,0.04913049936294556,0.010643468968040257,0.0032811770389383037,60,0.6333333333333333
P03_GAIN_vs_BASE5_ORACLEABS_fga,2.0,0.09293752908706665,0.013924641802632599,0.006562349873530646,60,0.75
P03_GAIN_vs_BASE5_ORACLEABS_fga,2.8,0.12503057718276978,0.01654958837239438,0.009187296443292426,60,0.9
P03_GAIN_vs_BASE5_ORACLEABS_fga,4.0,0.16804510354995728,0.020486993654071067,0.013124701724969113,60,0.95
P03_GAIN_vs_BASE5_ORACLEABS_pts,0.0,0.0,0.0022522877097689723,0.0,60,0.03333333333333333
P03_GAIN_vs_BASE5_ORACLEABS_pts,1.0,0.08159536123275757,0.005417980822390536,0.003165693112621564,60,0.1
P03_GAIN_vs_BASE5_ORACLEABS_pts,2.0,0.14698749780654907,0.008583681559963576,0.006331393850194604,60,0.23333333333333334
P03_GAIN_vs_BASE5_ORACLEABS_pts,2.8,0.1906641125679016,0.011116236709062763,0.00886394899929379,60,0.38333333333333336
P03_GAIN_vs_BASE5_ORACLEABS_pts,4.0,0.246662437915802,0.014915069380710267,0.012662781670941294,60,0.4666666666666667
