null_scheme,statistic,observed,p_observed,null_mean,null_sd,planted,recovered,p_planted,detects_planted
N1_within_teamgame_player_swap (USED),"gamma on u*z, minutes",-0.03486695826317718,0.6731634182908546,-0.023204218111673357,0.02952500002372324,0.11810000009489297,0.08323304183171584,0.0016638935108153079,True
"NC_within_PLAYER_cyclic_shift (D108 degenerate, NOT used)","gamma on u*z, minutes",-0.03486695826317718,0.11647254575707154,-0.0043132280436569215,0.01987435693323043,0.11810000009489297,0.08323304183171584,0.8086522462562395,False
