bucket,n,mean_B_minutes,mean_freed,mean_n_elig,mean_n_rem,B_minus_200,B_of_remaining,minutes_actually_available_to_remaining
0,261,198.95843444018732,0.0,9.639846743295019,9.639846743295019,-1.0415655598126818,198.95843444018732,1.0415655598126818
0-15,220,208.90508964646466,7.8248345959595955,10.49090909090909,9.063636363636364,8.90508964646466,201.08025505050506,-1.080255050505059
15-30,171,223.66375243664714,22.168744314489928,10.970760233918128,9.169590643274853,23.663752436647144,201.49500812215723,-1.4950081221572304
30-45,124,227.88337813620072,36.44461245519713,11.008064516129032,8.661290322580646,27.88337813620072,191.4387656810036,8.561234318996412
45+,112,249.88095486111112,65.86124751984127,11.758928571428571,8.625,49.88095486111112,184.01970734126985,15.98029265873015
