cell,planted_in_null_sds,planted_dMAE,observed_plus_planted,p,null_sd,detected
P03_GAIN_vs_BASE5_ORACLEABS_minutes,0.0,0.0,0.02949664894847303,0.0017495626093476631,0.008917731544756034,True
P03_GAIN_vs_BASE5_ORACLEABS_minutes,1.0,0.009032775424148114,0.03852942437262111,0.00024993751562109475,0.009177035104987396,True
P03_GAIN_vs_BASE5_ORACLEABS_minutes,2.0,0.018065550848296228,0.04756219979676925,0.00024993751562109475,0.00912541203632017,True
P03_GAIN_vs_BASE5_ORACLEABS_minutes,2.8,0.025291771187614717,0.05478842013608759,0.00024993751562109475,0.009174507062401206,True
P03_GAIN_vs_BASE5_ORACLEABS_minutes,4.0,0.036131101696592456,0.06562775064506549,0.00024993751562109475,0.009206981394574624,True
P03_GAIN_vs_BASE5_ORACLEABS_fga,0.0,0.0,0.007362291929101953,0.023494126468382906,0.0032700844863389035,True
P03_GAIN_vs_BASE5_ORACLEABS_fga,1.0,0.0032811760956110627,0.01064346802471298,0.0014996250937265683,0.0033243218494897623,True
P03_GAIN_vs_BASE5_ORACLEABS_fga,2.0,0.006562352191222125,0.013924644120324023,0.00024993751562109475,0.0032615257351026467,True
P03_GAIN_vs_BASE5_ORACLEABS_fga,2.8,0.009187293067710975,0.01654958499681295,0.00024993751562109475,0.003367716786299006,True
P03_GAIN_vs_BASE5_ORACLEABS_fga,4.0,0.01312470438244425,0.02048699631154622,0.00024993751562109475,0.0032799592110548427,True
P03_GAIN_vs_BASE5_ORACLEABS_pts,0.0,0.0,0.0022522877097689723,0.46838290427393153,0.0031682957152918923,False
P03_GAIN_vs_BASE5_ORACLEABS_pts,1.0,0.003165695663127164,0.005417983372896061,0.09247688077980505,0.003210886148414303,False
P03_GAIN_vs_BASE5_ORACLEABS_pts,2.0,0.006331391326254328,0.008583679036023329,0.007498125468632842,0.0031548387603437984,True
P03_GAIN_vs_BASE5_ORACLEABS_pts,2.8,0.008863947856756059,0.011116235566525197,0.0007498125468632841,0.0032094406715522062,True
P03_GAIN_vs_BASE5_ORACLEABS_pts,4.0,0.012662782652508656,0.014915070362277714,0.00024993751562109475,0.003210338171663833,True
