cell,injection_style,planted_in_null_sds,planted,recovered,p,null_mean,null_sd,detected
P02_minutes,component_wise,2.0,0.05905000004744648,0.024183041784269724,0.09226932668329177,-0.021601694384781666,0.027030140091050526,False
P02_minutes,shuffled_residual,2.0,0.05905000004744648,-0.0009538327027525812,0.4688279301745636,-0.02000345269616798,0.027342779005579368,False
P02_minutes,component_wise,4.0,0.11810000009489297,0.08323304183171584,0.0024937655860349127,-0.01697416520461408,0.02795111335147299,True
P02_minutes,shuffled_residual,4.0,0.11810000009489297,0.07681255967544855,0.0024937655860349127,-0.016712468819315703,0.028270907808283265,True
P02_fga,component_wise,2.0,0.09332067275197765,0.1510213508509557,0.0024937655860349127,-0.020443598202468338,0.04503803280889344,True
P02_fga,shuffled_residual,2.0,0.09332067275197765,0.079355728899983,0.022443890274314215,-0.02345796200219314,0.04613045877307071,True
P02_fga,component_wise,4.0,0.1866413455039553,0.24434202360293333,0.0024937655860349127,-0.01849871694303843,0.043314092221593575,True
P02_fga,shuffled_residual,4.0,0.1866413455039553,0.15883041313054172,0.0024937655860349127,-0.013565573800957482,0.04693785163348628,True
P02_pts,component_wise,2.0,0.12949248306015018,0.17212298561124856,0.0024937655860349127,-0.03175110049202381,0.061122939889223654,True
P02_pts,shuffled_residual,2.0,0.12949248306015018,0.08146381798420263,0.04738154613466334,-0.038534561186278744,0.06176595257511863,True
P02_pts,component_wise,4.0,0.25898496612030036,0.301615468671399,0.0024937655860349127,-0.03155554324005652,0.06259135625187753,True
P02_pts,shuffled_residual,4.0,0.25898496612030036,0.16477267626992942,0.0024937655860349127,-0.02558216222229806,0.0627645481032947,True
