kappa,planted_slope_on_u,n_reps,mean_recovered_dMAE,sd_recovered_dMAE,recovered_in_real_cell_null_sd,empirical_rejection_rate,role
0.0,0.0,400,-0.0034441441118122137,0.015482119716069513,-0.12610416982809028,0.0575,TYPE_I
0.02,0.02,60,0.0027411921226182124,0.016395767769628082,0.10036622909492172,0.1,POWER
0.05,0.05,60,0.005981898722336674,0.017992028578828027,0.21902172147467608,0.1,POWER
0.1,0.1,60,0.02766348396158128,0.02638188804886977,1.0128730291986403,0.2,POWER
0.2,0.2,60,0.07405234841981573,0.0368347881454102,2.711358647646075,0.45,POWER
0.25,0.25,60,0.11965220862433754,0.04100326880833011,4.380955600818434,0.7166666666666667,POWER
0.3,0.3,60,0.15779291488384117,0.04775552704164989,5.777442490846106,0.85,POWER
0.35,0.35,60,0.1978975827034332,0.06089964544129022,7.245838027570593,0.9166666666666666,POWER
0.4,0.4,60,0.24700632131636568,0.06830016621442002,9.043909337319024,0.95,POWER
