variant,dMAE,pct_of_headline,deviation_from_headline
"headline C frozen, gate 25, U39, pooled window",0.0795975046831775,100.0,0.0
allocation: EVEN_u_only,0.12198510481757883,153.25242330537495,0.042387600134401335
allocation: TILTED_u_and_uz,0.07959750468317751,100.00000000000001,1.3877787807814457e-17
allocation: PROPORTIONAL_to_base5,0.08816970446265318,110.76943280269357,0.008572199779475681
allocation: PROPORTIONAL_plus_tilt,0.04460939181709694,56.043706388354764,-0.03498811286608056
order: C_on_RAW_CHAMPION,0.07959750468317751,100.00000000000001,1.3877787807814457e-17
order: C_on_AB_SUBSTITUTED,0.05070492405234052,63.701650264240925,-0.02889258063083698
frame: REM_FROZEN,0.04824567162605003,60.61204031217135,-0.03135183305712747
frame: REM_SHARED,0.04643329259201805,58.33511085157355,-0.03316421209115945
PRIMARY_WINDOW_2023_2024 / C_SHARED_INTERCEPT,0.0759910867433972,95.46918216326637,-0.003606417939780296
PRIMARY_WINDOW_2023_2024 / C_FROZEN_INTERCEPT,0.0795975046831775,100.0,0.0
PRIMARY_WINDOW_SPLIT_2023 / C_SHARED_INTERCEPT,0.0594234325041926,74.65489369386152,-0.020174072178984898
PRIMARY_WINDOW_SPLIT_2023 / C_FROZEN_INTERCEPT,0.0589832610013084,74.1018970834323,-0.0206142436818691
PRIMARY_WINDOW_SPLIT_2024 / C_SHARED_INTERCEPT,0.0991782375393615,124.59968177912278,0.019580732856184002
PRIMARY_WINDOW_SPLIT_2024 / C_FROZEN_INTERCEPT,0.1084480329411358,136.24551846542457,0.028850528257958294
