response,window,stratum,arm,n,n_blocks,p,p_min_attainable,max_attainable_abs_t,six_block_floor_ok,bonferroni_alpha,bonferroni_attainable,signflip_p_resolution
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,C_SHARED_INTERCEPT,3189,345,4.999750012499375e-05,2.7904965607477417e-104,18.57417562100671,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,C_FROZEN_INTERCEPT,3189,345,1.0,2.7904965607477417e-104,18.57417562100671,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,ABC_SHARED_INTERCEPT,3189,345,9.99950002499875e-05,2.7904965607477417e-104,18.57417562100671,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,ABC_FROZEN_INTERCEPT,3189,345,1.0,2.7904965607477417e-104,18.57417562100671,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,AB_ONLY_baseABC_vs_base,3189,345,4.999750012499375e-05,2.7904965607477417e-104,18.57417562100671,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,C_SHARED_INTERCEPT,613,151,0.16019199040048,7.006492321624085e-46,12.288205727444508,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,C_FROZEN_INTERCEPT,613,151,0.1450427478626068,7.006492321624085e-46,12.288205727444508,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,ABC_SHARED_INTERCEPT,613,151,0.1522923853807309,7.006492321624085e-46,12.288205727444508,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,ABC_FROZEN_INTERCEPT,613,151,0.1831908404579771,7.006492321624085e-46,12.288205727444508,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,AB_ONLY_baseABC_vs_base,613,151,0.0465976701164941,7.006492321624085e-46,12.288205727444508,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,C_SHARED_INTERCEPT,1452,164,0.0015499225038748,8.552847072295026e-50,12.806248474865697,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,C_FROZEN_INTERCEPT,1452,164,0.0015499225038748,8.552847072295026e-50,12.806248474865697,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,ABC_SHARED_INTERCEPT,1452,164,0.0012999350032498,8.552847072295026e-50,12.806248474865697,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,ABC_FROZEN_INTERCEPT,1452,164,0.007949602519874,8.552847072295026e-50,12.806248474865697,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,AB_ONLY_baseABC_vs_base,1452,164,4.999750012499375e-05,8.552847072295026e-50,12.806248474865697,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,C_SHARED_INTERCEPT,1591,384,0.6424678766061697,5.075883674631299e-116,19.595917942265423,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,C_FROZEN_INTERCEPT,1591,384,0.1430428478576071,5.075883674631299e-116,19.595917942265423,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,ABC_SHARED_INTERCEPT,1591,384,0.3959302034898255,5.075883674631299e-116,19.595917942265423,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,ABC_FROZEN_INTERCEPT,1591,384,0.1793410329483525,5.075883674631299e-116,19.595917942265423,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,AB_ONLY_baseABC_vs_base,1591,384,0.063546822658867,5.075883674631299e-116,19.595917942265423,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,C_SHARED_INTERCEPT,4520,480,0.0251487425628718,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,C_FROZEN_INTERCEPT,4520,480,0.0016499175041247,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,ABC_SHARED_INTERCEPT,4520,480,4.999750012499375e-05,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,ABC_FROZEN_INTERCEPT,4520,480,0.007749612519374,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,AB_ONLY_baseABC_vs_base,4520,480,4.999750012499375e-05,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,C_SHARED_INTERCEPT,1737,177,0.3527323633818309,1.044048714879764e-53,13.30413469565007,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,C_FROZEN_INTERCEPT,1737,177,1.0,1.044048714879764e-53,13.30413469565007,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,ABC_SHARED_INTERCEPT,1737,177,4.999750012499375e-05,1.044048714879764e-53,13.30413469565007,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,ABC_FROZEN_INTERCEPT,1737,177,1.0,1.044048714879764e-53,13.30413469565007,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,AB_ONLY_baseABC_vs_base,1737,177,4.999750012499375e-05,1.044048714879764e-53,13.30413469565007,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,C_SHARED_INTERCEPT,1297,139,0.0040997950102494,2.8698592549372254e-42,11.789826122551595,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,C_FROZEN_INTERCEPT,1297,139,1.0,2.8698592549372254e-42,11.789826122551595,True,0.0002777777777777778,True,4.999750012499375e-05
