bucket_lo,bucket_hi,n,n_blocks,mae_base,dMAE,pct_of_MAE,p,null_sd,MDE80_analytic,MDE80_carried,p_min_attainable,six_block_floor_ok,verdict
0.0,2.5,59,15,4.371173283289045,0.012749215210755489,0.29166574703170933,0.0012496875781054736,0.004349329982255304,0.01217812395031485,0.014857311219384117,6.103515625e-05,True,ABOVE_FLOOR
2.5,5.0,91,22,3.6893980460512963,0.016128311539459126,0.4371529267957682,0.008747813046738315,0.007087896871564887,0.019846111240381683,0.024212255713265653,4.76837158203125e-07,True,BELOW_FLOOR_NOT_ESTABLISHED
5.0,7.5,212,53,4.278385363154552,0.01905549273087067,0.4453898167980973,0.0017495626093476631,0.006256577600786813,0.017518417282203075,0.021372469084287752,2.220446049250313e-16,True,ABOVE_FLOOR
7.5,10.0,148,38,4.127808765659812,0.02886899594868604,0.6993782315899381,0.015246188452886777,0.012313343191243612,0.034477360935482114,0.042062380341288175,7.275957614183426e-12,True,BELOW_FLOOR_NOT_ESTABLISHED
10.0,12.5,139,32,4.18459324785258,0.025427367270596805,0.607642505843201,0.10297425643589103,0.015601586744685777,0.043684442885120175,0.05329502031984661,4.656612873077393e-10,True,BELOW_FLOOR_NOT_ESTABLISHED
12.5,15.0,106,24,4.170420331998479,0.02358131626285343,0.5654421949250662,0.11497125718570357,0.014993264221515508,0.04198113982024342,0.051216990580696974,1.1920928955078125e-07,True,BELOW_FLOOR_NOT_ESTABLISHED
15.0,17.5,106,22,4.852393672429895,-0.018096759842363492,-0.3729450053730146,0.6053486628342915,0.03293862575516737,0.09222815211446864,0.11251834557965174,4.76837158203125e-07,True,NEGATIVE_OR_ZERO
17.5,20.0,140,30,3.84421646911489,-0.03256183848278104,-0.8470344670855183,0.21044738815296177,0.026164807710713518,0.07326146158999784,0.08937898313979736,1.862645149230957e-09,True,NEGATIVE_OR_ZERO
20.0,22.5,171,36,4.552267970335993,0.012554577739906194,0.27578731791967787,0.6478380404898775,0.02678918391112685,0.07500971495115517,0.09151185224040931,2.9103830456733704e-11,True,BELOW_FLOOR_NOT_ESTABLISHED
22.5,25.0,98,23,3.5195307790304873,-0.01022234201377723,-0.2904461604564556,0.7543114221444639,0.03142278039157067,0.08798378509639787,0.1073402178176054,2.384185791015625e-07,True,NEGATIVE_OR_ZERO
25.0,27.5,79,18,4.123293329435532,-0.05125360162823058,-1.2430258420457092,0.28167958010497374,0.046525370986477035,0.1302710387621357,0.15893066728980554,7.62939453125e-06,True,NEGATIVE_OR_ZERO
27.5,30.0,91,23,4.7107261105808185,0.04925542741858272,1.0456015964916643,0.25868532866783306,0.042395733161302004,0.11870805285164561,0.14482382447900763,2.384185791015625e-07,True,BELOW_FLOOR_NOT_ESTABLISHED
30.0,32.5,80,20,4.60755486241906,0.06675587282396625,1.4488351157454924,0.3309172706823294,0.0657208225171342,0.18401830304797573,0.22450232971853037,1.9073486328125e-06,True,BELOW_FLOOR_NOT_ESTABLISHED
32.5,35.0,136,31,3.801395696301689,0.045262368898177,1.1906776487965187,0.3886528367908023,0.05207965216116312,0.14582302605125674,0.17790409178253322,9.313225746154785e-10,True,BELOW_FLOOR_NOT_ESTABLISHED
35.0,37.5,70,18,4.524221443294752,0.14511775381601819,3.2075740684862803,0.008747813046738315,0.05769796097280577,0.16155429072385616,0.1970962346831045,7.62939453125e-06,True,BELOW_FLOOR_NOT_ESTABLISHED
37.5,40.0,55,14,4.424321386669469,0.19882586316554532,4.493929029762845,0.015496125968507872,0.08400797180021896,0.23522232104061308,0.28697123166954797,0.0001220703125,True,BELOW_FLOOR_NOT_ESTABLISHED
40.0,45.0,123,31,4.524211052212681,-0.010981530561877482,-0.24272807866703489,0.8660334916270932,0.06589748016279681,0.18451294445583105,0.22510579223611388,9.313225746154785e-10,True,NEGATIVE_OR_ZERO
45.0,50.0,45,11,3.9338670665516675,0.2366828030605192,6.016542985729043,0.0004998750312421895,0.08455406113354047,0.2367513711739133,0.2888366728321742,0.0009765625,True,BELOW_FLOOR_NOT_ESTABLISHED
50.0,60.0,157,41,4.705980704307361,0.17508070430508868,3.7203872116355723,0.01949512621844539,0.07502389557328527,0.21006690760519875,0.25628162727834247,9.094947017729282e-13,True,BELOW_FLOOR_NOT_ESTABLISHED
60.0,inf,215,57,4.852593527281075,0.07033371212240981,1.4494045653524585,0.48712821794551364,0.09911914639061227,0.27753360989371434,0.3385910040703315,1.3877787807814457e-17,True,BELOW_FLOOR_NOT_ESTABLISHED
