order,n,n_blocks,dMAE,pct_of_MAE,p,null_sd,MDE80_analytic
C_on_RAW_CHAMPION,1051,264,0.07959750468317751,1.7740126818002548,0.0029996250468691415,0.027341597172411282,0.07655647208275158
C_on_AB_SUBSTITUTED,1051,264,0.05070492405234052,1.1373516726266655,0.023122109736282963,0.022841912118328277,0.06395735393131917
