response,window,stratum,n,n_blocks,dMAE_shared,dMAE_frozen,attributable_to_recalibration,pct_of_shared_that_is_recalibration
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,1051,264,0.07599108674339723,0.07959750468317751,-0.003606417939780282,-4.7458433539162925
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,2475,282,0.11417748695458184,0.1113833735939586,0.0027941133606232404,2.4471666307865916
minutes,PRIMARY_WINDOW_2023_2024,DECISION_all,3158,764,0.01498706556752462,0.026490493167200622,-0.011503427599676002,-76.75570342871328
minutes,PRIMARY_WINDOW_2023_2024,POOLED,9022,960,0.02308169952025507,0.030555735939375703,-0.007474036419120634,-32.38078899936239
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_eq_0,3300,333,-0.0045571846605704045,0.0,-0.0045571846605704045,100.0
minutes,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,3189,345,-0.023018530431078568,0.0,-0.023018530431078568,100.0
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,613,151,0.05942343250419269,0.05898326100130843,0.0004401715028842651,0.7407372552119205
minutes,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,1452,164,0.10109178008040194,0.10016201266574785,0.0009297674146540869,0.919726029074381
minutes,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,1591,384,0.00875549114740515,0.02272579446499187,-0.013970303317586719,-159.56047561908704
minutes,PRIMARY_WINDOW_SPLIT_2023,POOLED,4520,480,0.02490599399499765,0.03217593858200573,-0.007269944587008078,-29.189538022326033
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,1737,177,-0.007028799621223116,0.0,-0.007028799621223116,100.0
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,1297,139,-0.024663335551556084,0.0,-0.024663335551556084,100.0
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,438,113,0.09917823753936154,0.10844803294113582,-0.009269795401774278,-9.346602270579078
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,1023,118,0.13275074832438555,0.12731046652432226,0.005440281800063285,4.098117614199495
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,1567,380,0.021314082097460857,0.030312851581504457,-0.0089987694840436,-42.219831203125665
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,4502,480,0.021250111109362913,0.028929055365255817,-0.007678944255892904,-36.13601931949203
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,1563,156,-0.0018104187062173934,0.0,-0.0018104187062173934,100.0
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_0_to_25,1892,206,-0.0218909869631825,0.0,-0.0218909869631825,100.0
pts,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,1051,264,-0.013142427924408772,-0.01871588367360098,0.005573455749192208,-42.408113487469905
pts,PRIMARY_WINDOW_2023_2024,C_TREATED_all,2475,282,-0.05235828782940432,-0.058789208398683686,0.006430920569279366,-12.282526484121913
pts,PRIMARY_WINDOW_2023_2024,DECISION_all,3158,764,0.008038976158341687,-0.006228750392955867,0.014267726551297554,177.48188662672635
pts,PRIMARY_WINDOW_2023_2024,POOLED,9022,960,0.0012190062783334333,-0.01612760926476858,0.017346615543102014,1423.01281391409
pts,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_eq_0,3300,333,0.018717305325268635,0.0,0.018717305325268635,100.0
pts,PRIMARY_WINDOW_2023_2024,VACUOUS_freed_0_to_25,3189,345,0.022369557392384845,0.0,0.022369557392384845,100.00000000000001
pts,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_and_DECISION,613,151,-0.009821080018061795,-0.015652684239228828,0.005831604221167033,-59.37844117390573
pts,PRIMARY_WINDOW_SPLIT_2023,C_TREATED_all,1452,164,-0.04170604932820097,-0.04933353510313248,0.007627485774931511,-18.288679694659848
pts,PRIMARY_WINDOW_SPLIT_2023,DECISION_all,1591,384,0.0023177889812044613,-0.006030858226679619,0.00834864720788408,360.19876164678396
pts,PRIMARY_WINDOW_SPLIT_2023,POOLED,4520,480,-0.0006833098232342285,-0.01584785242693548,0.01516454260370125,-2219.2777109400736
pts,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_eq_0,1737,177,0.018102996214384805,0.0,0.018102996214384805,100.0
pts,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,1297,139,0.01623033867261525,0.0,0.01623033867261525,100.0
pts,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,438,113,-0.017790798396077025,-0.023002964160519085,0.0052121657644420595,-29.29697503396684
pts,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,1023,118,-0.06747759408917683,-0.0722101640439822,0.004732569954805366,-7.013542819192561
pts,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,1567,380,0.013847788410304242,-0.006429673453929393,0.020277461864233633,146.43104922909586
pts,PRIMARY_WINDOW_SPLIT_2024,POOLED,4502,480,0.0031289282639144706,-0.016408484632828475,0.019537412896742944,624.4122986795647
pts,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,1563,156,0.019400002014715353,0.0,0.019400002014715353,100.0
pts,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_0_to_25,1892,206,0.026578102149013363,0.0,0.026578102149013363,100.0
