response,window,stratum,arm,n,n_blocks,mae_base,mae_arm,dMAE,pct_of_MAE,p,null_sd,MDE80_analytic,MDE80_carried,p_min_attainable,max_attainable_abs_t,six_block_floor_ok,verdict_vs_analytic,verdict_vs_carried,n_treated_in_cell,conditioning
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,C_SHARED_INTERCEPT,1051,264,4.486862213544187,4.4108711268007905,0.07599108674339723,1.6936353987873325,0.006249687515624219,0.028430439324393493,0.07960523010830177,0.09711838073212815,0.0,16.24807680927192,True,BELOW_FLOOR_NOT_ESTABLISHED,BELOW_FLOOR_NOT_ESTABLISHED,1051,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,C_FROZEN_INTERCEPT,1051,264,4.486862213544187,4.4072647088610095,0.07959750468317751,1.7740126818002548,0.002999850007499625,0.027311897112580766,0.07647331191522613,0.09329744053657588,0.0,16.24807680927192,True,ABOVE_FLOOR,BELOW_FLOOR_NOT_ESTABLISHED,1051,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,ABC_SHARED_INTERCEPT,1051,264,4.486862213544187,4.40927360349343,0.07758861005075739,1.7292398642540416,0.00439978001099945,0.027815169627963918,0.07788247495829896,0.09501661944912473,0.0,16.24807680927192,True,BELOW_FLOOR_NOT_ESTABLISHED,BELOW_FLOOR_NOT_ESTABLISHED,1051,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,ABC_FROZEN_INTERCEPT,1051,264,4.458157074253001,4.407452150200661,0.05070492405234052,1.1373516726266655,0.024648767561621918,0.022852451721985714,0.06398686482155999,0.07806397508230319,0.0,16.24807680927192,True,BELOW_FLOOR_NOT_ESTABLISHED,BELOW_FLOOR_NOT_ESTABLISHED,1051,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_and_DECISION,AB_ONLY_baseABC_vs_base,1051,264,4.486862213544187,4.458157074253001,0.02870513929118574,0.6397597680743455,4.999750012499375e-05,0.006248565164884916,0.017495982461677762,0.02134509860324687,0.0,16.24807680927192,True,ABOVE_FLOOR,ABOVE_FLOOR,1051,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,C_SHARED_INTERCEPT,2475,282,5.129469809414533,5.015292322459952,0.11417748695458184,2.22591205712962,0.0004999750012499375,0.03137921341075012,0.08786179755010032,0.10719139301112239,0.0,16.792855623746664,True,ABOVE_FLOOR,ABOVE_FLOOR,2475,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,C_FROZEN_INTERCEPT,2475,282,5.129469809414533,5.0180864358205755,0.1113833735939586,2.171440280036889,0.0005499725013749313,0.03104370359749879,0.08692237007299661,0.10604529148905587,0.0,16.792855623746664,True,ABOVE_FLOOR,ABOVE_FLOOR,2475,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,ABC_SHARED_INTERCEPT,2475,282,5.129469809414533,5.008725328714724,0.12074448069980945,2.353936862601224,0.0002999850007499625,0.032623699578294155,0.09134635881922362,0.11144255775945282,0.0,16.792855623746664,True,ABOVE_FLOOR,ABOVE_FLOOR,2475,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,ABC_FROZEN_INTERCEPT,2475,282,5.097341327848631,5.0123843900702765,0.0849569377783549,1.6666911692612036,0.004849757512124394,0.03013884576710604,0.0843887681478969,0.10295429714043422,0.0,16.792855623746664,True,ABOVE_FLOOR,BELOW_FLOOR_NOT_ESTABLISHED,2475,ORACLEABS
minutes,PRIMARY_WINDOW_2023_2024,C_TREATED_all,AB_ONLY_baseABC_vs_base,2475,282,5.129469809414533,5.097341327848631,0.03212848156590195,0.626350924357405,4.999750012499375e-05,0.011387230023747521,0.03188424406649306,0.03889877776112153,0.0,16.792855623746664,True,ABOVE_FLOOR,BELOW_FLOOR_NOT_ESTABLISHED,2475,ORACLEABS
