gate_tau,n,n_blocks,n_rows_gated_in,mae_base,dMAE,pct_of_MAE,p,null_sd,MDE80_analytic,MDE80_carried,verdict
0.0,2321,559,2321,4.320068469416426,0.04143337009531698,0.9590905882312089,0.001999500124968758,0.013198837742345934,0.03695674567856862,0.045087229727853714,ABOVE_FLOOR
5.0,2321,559,2171,4.320068469416426,0.040267081050595115,0.9320935845267881,0.0022494376405898524,0.013146332856704147,0.03680973199877161,0.04490787303850136,ABOVE_FLOOR
10.0,2321,559,1811,4.320068469416426,0.034470526592041584,0.797916209802527,0.005998500374906273,0.012388173083672294,0.03468688463428242,0.042317999253824554,BELOW_FLOOR_NOT_ESTABLISHED
15.0,2321,559,1566,4.320068469416426,0.03245407066801131,0.751239729133167,0.010997250687328168,0.012755523061121795,0.035715464571141026,0.04357286677679205,BELOW_FLOOR_NOT_ESTABLISHED
20.0,2321,559,1320,4.320068469416426,0.03571471137098368,0.826716326924517,0.0024993751562109472,0.01227200047722111,0.03436160133621911,0.04192115363018731,ABOVE_FLOOR
25.0,2321,559,1051,4.320068469416426,0.03604350599828503,0.8343271930399275,0.0034991252186953262,0.01253717159994771,0.03510408047985358,0.04282697818542137,ABOVE_FLOOR
30.0,2321,559,881,4.320068469416426,0.036269925704030336,0.8395683068636605,0.0017495626093476631,0.01212226178927106,0.03394233300995897,0.04140964627214994,ABOVE_FLOOR
35.0,2321,559,665,4.320068469416426,0.034659734923640446,0.8022959628767745,0.0094976255936016,0.01363303642720755,0.038172501996181135,0.046570452435340984,BELOW_FLOOR_NOT_ESTABLISHED
40.0,2321,559,540,4.320068469416426,0.021980533379676058,0.5088005788631699,0.05548612846788303,0.011495797722910265,0.03218823362414874,0.03926964502146146,BELOW_FLOOR_NOT_ESTABLISHED
45.0,2321,559,417,4.320068469416426,0.023846842901772324,0.5520015034621353,0.028242939265183703,0.010977618526689324,0.030737331874730104,0.03749954488717073,BELOW_FLOOR_NOT_ESTABLISHED
50.0,2321,559,372,4.320068469416426,0.018458514924830388,0.4272736660427016,0.05373656585853537,0.009632604770231135,0.026971293356647177,0.03290497789510956,BELOW_FLOOR_NOT_ESTABLISHED
