scope,n_rows,n_team_games,n_decision,n_C_treated,n_C_treated_AND_decision,n_blocks_C_treated_AND_decision,pct_of_scope_in_decision,pct_of_C_treated_in_decision
U39 pooled window 2023-2024,9022,960,3158,2475,1051,264,35.00332520505431,42.464646464646464
U39 fold 2023,4520,480,1591,1452,613,151,35.19911504424779,42.21763085399449
U39 fold 2024,4502,480,1567,1023,438,113,34.80675255442026,42.81524926686217
