scope,season,n_games,mae_structural,mae_raw,mae_naive_home
all eligible,2024,229,8.936136436031987,9.96431188048028,10.706528742214905
all eligible,2025,276,10.943893902132928,11.3781324205198,12.090698503207413
all eligible,2026,168,10.243943971501645,10.652361798907524,11.245706479313036
all eligible,pooled,673,10.085991899037579,10.715882245037015,11.408776459698437
excl fallback games,2024,229,8.936136436031987,9.96431188048028,10.706528742214905
excl fallback games,2025,276,10.943893902132928,11.3781324205198,12.090698503207413
excl fallback games,2026,168,10.243943971501645,10.652361798907524,11.245706479313036
excl fallback games,pooled,673,10.085991899037579,10.715882245037015,11.408776459698437
