channel,scope,alpha,n_test_rows,mae_raw,mae_structural,delta,prob_structural_better
ft,2024-2026 pooled,0.1,1362,4.364038793768407,4.304177509483028,-0.05986128428537896,0.954
ft,2024,0.1,464,4.094870298457254,4.012309413987101,-0.08256088447015308,0.939
ft,2025,0.1,555,4.332243607458843,4.283785751183769,-0.04845785627507393,0.816
ft,2026,0.1,343,4.779608794427836,4.732003230084192,-0.047605564343643714,0.7075
3pt,2024-2026 pooled,0.05,1362,7.237067419390278,7.094980626086497,-0.14208679330378082,0.987
3pt,2024,0.05,464,6.874691561869595,6.588140272673123,-0.28655128919647144,0.9995
3pt,2025,0.05,555,7.484863783548575,7.347933320494482,-0.1369304630540933,0.904
3pt,2026,0.05,343,7.326325191348711,7.371322254621113,0.04499706327240194,0.3675
paint,2024-2026 pooled,0.05,1362,6.819056187553621,6.737236547431354,-0.0818196401222675,0.852
paint,2024,0.05,464,6.371751871827361,6.28494345291321,-0.08680841891415092,0.787
paint,2025,0.05,555,6.773271436753949,6.717074499690169,-0.05619693706378026,0.672
paint,2026,0.05,343,7.49823910064634,7.381708653416123,-0.11653044723021733,0.7325
np2,2024-2026 pooled,0.05,1362,3.1834313959887917,3.2886110635336774,0.10517966754488572,0.0
np2,2024,0.05,464,3.4515182678850147,3.480538097375676,0.029019829490661397,0.295
np2,2025,0.05,555,3.111460949694346,3.2733047638567068,0.16184381416236082,0.0005
np2,2026,0.05,343,2.9372252418592564,3.053744744635811,0.11651950277655443,0.0435
