cluster_perm_dR2_M,naive_row_perm_dR2_M
1.1086672590431402e-05,8.711816442275366e-06
7.453849090133052e-06,0.0001575466349874591
0.00012042105774078116,8.488081922322176e-05
6.710021844401982e-05,3.6652336960975e-05
4.110402956099309e-06,1.7775508335605528e-05
0.00011540682704170343,4.254255749111479e-05
2.5237608562621143e-07,2.6631122603630068e-05
3.9638655752133546e-07,6.968414063560973e-05
4.082109332892247e-06,0.000425905443105328
9.384403402683975e-07,7.90725123280963e-05
8.539171836184617e-06,0.00020888035012068382
1.4198697636192473e-05,8.347220482608901e-05
6.770215494541053e-05,1.9638395824877057e-05
2.0893672121967215e-05,8.666234036550356e-07
2.7543605622284066e-05,5.917985612498607e-06
3.721816044316149e-05,8.79923274787451e-05
5.3079446798100536e-05,0.00017966582960951704
2.8732329594022612e-05,0.00015586304692691904
3.962072353183378e-05,1.1077511445213679e-05
0.00019435562439008792,1.633907284419417e-06
4.638049961164458e-06,3.742691780090899e-05
0.00012437154829971227,1.4041639849475317e-05
0.00014780585368595953,9.80230206239923e-07
0.0001331103794510958,4.4316100884860294e-05
0.00017132838775081594,6.252912344568755e-05
8.822619356315877e-05,0.00020667099512352292
0.0003200946820866427,0.00011771332938999734
1.0455532693733021e-07,7.327665995141024e-07
0.00016260111092853324,8.289361834946695e-05
7.4761567241719585e-06,7.107121126777566e-06
2.3189714280493023e-05,4.808127745421799e-06
1.3596185916400245e-06,6.023615234126929e-05
1.4947309734701586e-06,5.568768318356882e-05
2.2086860290708027e-05,0.00011237699142077357
2.9888075430734344e-06,6.388282837223612e-05
5.968431938380083e-05,9.76682264362774e-05
3.3094523398192787e-07,1.140493200192428e-05
6.314503654253778e-06,3.8654565318610595e-05
0.00014660233386478867,0.0001319537946213528
0.00015417337854232063,2.1884562914390478e-05
8.90822368563215e-06,7.25667116108416e-06
3.3408564214643596e-05,3.5498899340473455e-05
0.0004203991636420985,5.133723339077846e-07
0.00021276542822837142,2.445799732581398e-07
4.5926401514369686e-06,2.0452760713053164e-05
0.00011721829450516086,3.3365121661878844e-05
1.5473614297808326e-05,0.00019534197328369151
1.4273024920467862e-05,1.2751347544818725e-05
6.91838931633337e-05,0.00018363279498677146
5.490566022696625e-05,0.00016955796294047703
0.0002421599965775311,4.845581234637186e-05
9.476967610014292e-07,0.0001045933793802392
3.21627124782167e-06,0.00011365917087229982
1.1618860449794675e-05,5.903366811379672e-06
4.226514731555422e-06,6.62819778718133e-05
8.620496300646348e-05,7.48000934805514e-06
4.069414731955426e-06,3.6828921713050056e-06
0.0002502644253042779,0.0002470405990830233
8.150682429818734e-05,5.1724874194149397e-05
0.0001080728607203333,1.9214498104118108e-05
0.00017721267592345574,0.00018079752242148423
3.294384375885267e-05,0.00020274252231320257
1.0474682881154217e-05,1.9377426556827052e-05
0.00012413695699630084,4.7744026193728155e-06
1.6506178317724482e-05,0.00011513076344279637
0.00014246038597787736,3.767686938631494e-06
0.00013116919490374998,7.174495058400174e-05
7.943053751069548e-05,2.515437932389693e-06
1.6217231220117806e-06,4.989738839736964e-05
7.400925101975108e-05,9.750042845736243e-05
2.2040864992243735e-05,1.585565858513487e-06
3.079066401009508e-05,0.00012364075801380526
3.34337469717205e-06,7.050483263261588e-05
3.0388133984603012e-05,3.4235723198849696e-05
0.00011562670159676416,0.0003015393477948624
3.235663979479549e-05,0.0001436745887076803
0.00013320615195566224,0.00019523803671484723
4.2206145133583105e-05,5.3293596803966965e-06
2.23973412959537e-06,7.074240946223481e-05
8.117328773650298e-05,6.696054267096511e-05
7.307652434787014e-05,0.00015079796619407303
0.00012301163957116344,2.5833167766642106e-05
1.0195423052450652e-07,0.00022156618344045605
1.2007539043013426e-05,0.0001442116245202075
2.218349696397373e-06,4.831688059215007e-05
1.1427280830887136e-05,0.0001120817774578717
5.340746111205558e-05,4.253829154904803e-06
1.6413774037950875e-05,1.7999656260222314e-08
0.00036322467885158144,1.6894208188017457e-06
0.00014812706614933063,2.7134173430682076e-05
0.00017334305185441755,8.152134289526483e-07
3.336886631550512e-05,6.360802115346784e-08
1.2221452013612111e-05,4.8887086759731386e-05
2.4663360596214166e-08,4.326747998074104e-06
7.153905641760318e-05,2.4044302770179358e-06
1.4307829290691323e-05,0.00012977401439119321
3.039495028251312e-05,0.00013434642527517982
0.00012650088972402507,0.00012615215751761737
6.539337329320737e-06,0.00012113859255055117
3.160748257013392e-06,2.585236129537393e-05
0.0005198341282473973,8.176724959413333e-05
8.627400220972117e-06,4.756276375077189e-06
4.558438037124979e-05,5.6039098421119504e-05
9.347668281415899e-07,2.8074539465067377e-06
6.899638744148069e-06,1.6876556535658622e-06
0.000678753807657912,1.141962330963205e-06
2.605135222105411e-06,5.577034460434881e-07
3.6227879854856674e-05,3.5326831429783914e-07
7.785292396609259e-05,9.780624114573791e-06
3.84987239908593e-06,6.522008429876255e-05
3.2475540619000464e-05,1.002900823132433e-07
0.0002879804695146792,0.00014736670325070014
0.00030610197985107894,2.876746256390929e-06
7.209137146802287e-06,0.00014771425697385625
