cluster_perm_dR2_M,naive_row_perm_dR2_M
0.00036239754015303074,6.776804671746724e-08
3.7441701614053156e-06,6.452069603265067e-06
6.695086875271822e-06,4.055461081301271e-05
6.281535964230929e-05,2.1797827596136036e-05
0.00010722417444830656,1.9325683506695008e-05
0.00010803008961334505,1.1824317585388505e-05
5.2958568315291586e-05,1.3950888103661997e-05
7.641069427703295e-06,6.121877022338275e-06
0.00016814352298563746,5.451853073793961e-06
9.155987193143006e-05,1.7662959928551155e-07
9.074197848449353e-05,1.9820919109838053e-05
0.0006077852357605683,4.216342543240442e-06
3.146983038951406e-05,3.933466414139896e-07
0.00028990101407557384,6.88942878445466e-05
0.0003544534690156941,4.716408527265572e-06
0.00014752476479559502,5.630338429970966e-05
0.00021119508016801704,1.6211544149944323e-05
3.128954494811804e-05,1.5596227638369917e-07
5.7636819298446904e-08,6.996834038837934e-09
4.99650393524174e-06,1.0806400760976525e-06
0.0005010708380802842,6.370637902463618e-05
7.894295208811241e-06,9.21252372850111e-08
9.395906893877221e-05,2.551075886560347e-06
3.940473591383555e-05,0.00018447281891928124
4.2500545454459604e-05,0.00010206468799356914
3.172508324195651e-05,4.6241714626130996e-05
5.788042164855726e-05,1.8283570740147713e-05
7.597836635588513e-05,4.996681407421703e-05
0.00012976861436811058,4.247286694314995e-05
0.0002573396956867616,1.1174359911522277e-05
0.0001763697881712914,3.7728617575953697e-06
0.0006577700299974128,1.1181125290977373e-05
2.6547851602801086e-05,1.7073683135219204e-05
1.4844923992989825e-05,2.284132499045214e-05
0.0008577408989240028,5.363102603866901e-05
8.079938497634617e-07,0.00023361658943271577
0.00010339061478636579,7.862410993181113e-07
4.0580581789635214e-05,3.4281959933534167e-06
0.00010806755207544811,4.1153351755456175e-12
2.3942515023840624e-05,3.647803432001505e-05
0.00011930353513322253,1.0291755001603219e-05
4.3935764896771185e-05,1.6970216955861202e-06
0.0002215358315829018,3.4353043427409034e-06
0.00023656132464216917,1.8840843906245212e-07
0.00034593802817845654,7.330414499085171e-07
0.0001065567667117661,3.384849154317577e-05
0.0005545670729896081,4.088266347791864e-05
5.824015039223991e-06,7.921470851300423e-09
0.0004241017545745281,2.2684727554601765e-05
5.501316052723389e-05,3.306080255705826e-05
9.822080884686456e-05,3.6258141323892195e-07
0.00011148146009146306,0.00020474655555561153
1.4556660809272917e-06,4.618148951813554e-05
0.0003174395366028144,6.377996806649326e-05
1.22268060962825e-05,2.2793127624641544e-06
0.00012917816493902067,5.9347744568175926e-05
1.2442971982492533e-06,0.000214166847525129
7.863560205232639e-05,0.0002273125139668516
3.8099146857780835e-05,2.4336235884608167e-06
3.142954024004887e-05,3.3197057404636506e-05
0.0005055904802267819,5.0110136004252065e-06
2.6835929421696747e-06,7.876783513913653e-08
0.00023694596190355804,7.243556908370272e-07
0.0001245176239867121,3.6495654818700415e-06
6.37463709377029e-05,2.7212024982954466e-06
1.5761308445431773e-07,2.252273601982444e-06
1.1722794779957498e-05,2.1301573602664726e-06
7.834686417277435e-05,9.25992922915892e-06
1.4108888359647813e-05,0.00028149505813508685
5.927585061947579e-05,0.00036308670310388825
2.9626777263589734e-05,7.074159527743876e-08
0.0011058752305374662,7.037604877236667e-05
7.463898784690332e-05,2.0289619984527725e-05
