target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common,component,identical_forecast,rows_component_can_act_on,coverage_frac
pts,POOLED,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,0.03264401334857203,0.03264401334857196,13808,472,0.00024993751562109475,9.013041765298724e-06,0.0037011427715924103,0.00024993751562109475,1.2186537816643412,4.029277766983091,4.176266674168219,794393.9606025491,C1_FALLBACK_ROUTE,False,947,0.06858342989571263
pts,DECISION,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,-7.946488087939851e-05,-7.946488087943596e-05,5107,257,0.44413896525868535,-2.3043283545310137e-06,9.973664183661074e-05,0.45238690327418146,0.9503367275275652,5.003583973815462,5.003760085188532,293539.864108087,C1_FALLBACK_ROUTE,False,0,0.0
pts,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,2.938545810793336e-06,2.9385458107721657e-06,12818,451,0.9517620594851287,-6.683003591107635e-08,5.032815905616457e-05,0.9575106223444139,0.9978399832468078,4.029167127130346,4.02929946295874,740211.9960212201,C1_FALLBACK_ROUTE,False,0,0.0
minutes,POOLED,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,0.049679294597742674,0.04967929459774276,13808,472,0.00024993751562109475,1.372778076323129e-05,0.004055526082514732,0.00024993751562109475,1.275589674264942,4.727297925233974,5.044144684399445,1596325.117607325,C1_FALLBACK_ROUTE,False,947,0.06858342989571263
minutes,DECISION,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,0.0006843688215348864,0.0006843688215348332,5107,257,0.0022494376405898524,1.1260377529633435e-06,0.00023021426801102262,0.0024993751562109472,0.9854227276694013,4.339354549972571,4.341320291442735,213459.3165649544,C1_FALLBACK_ROUTE,False,0,0.0
minutes,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,7.329917014153864e-05,7.329917014153105e-05,12818,451,0.18670332416895777,-3.8546366007317015e-07,5.530925469756367e-05,0.16470882279430143,1.0431835930224813,4.688460374549074,4.688732502592009,1470952.3357341457,C1_FALLBACK_ROUTE,False,0,0.0
fga,POOLED,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,0.042447321782868475,0.04244732178286851,13808,472,0.00024993751562109475,2.98773061499142e-06,0.0041453670796152454,0.00024993751562109475,1.247980108201579,2.492173718184691,2.6235957049841803,396833.66446987254,C1_FALLBACK_ROUTE,False,947,0.06858342989571263
fga,DECISION,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,-3.884341417703663e-05,-3.884341417708789e-05,5107,257,0.7510622344413896,-1.4512126787235074e-06,0.00012547245202646764,0.7615596100974756,0.9813806617296164,2.9209818202361957,2.9209194929898064,124986.92265517917,C1_FALLBACK_ROUTE,False,0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,-8.246885829343853e-06,-8.24688582924685e-06,12818,451,0.878780304923769,-4.114646063646565e-07,5.500202800233389e-05,0.8767808047988003,1.0518028486312965,2.481660503961662,2.481471095448996,368583.7969261976,C1_FALLBACK_ROUTE,False,0,0.0
ppm,POOLED,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,0.012470850255037358,0.012470850255037316,13808,472,0.00024993751562109475,-2.1359914050728278e-05,0.0029524931361521243,0.00024993751562109475,1.1431242748806072,0.17912396384096613,0.1811864807708592,962.107250511479,C1_FALLBACK_ROUTE,False,947,0.06858342989571263
ppm,DECISION,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,-8.334314026459122e-05,-8.334314026454558e-05,5107,257,0.2229442639340165,-1.4473430829715465e-06,6.714163298187754e-05,0.24543864033991503,0.9478939031217205,0.15159550755243636,0.15159416982901544,252.94414129912354,C1_FALLBACK_ROUTE,False,0,0.0
ppm,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C1_FALLBACK_ROUTE,8.866212684033314e-07,8.866212686209065e-07,12818,451,0.9782554361409648,1.8887174410576172e-07,3.457158458798582e-05,0.9805048737815546,0.9987777756292531,0.1779657860263584,0.17795982476604913,884.9260528459707,C1_FALLBACK_ROUTE,False,0,0.0
pts,POOLED,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,-0.00014180486301473838,-0.00014180486301483753,13808,472,0.3474131467133217,1.3045500203295262e-06,0.00015062088130791973,0.3739065233691577,0.9651364318910505,4.029277766983091,4.031780079617134,794393.9606025491,C3_PER_TARGET_HALFLIFE,False,947,0.06858342989571263
pts,DECISION,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,-1.3017765858602814e-06,-1.3017765860140448e-06,5107,257,0.7840539865033742,-1.1293712773508903e-07,4.9195292509768154e-06,0.8067983004248938,0.9253892514452848,5.003583973815462,5.003596548762504,293539.864108087,C3_PER_TARGET_HALFLIFE,False,0,0.0
pts,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,6.599696222853169e-07,6.599696222414486e-07,12818,451,0.7928017995501124,-9.020324028205093e-09,2.564656829610335e-06,0.8140464883779055,0.944144944576443,4.029167127130346,4.0291824982359286,740211.9960212201,C3_PER_TARGET_HALFLIFE,False,0,0.0
minutes,POOLED,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,-1.7095196430672033e-05,-1.709519643064656e-05,13808,472,0.8452886778305424,1.3877374452184763e-06,8.714085101864146e-05,0.8407898025493626,0.9819764896306217,4.727297925233974,4.726848068896432,1596325.117607325,C3_PER_TARGET_HALFLIFE,False,947,0.06858342989571263
minutes,DECISION,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,-5.59791456467007e-06,-5.597914564639095e-06,5107,257,0.3731567108222944,-4.456864909562041e-08,6.1867922030726775e-06,0.4151462134466383,0.9079147674390298,4.339354549972571,4.339334311151976,213459.3165649544,C3_PER_TARGET_HALFLIFE,False,0,0.0
minutes,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,-1.673429631532386e-06,-1.673429631504234e-06,12818,451,0.3276680829792552,-3.322609737179466e-08,1.6822365540046485e-06,0.30617345663584106,1.0375826894831586,4.688460374549074,4.688443147409178,1470952.3357341457,C3_PER_TARGET_HALFLIFE,False,0,0.0
fga,POOLED,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,2.492173718184691,2.492173718184691,396833.66446987254,C3_PER_TARGET_HALFLIFE,True,947,0.06858342989571263
fga,DECISION,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,2.9209818202361957,2.9209818202361957,124986.92265517917,C3_PER_TARGET_HALFLIFE,True,0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,FULL_STACK,MINUS_C3_PER_TARGET_HALFLIFE,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,2.481660503961662,2.481660503961662,368583.7969261976,C3_PER_TARGET_HALFLIFE,True,0,0.0
