feature,finite_all,finite_fl0,n_fl0,finite_fl2,n_fl2,finite_fl3,n_fl3
O01_own_usg_pg,11697,11636,11644,61,62,0,0
P01_c04_prevgame,11706,11644,11644,62,62,0,0
G01_noise,11706,11644,11644,62,62,0,0
A10_opp_defrtg,11706,11644,11644,62,62,0,0
tm_is_home,11706,11644,11644,62,62,0,0
n_prior,11706,11644,11644,62,62,0,0
prior5_minutes,9496,9496,11644,0,62,0,0
used,11706,11644,11644,62,62,0,0
