target,stratum,real_dr2,real_p,placebo_dr2,placebo_p,placebo_shows_a_gain,ratio_real_over_placebo,verdict
pts,POOLED,0.034217645577750755,0.00024993751562109475,0.00039277204033272284,0.24343914021494625,True,87.11833344543695,PLACEBO GAIN IS 87x SMALLER THAN THE REAL ONE
pts,DECISION,0.003485691761207388,0.02899275181204699,0.0002875984796649744,0.6640839790052487,True,12.119993698394705,PLACEBO GAIN IS 12x SMALLER THAN THE REAL ONE
pts,POOLED_EXCL_ROUTED__POSTHOC,0.0015023146935437826,0.04498875281179705,0.00041629369629403445,0.24943764058985254,True,3.608785592762556,PLACEBO GAIN IS 4x SMALLER THAN THE REAL ONE
minutes,POOLED,0.04941271870566477,0.00024993751562109475,-0.0013135194938869166,0.005498625343664084,False,-37.618565187368894,"PLACEBO SHOWS NO GAIN (dR2 -0.001314, p 0.0055) -- the control is clean here"
minutes,DECISION,-0.005213440795699631,0.00024993751562109475,-0.0019573364549746453,0.303424143964009,False,2.663538392926506,"REAL STACK DOES NOT GAIN HERE (dR2 -0.005213, p 0.0002); PLACEBO SHOWS NO GAIN (dR2 -0.001957, p 0.3034) -- the control is clean here"
minutes,POOLED_EXCL_ROUTED__POSTHOC,-0.00026304807036292566,0.3654086478380405,-0.001422248631334444,0.0029992501874531365,False,0.18495224011298028,"REAL STACK DOES NOT GAIN HERE (dR2 -0.000263, p 0.3654); PLACEBO SHOWS NO GAIN (dR2 -0.001422, p 0.0030) -- the control is clean here"
fga,POOLED,0.04295556225914754,0.00024993751562109475,-0.0005321955292268976,0.335166208447888,False,-80.71387281578187,"PLACEBO SHOWS NO GAIN (dR2 -0.000532, p 0.3352) -- the control is clean here"
fga,DECISION,0.001077194301463913,0.30042489377655585,-0.0007295717137995039,0.5863534116470882,False,-1.4764748702413926,"PLACEBO SHOWS NO GAIN (dR2 -0.000730, p 0.5864) -- the control is clean here"
fga,POOLED_EXCL_ROUTED__POSTHOC,0.0005025071551403304,0.20644838790302425,-0.000607496394991025,0.30617345663584106,False,-0.8271771804468968,"PLACEBO SHOWS NO GAIN (dR2 -0.000607, p 0.3062) -- the control is clean here"
ppm,POOLED,0.014327581537304401,0.00024993751562109475,-0.02122974478498285,0.00024993751562109475,False,-0.6748824200392277,"PLACEBO SHOWS NO GAIN (dR2 -0.021230, p 0.0002) -- the control is clean here"
ppm,DECISION,0.0067738796621092945,0.0007498125468632841,-0.03201061668770877,0.00024993751562109475,False,-0.21161353210387493,"PLACEBO SHOWS NO GAIN (dR2 -0.032011, p 0.0002) -- the control is clean here"
ppm,POOLED_EXCL_ROUTED__POSTHOC,0.0018784136571271537,0.0069982504373906525,-0.0230251411039748,0.00024993751562109475,False,-0.0815809835277355,"PLACEBO SHOWS NO GAIN (dR2 -0.023025, p 0.0002) -- the control is clean here"
