family,target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common
HEADLINE,pts,POOLED,STACK,CHAMPION,0.034217645577750755,0.0342176455777507,13808,472,0.00024993751562109475,3.0831135340083497e-07,0.003916323844599603,0.00024993751562109475,1.2518980172541605,4.029277766983091,4.182501632662672,794393.9606025491
SECONDARY_BASE,pts,POOLED,STACK,R4_COMPLETE,0.039771142158696926,0.03977114215869687,13808,472,0.00024993751562109475,-8.314283905714589e-05,0.009220640612731644,0.00024993751562109475,2.4051595717049956,4.029277766983091,4.237278021254983,794393.9606025491
CONTEXT,pts,POOLED,CHAMPION,R4_COMPLETE,0.005553496580946171,0.0055534965809461755,13808,472,0.5811047238190452,-8.345115041054692e-05,0.009790246164724724,0.23269182704323918,2.112664204354965,4.182501632662672,4.237278021254983,794393.9606025491
HEADLINE,pts,DECISION,STACK,CHAMPION,0.003485691761207388,0.003485691761207287,5107,257,0.02899275181204699,2.2681743445967262e-05,0.0016194334433247484,0.019995001249687578,1.0826994487315584,5.003583973815462,5.0097913607053295,293539.864108087
SECONDARY_BASE,pts,DECISION,STACK,R4_COMPLETE,0.0709822596780888,0.07098225967808873,5107,257,0.00024993751562109475,-0.0006092235315599742,0.01853510126366687,0.00024993751562109475,2.282528640977074,5.003583973815462,5.219661471931516,293539.864108087
CONTEXT,pts,DECISION,CHAMPION,R4_COMPLETE,0.06749656791688141,0.06749656791688147,5107,257,0.0004998750312421895,-0.0006319052750059413,0.018475992841652373,0.00024993751562109475,2.3448349172001315,5.0097913607053295,5.219661471931516,293539.864108087
HEADLINE,pts,POOLED_EXCL_ROUTED__POSTHOC,STACK,CHAMPION,0.0015023146935437826,0.0015023146935436735,12818,451,0.04498875281179705,-8.679065082635466e-07,0.0007441096066174343,0.029242689327668082,1.0600178561532207,4.029167127130346,4.035880527858388,740211.9960212201
SECONDARY_BASE,pts,POOLED_EXCL_ROUTED__POSTHOC,STACK,R4_COMPLETE,0.04256701404158547,0.04256701404158547,12818,451,0.00024993751562109475,0.00011520178680547979,0.009611898922758422,0.00024993751562109475,2.468277233777662,4.029167127130346,4.251993870100135,740211.9960212201
CONTEXT,pts,POOLED_EXCL_ROUTED__POSTHOC,CHAMPION,R4_COMPLETE,0.04106469934804169,0.04106469934804179,12818,451,0.00024993751562109475,0.00011606969331374332,0.009609973087252519,0.00024993751562109475,2.5326648451902054,4.035880527858388,4.251993870100135,740211.9960212201
HEADLINE,minutes,POOLED,STACK,CHAMPION,0.04941271870566477,0.04941271870566482,13808,472,0.00024993751562109475,1.3030890449942253e-05,0.004023262038860134,0.00024993751562109475,1.260930010126137,4.727297925233974,5.048650969031384,1596325.117607325
