target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common,step,added,components_so_far,increment_dr2,increment_p,increment_null_sd
minutes,POOLED,STEP5,CHAMPION,0.04940883374680638,0.04940883374680643,13808,472,0.00024993751562109475,1.3335837619088273e-05,0.0040241071399733565,0.00024993751562109475,1.2611769199052543,4.727279859679293,5.048650969031384,1596325.117607325,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-0.00016605929938928732,0.5213696575856036,0.00025948734332062435
minutes,DECISION,STEP5,CHAMPION,-0.005216180548710758,-0.005216180548710797,5107,257,0.00024993751562109475,-8.764791290829621e-06,0.0013284213332342275,0.00024993751562109475,0.9771036271561939,4.339162023373333,4.3328000668542686,213459.3165649544,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-0.004857237607204912,0.0004998750312421895,0.0012971097116706316
minutes,POOLED_EXCL_ROUTED__POSTHOC,STEP5,CHAMPION,-0.0002699367728054014,-0.0002699367728054018,12818,451,0.35441139715071235,-3.3747063934160857e-06,0.00028568453023295544,0.3731567108222944,0.9509095769352521,4.688441971629013,4.69325258075537,1470952.3357341457,5,C5_TEAMMATE_VOLUME_PRIOR_ONLY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY,-0.0002188925763185745,0.44363909022744313,0.00028393478923268486
minutes,POOLED,STEP6,CHAMPION,0.04941271870566477,0.04941271870566482,13808,472,0.00024993751562109475,1.3030890449942253e-05,0.004023262038860134,0.00024993751562109475,1.260930010126137,4.727297925233974,5.048650969031384,1596325.117607325,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,3.88495885839113e-06,0.6430892276930767,8.502416630861407e-06
minutes,DECISION,STEP6,CHAMPION,-0.005213440795699631,-0.005213440795699629,5107,257,0.00024993751562109475,-9.647702567683065e-06,0.001329018418814631,0.00024993751562109475,0.9784793099731508,4.339354549972571,4.3328000668542686,213459.3165649544,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,2.739753011127277e-06,0.9425143714071482,3.523051633366246e-05
minutes,POOLED_EXCL_ROUTED__POSTHOC,STEP6,CHAMPION,-0.00026304807036292566,-0.0002630480703628403,12818,451,0.3654086478380405,-3.57400962879354e-06,0.0002856034957178347,0.38465383654086477,0.950292402618129,4.688460374549074,4.69325258075537,1470952.3357341457,6,C7_HOME_AWAY,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE+C5_TEAMMATE_VOLUME_PRIOR_ONLY+C7_HOME_AWAY,6.888702442475747e-06,0.4451387153211697,8.90387017331691e-06
fga,POOLED,STEP0,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,2.627646424795024,2.627646424795024,396833.66446987254,0,(champion),(none),0.0,1.0,0.0
fga,DECISION,STEP0,CHAMPION,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,2.9219439453050056,2.9219439453050056,124986.92265517917,0,(champion),(none),0.0,1.0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP0,CHAMPION,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,2.485669673381167,2.485669673381167,368583.7969261976,0,(champion),(none),0.0,1.0,0.0
fga,POOLED,STEP1,CHAMPION,0.03784370989036567,0.03784370989036559,13808,472,0.00024993751562109475,-6.546468369552798e-06,0.004227162909208571,0.00024993751562109475,1.1845936749335377,2.502125581603329,2.627646424795024,396833.66446987254,1,C1_FALLBACK_ROUTE,C1_FALLBACK_ROUTE,0.03784370989036567,0.00024993751562109475,0.004227162909208571
