control,target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common
NOOP_stack_equals_champion,pts,POOLED,NOOP,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,4.182501632662672,4.182501632662672,794393.9606025491
SELF_champion_vs_champion,pts,POOLED,CHAMPION,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,4.182501632662672,4.182501632662672,794393.9606025491
NOOP_stack_equals_champion,minutes,POOLED,NOOP,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,5.048650969031384,5.048650969031384,1596325.117607325
SELF_champion_vs_champion,minutes,POOLED,CHAMPION,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,5.048650969031384,5.048650969031384,1596325.117607325
NOOP_stack_equals_champion,fga,POOLED,NOOP,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,2.627646424795024,2.627646424795024,396833.66446987254
SELF_champion_vs_champion,fga,POOLED,CHAMPION,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,2.627646424795024,2.627646424795024,396833.66446987254
NOOP_stack_equals_champion,ppm,POOLED,NOOP,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,0.18150687130196966,0.18150687130196966,962.107250511479
SELF_champion_vs_champion,ppm,POOLED,CHAMPION,CHAMPION,0.0,-0.0,13808,472,1.0,0.0,0.0,1.0,inf,0.18150687130196966,0.18150687130196966,962.107250511479
