target,stratum,whole_stack_gain,sum_of_ablation_deltas,shortfall,ratio_parts_over_whole
pts,POOLED,0.034217645577750755,0.03983802233912359,-0.005620376761372836,1.1642537546483724
pts,DECISION,0.003485691761207388,0.003109762596682053,0.00037592916452533487,0.8921507722773746
pts,POOLED_EXCL_ROUTED__POSTHOC,0.0015023146935437826,0.0014532175020935956,4.909719145018698e-05,0.9673189700791832
minutes,POOLED,0.04941271870566477,0.04944400463292131,-3.1285927256541335e-05,1.000633155351012
minutes,DECISION,-0.005213440795699631,-0.004627275379624152,-0.0005861654160754792,0.8875664960923725
minutes,POOLED_EXCL_ROUTED__POSTHOC,-0.00026304807036292566,-0.0002018260803058336,-6.122199005709206e-05,0.767259307499863
fga,POOLED,0.04295556225914754,0.0475467765090557,-0.00459121424990816,1.1068828810157278
fga,DECISION,0.001077194301463913,0.0009120700140963223,0.00016512428736759066,0.8467089111563384
fga,POOLED_EXCL_ROUTED__POSTHOC,0.0005025071551403304,0.000481715331983934,2.0791823156396383e-05,0.9586238266585676
ppm,POOLED,0.014327581537304401,0.038994184579016045,-0.024666603041711643,2.7216166578768206
ppm,DECISION,0.0067738796621092945,0.00648050683057011,0.0002933728315391848,0.9566905752429867
ppm,POOLED_EXCL_ROUTED__POSTHOC,0.0018784136571271537,0.0018817006071619735,-3.2869500348198244e-06,1.001749854204024
