arm,season,bin,n_train,n_scored,offset_logit,train_obs,train_pred
v15,2023,0,107,126,1.3879916176211249,0.9719626168224299,0.8963942031656539
v15,2023,1,3623,3894,-0.012850171798727494,0.8186585702456528,0.8205584587061407
v15,2023,2,1062,1165,0.26787207247541067,0.832391713747646,0.7916337401803626
v15,2023,3,231,373,0.7563801983773395,0.70995670995671,0.5346428080698461
v15,2023,4,151,118,0.542907167360119,0.5298013245033113,0.39566509004623346
v15,2024,0,233,247,0.03238964503708286,0.8025751072961373,0.7973926867410991
v15,2024,1,7517,4050,0.010548222725987655,0.8251962218970333,0.823669444953795
v15,2024,2,2227,920,0.25837290492736753,0.8217332734620566,0.7807020138248556
v15,2024,3,604,128,0.5446528934460253,0.6854304635761589,0.5582811286437979
v15,2024,4,269,388,0.8777087744943317,0.587360594795539,0.37176696731017356
