component,arm,kind,response,n,n_clusters,brier_stored,brier_recalibrated,brier_skill,dr2_on_binary_response,p,null_mean,null_sd,p_row_NAIVE,inflation
C2_AVAIL_LONGABSENCE_RECAL,v14,REAL,p_active (BINARY -- NOT commensurable with any dR2 here),11409,306,0.08796740337824568,0.08712087895645022,0.009623160276262088,0.005433118587049703,0.12921769557610596,1.9883748934269e-05,0.003551583651728386,0.03424143964008998,1.3877685034475928
C2_AVAIL_LONGABSENCE_RECAL,v14,PLACEBO,p_active (BINARY),11409,306,0.08796740337824568,0.08811228583714355,-0.0016470016544070099,-0.000929876988906864,0.2576855786053487,6.736710118891492e-06,0.0008225395909889067,0.08297925518620344,1.5305373905188384
C2_AVAIL_LONGABSENCE_RECAL,v15,REAL,p_active (BINARY -- NOT commensurable with any dR2 here),11409,306,0.0871068299129176,0.08588869808371222,0.013984343482860928,0.007818149733583852,0.02649337665583604,2.8783891456769923e-05,0.0036477341683566716,0.00424893776555861,1.3019750736316411
C2_AVAIL_LONGABSENCE_RECAL,v15,PLACEBO,p_active (BINARY),11409,306,0.0871068299129176,0.08709326050544641,0.00015577891520968112,8.7090458407156e-05,0.9427643089227693,1.3767468077052958e-05,0.0012202033027421287,0.9160209947513122,1.4814983318753199
