family,target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common,component
PLACEBO_HEADLINE,pts,POOLED,PLACEBO_STACK,CHAMPION,0.00039277204033272284,0.0003927720403327929,13808,472,0.24343914021494625,1.5808221124239929e-06,0.0003296846857775629,0.21919520119970007,1.040527813379088,4.184734629789545,4.182501632662672,794393.9606025491,
PLACEBO_SECONDARY,pts,POOLED,PLACEBO_STACK,R4_COMPLETE,0.005946268621278894,0.005946268621278965,13808,472,0.5503624093976506,-8.187032829812276e-05,0.009784052989678764,0.19770057485628592,2.11597579978705,4.184734629789545,4.237278021254983,794393.9606025491,
PLACEBO_HEADLINE,pts,DECISION,PLACEBO_STACK,CHAMPION,0.0002875984796649744,0.00028759847966493306,5107,257,0.6640839790052487,6.203041880835329e-06,0.0006702224477446151,0.6380904773806548,1.0989789026837657,5.0101228091724685,5.0097913607053295,293539.864108087,
PLACEBO_SECONDARY,pts,DECISION,PLACEBO_STACK,R4_COMPLETE,0.06778416639654639,0.06778416639654639,5107,257,0.00024993751562109475,-0.0006257022331251061,0.018409044511217602,0.00024993751562109475,2.337392892525321,5.0101228091724685,5.219661471931516,293539.864108087,
PLACEBO_HEADLINE,pts,POOLED_EXCL_ROUTED__POSTHOC,PLACEBO_STACK,CHAMPION,0.00041629369629403445,0.0004162936962939654,12818,451,0.24943764058985254,1.7359476839180482e-06,0.0003616815307197272,0.21069732566858285,1.0803111998989825,4.03824579022659,4.035880527858388,740211.9960212201,
PLACEBO_SECONDARY,pts,POOLED_EXCL_ROUTED__POSTHOC,PLACEBO_STACK,R4_COMPLETE,0.04148099304433572,0.04148099304433576,12818,451,0.00024993751562109475,0.00011780564099766142,0.009567119435565897,0.00024993751562109475,2.522871057400181,4.03824579022659,4.251993870100135,740211.9960212201,
PLACEBO_HEADLINE,minutes,POOLED,PLACEBO_STACK,CHAMPION,-0.0013135194938869166,-0.0013135194938869263,13808,472,0.005498625343664084,4.476899581642815e-06,0.0004725990613627004,0.0014996250937265683,1.1119435505700286,5.061248325873222,5.048650969031384,1596325.117607325,
PLACEBO_SECONDARY,minutes,POOLED,PLACEBO_STACK,R4_COMPLETE,0.08229159685440113,0.08229159685440106,13808,472,0.00024993751562109475,3.3675423674198594e-05,0.02041104671224683,0.00024993751562109475,3.576355932615574,5.061248325873222,5.636922238546351,1596325.117607325,
PLACEBO_HEADLINE,minutes,DECISION,PLACEBO_STACK,CHAMPION,-0.0019573364549746453,-0.0019573364549746414,5107,257,0.303424143964009,-2.5954477492647854e-05,0.0019004654583621027,0.2519370157460635,1.1089302474954068,4.338627379574916,4.3328000668542686,213459.3165649544,
PLACEBO_SECONDARY,minutes,DECISION,PLACEBO_STACK,R4_COMPLETE,0.4020586477914062,0.40205864779140615,5107,257,0.00024993751562109475,-0.0012414097349662363,0.0784753950561167,0.00024993751562109475,3.6494625185262173,4.338627379574916,5.397612012520287,213459.3165649544,
PLACEBO_HEADLINE,minutes,POOLED_EXCL_ROUTED__POSTHOC,PLACEBO_STACK,CHAMPION,-0.001422248631334444,-0.0014222486313343048,12818,451,0.0029992501874531365,3.303986437130629e-07,0.0005119413871220013,0.001999500124968758,1.1025122544963457,4.70675545757591,4.69325258075537,1470952.3357341457,
PLACEBO_SECONDARY,minutes,POOLED_EXCL_ROUTED__POSTHOC,PLACEBO_STACK,R4_COMPLETE,0.13243246673723752,0.13243246673723766,12818,451,0.00024993751562109475,0.00038994312785960004,0.021050252057630486,0.00024993751562109475,4.199166889070604,4.70675545757591,5.610822064788813,1470952.3357341457,
PLACEBO_HEADLINE,fga,POOLED,PLACEBO_STACK,CHAMPION,-0.0005321955292268976,-0.0005321955292269854,13808,472,0.335166208447888,8.679827859723402e-06,0.0005464599966120295,0.3044238940264934,1.0390731768308175,2.62992272253932,2.627646424795024,396833.66446987254,
PLACEBO_SECONDARY,fga,POOLED,PLACEBO_STACK,R4_COMPLETE,0.3988709609677582,0.39887096096775815,13808,472,0.00024993751562109475,-0.0004847707398953135,0.07875509474685444,0.00024993751562109475,5.0630930183507035,2.62992272253932,3.4265439860246576,396833.66446987254,
PLACEBO_HEADLINE,fga,DECISION,PLACEBO_STACK,CHAMPION,-0.0007295717137995039,-0.0007295717137993682,5107,257,0.5863534116470882,2.3747560409173234e-05,0.0013021027635286156,0.5773556610847288,1.010482585968167,2.920997484515817,2.9219439453050056,124986.92265517917,
PLACEBO_SECONDARY,fga,DECISION,PLACEBO_STACK,R4_COMPLETE,0.7411029714418009,0.7411029714418012,5107,257,0.00024993751562109475,-0.0032031247909360297,0.1720123110094246,0.00024993751562109475,4.532181544789986,2.920997484515817,4.076733250154255,124986.92265517917,
PLACEBO_HEADLINE,fga,POOLED_EXCL_ROUTED__POSTHOC,PLACEBO_STACK,CHAMPION,-0.000607496394991025,-0.0006074963949911041,12818,451,0.30617345663584106,4.193626792707033e-06,0.0005955708988321282,0.29592601849537614,1.0323164004485028,2.4881684853923103,2.485669673381167,368583.7969261976,
