GAME_ID,game_date,season,n_officials,refs,crew_prior_mean,min_ref_prior,max_ref_prior,min_ref_n_prior,crew_factor,at_lo,at_hi,in_test_universe
1022100001,2021-05-14,2021,3,Blanca Burns; Fatou Cissoko-Stephens; Randy Richardson,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100002,2021-05-14,2021,3,Toni Patillo; Karleena Tobin; Michael Price,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100003,2021-05-14,2021,3,Roy Gulbeyan; Danielle Scott; Jeffrey Smith,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100004,2021-05-14,2021,3,Ashley Gloss; Janetta Graham; Tim Greene,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100005,2021-05-15,2021,3,Amy Bonner; Eric Brewton; Angelica Suffren,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100006,2021-05-15,2021,3,Tiara Cruse; Che Flores; Isaac Barnett,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100007,2021-05-16,2021,3,Danielle Scott; Matt Kallio; Roy Gulbeyan,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100008,2021-05-16,2021,3,Michael Price; Randy Richardson; Blanca Burns,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100009,2021-05-18,2021,3,Tim Greene; Kevin Sparrock; Billy Smith,1.0,1.0,1.0,0.0,1.0,False,False,False
1022100010,2021-05-18,2021,3,Janetta Graham; Michael Price; Matt Kallio,1.0002784739626847,0.999944305207463,1.0008911166805905,0.0,1.0002784739626847,False,False,False
1022100011,2021-05-18,2021,3,Roy Gulbeyan; Danielle Scott; Maj Forsberg,0.9999628701383086,0.999944305207463,1.0,0.0,0.9999628701383086,False,False,False
1022100012,2021-05-19,2021,3,John Conley; Tiara Cruse; Fatou Cissoko-Stephens,0.9998409647532455,0.9995228942597365,1.0,0.0,0.9998409647532455,False,False,False
1022100013,2021-05-19,2021,3,Isaac Barnett; Jeffrey Smith; Kevin Fahy,0.9998409647532455,0.9995228942597365,1.0,0.0,0.9998409647532455,False,False,False
1022100014,2021-05-20,2021,3,Billy Smith; Angelica Suffren; Jenna Reneau,1.0000618273588835,0.9999537450028084,1.0002317370738423,0.0,1.0000618273588835,False,False,False
1022100015,2021-05-21,2021,3,Michael Price; Tim Greene; Janetta Graham,1.0006023122025718,0.9999537450028084,1.0013708180627656,1.0,1.0006023122025718,False,False,False
1022100016,2021-05-21,2021,3,Jeffrey Smith; Tiara Cruse; Kevin Sparrock,0.9999831227952312,0.999262420315052,1.0007332030678333,1.0,0.9999831227952312,False,False,False
1022100017,2021-05-21,2021,3,Brandon Schwab; Maj Forsberg; Roy Gulbeyan,0.9997394187959635,0.9995816885086819,1.0,0.0,0.9997394187959635,False,False,False
1022100018,2021-05-21,2021,3,Fatou Cissoko-Stephens; Toni Patillo; Amy Bonner,1.0004811583758952,1.0,1.0012117380538434,0.0,1.0004811583758952,False,False,False
1022100019,2021-05-22,2021,3,Isaac Barnett; Robert Hussey; Dannica Mosher,0.9995958925920015,0.9987876777760046,1.0,0.0,0.9995958925920015,False,False,False
1022100020,2021-05-23,2021,3,Angelica Suffren; Toni Patillo; Che Flores,1.0001303770857293,0.9995228942597365,1.0004662210034398,1.0,1.0001303770857293,False,False,False
1022100021,2021-05-23,2021,3,Karleena Tobin; Maj Forsberg; Tiara Cruse,0.9996129786102695,0.9988202276008119,1.0000187082299967,0.0,0.9996129786102695,False,False,False
1022100022,2021-05-23,2021,3,Kurt Walker; Amy Bonner; Brandon Schwab,0.9999593200508426,0.999181359970338,1.00069660018219,0.0,0.9999593200508426,False,False,False
1022100023,2021-05-25,2021,3,Che Flores; Brandon Schwab; Kevin Fahy,0.9990528533043439,0.9989060622949661,0.999262420315052,1.0,0.9990528533043439,False,False,False
1022100024,2021-05-24,2021,3,Robert Hussey; Karleena Tobin; Tim Greene,1.000012100770591,0.9994958488132663,1.0003612058903426,1.0,1.000012100770591,False,False,False
1022100025,2021-05-25,2021,3,Toni Patillo; Kevin Sparrock; Isaac Barnett,0.9994122550913219,0.9991498349487615,0.9998475537726311,2.0,0.9994122550913219,False,False,False
1022100026,2021-05-25,2021,3,Randy Richardson; Matt Kallio; Fatou Cissoko-Stephens,1.0009972199537982,1.000425848635306,1.0016746945454984,1.0,1.0009972199537982,False,False,False
1022100027,2021-05-26,2021,3,John Conley; Dannica Mosher; Billy Smith,1.0005658362359229,1.0001245647635826,1.0012117380538434,1.0,1.0005658362359229,False,False,False
1022100028,2021-05-27,2021,3,Janetta Graham; Angelica Suffren; Isaac Barnett,0.9999413326126511,0.9997846747287179,1.0000234488924062,2.0,0.9999413326126511,False,False,False
1022100029,2021-05-28,2021,3,Tim Greene; Kevin Sparrock; Fatou Cissoko-Stephens,1.0007510129609425,1.0001069235830955,1.0019547581935841,3.0,1.0007510129609425,False,False,False
1022100030,2021-05-28,2021,3,Kevin Fahy; Che Flores; Dannica Mosher,0.9986094316460824,0.9978140819415942,0.9998465908139097,2.0,0.9986094316460824,False,False,False
1022100031,2021-05-28,2021,3,John Conley; Eric Brewton; Jeffrey Smith,0.9998255340579661,0.9985493968544815,1.0006954682455746,1.0,0.9998255340579661,False,False,False
1022100032,2021-05-28,2021,3,Matt Kallio; Billy Smith; Roy Gulbeyan,0.9996955951942964,0.998767039918924,1.0007083372269063,3.0,0.9996955951942964,False,False,False
1022100033,2021-05-29,2021,3,Tim Greene; Toni Patillo; Randy Richardson,1.0008090471731859,1.0005399719729045,1.0011732496701409,2.0,1.0008090471731859,False,False,False
1022100034,2021-05-29,2021,3,Angelica Suffren; Amy Bonner; Brandon Schwab,0.9998693821683617,0.9978979338137036,1.0012074659678647,3.0,0.9998693821683617,False,False,False
1022100035,2021-05-30,2021,3,John Conley; Tiara Cruse; Michael Price,1.0004047742121165,1.0001063857978412,1.0009110593938633,3.0,1.0004047742121165,False,False,False
1022100036,2021-05-30,2021,3,Jeffrey Smith; Eric Brewton; Matt Kallio,0.9998834659332821,0.9979644815356628,1.0020435055121524,2.0,0.9998834659332821,False,False,False
1022100037,2021-05-30,2021,3,Che Flores; Dannica Mosher; Maj Forsberg,0.9987054255010221,0.9975435847825846,0.9995716217985288,3.0,0.9987054255010221,False,False,False
1022100038,2021-06-01,2021,3,Michael Price; Toni Patillo; Randy Richardson,1.0004967341173723,1.0002621031897598,1.0007196637669211,3.0,1.0004967341173723,False,False,False
1022100039,2021-06-01,2021,3,Maj Forsberg; Eric Brewton; John Conley,0.9992514283876915,0.9986021474535098,0.9997053212443674,3.0,0.9992514283876915,False,False,False
1022100040,2021-06-01,2021,3,Roy Gulbeyan; Blanca Burns; Tiffany Bird,1.0003323623629485,1.0,1.0008911166805905,0.0,1.0003323623629485,False,False,False
1022100041,2021-06-01,2021,3,Che Flores; Amy Bonner; Kevin Sparrock,0.9995432990124368,0.9971482530445241,1.0010259419120757,4.0,0.9995432990124368,False,False,False
1022100042,2021-06-03,2021,3,Randy Richardson; Danielle Scott; Michael Price,1.000189634402102,0.9995816885086819,1.00059890045943,2.0,1.000189634402102,False,False,False
1022100043,2021-06-03,2021,3,Che Flores; Maj Forsberg; Kevin Sparrock,0.998808802050993,0.9971901301230293,1.0004912627724505,5.0,0.998808802050993,False,False,False
1022100044,2021-06-03,2021,3,Amy Bonner; Blanca Burns; Tim Greene,1.000552834008585,1.0000893656625351,1.0010603996254184,2.0,1.000552834008585,False,False,False
1022100045,2021-06-04,2021,3,Dannica Mosher; Eric Brewton; Robert Hussey,0.9999387665109881,0.9991715936093946,1.001056383738119,2.0,0.9999387665109881,False,False,False
1022100046,2021-06-04,2021,3,Angelica Suffren; Karleena Tobin; Tiffany Bird,1.0007405590957632,0.9996186117467583,1.0017282860801509,1.0,1.0007405590957632,False,False,False
