response,population,window,candidate,arm,projection,n,n_folds,sst,r2_base,r2_aug,dr2,beta
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.3306599691156856,-0.004251804949529598,0.003485042807307985
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33252592565719463,-0.0023881612572894577,0.003485042807307985
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.3340328860296604,-0.0008788880355548668,0.01103388983399254
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33890286951353976,0.0039887825990556685,0.01103388983399254
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33021555912458467,-0.00469621494063064,0.0033432877593450837
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33148241121806576,-0.003431675696418285,0.0033432877593450837
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.34039862808155374,0.005486854016338421,0.025573295384746814
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.34343234795598077,0.008518261041496776,0.025573295384746814
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.3312579269694049,-0.0036538470958103393,0.0035562439193424595
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.3326489974277791,-0.002265089486705,0.0035562439193424595
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33521575466266273,0.0003039805974474836,0.007291550988446051
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.3375944565626332,0.0026803696481491907,0.007291550988446051
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33548480391289903,0.0005730298476837614,-0.0011270512266790583
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.3363464122310983,0.0014323253166142272,-0.0011270512266790583
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33466067521655984,-0.00025109884865539607,-0.001551621760153208
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33571743657349773,0.0008033496590137429,-0.001551621760153208
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33490638027412645,-5.393791088799799e-06,2.0698107064316896e-05
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33491733604557883,3.249131094829608e-06,2.0698107064316896e-05
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.3349061533924548,-5.620672760451617e-06,2.0699562462586048e-05
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.334917106420749,3.019506264998893e-06,2.0699562462586048e-05
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33484315894654193,-6.861511867330983e-05,0.0006052408331533056
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,FROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.3349387671368623,2.468022237833118e-05,0.0006052408331533056
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,3167,2,25.121758434747655,0.33491177406521533,0.33482659830763284,-8.517575758244075e-05,0.0006055119342616928
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,RAW,3167,2,25.121758434747655,0.334914086914484,0.33492225179979473,8.164885310687112e-06,0.0006055119342616928
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5172062896029492,-0.0007955368754487386,0.003485042807307985
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5177014988948624,-0.00023113185052770302,0.003485042807307985
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.519575444381237,0.0015736179028390683,0.01103388983399254
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.521022914882765,0.003090284137374922,0.01103388983399254
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5173673200915845,-0.0006345063868134809,0.0033432877593450837
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5177080919830955,-0.00022453876229453623,0.0033432877593450837
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5265253906425582,0.008523564164160176,0.025573295384746814
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5270672993639425,0.009134668618552435,0.025573295384746814
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5171004105690589,-0.0009014159093391751,0.0035562439193424595
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5174897386360946,-0.00044289210929543106,0.0035562439193424595
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5183343144106958,0.0003324879322977585,0.007291550988446051
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5191001188180554,0.001167488072665303,0.007291550988446051
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5179660441784621,-3.57822999358169e-05,-0.0011270512266790583
