response,population,window,contrast,n,n_blocks,r2_a,r2_b,dr2,null_mean,null_sd,z,p,p_min_attainable,mde80_analytic
R1_s_pts,DECISION,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,3167,764,0.33665410733529755,-0.41098106532468726,0.747635172659985,5.590678619304073e-05,0.03715280892518698,20.121742810325873,0.0004997501249375312,2.0611676062710827e-230,0.10402786499052354
R1_s_pts,DECISION,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,3167,764,0.33665410733529755,0.32109750391495284,0.01555660342034476,-9.299875985899424e-06,0.003465726286562333,4.491382760572976,0.0009995002498750624,2.0611676062710827e-230,0.009704033602374531
R1_s_pts,DECISION,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,3167,764,0.32109750391495284,-0.41098106532468726,0.7320785692396402,6.520666217894017e-05,0.03781954745359702,19.35542363312545,0.0004997501249375312,2.0611676062710827e-230,0.10589473287007166
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,9056,960,0.5178490531024046,0.0157410367073878,0.5021080163950168,0.00013244601159125843,0.020330662363583357,24.69056646588028,0.0004997501249375312,2.0522684006491881e-289,0.05692585461803339
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,9056,960,0.5178490531024046,0.5104694893369299,0.007379563765474639,1.9534749340867527e-05,0.0024093413524642953,3.0547888154602374,0.0014992503748125937,2.0522684006491881e-289,0.006746155786900026
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,9056,960,0.5104694893369299,0.0157410367073878,0.4947284526295422,0.0001129112622503908,0.02096707295139226,23.590109240042885,0.0004997501249375312,2.0522684006491881e-289,0.05870780426389832
R2_s_min,DECISION,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,3167,764,0.26168220201480463,-1.5982385671619848,1.8599207691767896,0.0019094370954711706,0.08256033960469293,22.50488964771294,0.0004997501249375312,2.0611676062710827e-230,0.23116895089314018
R2_s_min,DECISION,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,3167,764,0.26168220201480463,0.2233038759364655,0.03837832607833919,0.00015438762715905247,0.006703125712812935,5.7024051299106,0.0004997501249375312,2.0611676062710827e-230,0.01876875199587622
R2_s_min,DECISION,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,3167,764,0.2233038759364655,-1.5982385671619848,1.8215424430984504,0.001755049468312119,0.08341928109063071,21.814949371872842,0.0004997501249375312,2.0611676062710827e-230,0.23357398705376597
R2_s_min,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,9056,960,0.6667138256035903,0.045617654201541624,0.6210961714020486,2.844989858716653e-05,0.0236848125118668,26.222192858494783,0.0004997501249375312,2.0522684006491881e-289,0.06631747503322703
R2_s_min,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,9056,960,0.6667138256035903,0.6615477328793169,0.005166092724273518,5.046119420944949e-05,0.002445456289896548,2.091892441995141,0.03298350824587706,2.0522684006491881e-289,0.006847277611710334
R2_s_min,ALL_APPEARED,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,9056,960,0.6615477328793169,0.045617654201541624,0.6159300786777752,-2.2011295622282787e-05,0.02424704653739898,25.403180095495113,0.0004997501249375312,2.0522684006491881e-289,0.06789173030471714
R3_s_fga,DECISION,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,3167,764,0.4891972235988138,-0.5605097500011493,1.0497069735999631,4.8892049667926705e-05,0.047357674244624025,22.1644769996164,0.0004997501249375312,2.0611676062710827e-230,0.13260148788494727
R3_s_fga,DECISION,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,3167,764,0.4891972235988138,0.48334950480613026,0.005847718792683529,-4.401788965602286e-06,0.002303610120076652,2.5404127767308142,0.013993003498250875,2.0611676062710827e-230,0.006450108336214625
R3_s_fga,DECISION,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,3167,764,0.48334950480613026,-0.5605097500011493,1.0438592548072794,5.329383863352899e-05,0.04799243582868086,21.749384938383454,0.0004997501249375312,2.0611676062710827e-230,0.1343788203203064
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_N_UNIFORM,9056,960,0.6409202035670962,0.0213829664905133,0.6195372370765829,6.976526419465303e-05,0.023569865399667565,26.282181137153433,0.0004997501249375312,2.0522684006491881e-289,0.06599562311906917
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,B_TUNED_vs_B_NAIVE,9056,960,0.6409202035670962,0.6398203954436394,0.00109980812345677,-1.4924458153397061e-05,0.0019226119289874534,0.5798011365701048,0.5612193903048476,2.0522684006491881e-289,0.005383313401164869
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,B_NAIVE_vs_N_UNIFORM,9056,960,0.6398203954436394,0.0213829664905133,0.6184374289531263,8.468972234804996e-05,0.024095036670858227,25.6630752497939,0.0004997501249375312,2.0522684006491881e-289,0.06746610267840303
