population,n_rows,n_players,n_team_games,n_dates,n_seasons,pct_of_frame,mean_decision_per_team_game
ALL_APPEARED,16717,265,1776,335,4,100.0,9.412725225225225
DECISION,5673,149,1388,270,4,33.93551474546869,4.087175792507205
DECISION_CLEAN_2023_24,3167,113,764,143,2,18.94478674403302,4.145287958115183
DECISION_DISCLOSED_2022,1350,83,336,64,1,8.075611652808519,4.017857142857143
DECISION_TRAIN_le2022,2506,116,624,127,2,14.990728001435665,4.016025641025641
ALL_CLEAN_2023_24,9056,202,960,174,2,54.172399353951064,9.433333333333334
