response,population,window,candidate,arm,projection,null,n_blocks,n_groups,observed,null_mean,null_sd,z,p,mde80_analytic,null_absorbs
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.004251804949529598,-5.887205226740363e-05,0.00028890059400153283,-14.513410440547407,1.0,0.0008089216632042919,False
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.00469621494063064,-6.373437453837618e-05,0.00026676700910774803,-17.365267847723967,1.0,0.0007469476255016945,False
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.0036538470958103393,-6.105384348272788e-05,0.00025105899558126274,-14.310553756536068,1.0,0.0007029651876275356,False
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,N_TGSWAP,1776,1776,0.0005730298476837614,-0.00010619822750124641,0.00025125468259946926,2.703344941307146,0.005997001499250375,0.0007035131112785139,False
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,N_TGSWAP,1776,1776,-6.861511867330983e-05,-5.058990742983753e-05,0.0002236931223170687,-0.08058008693679405,0.607696151924038,0.0006263407424877924,True
R1_s_pts,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.0008788880355548668,-6.141006782899953e-05,0.0002787993265096896,-2.932137526872598,0.9865067466266867,0.0007806381142271308,False
R1_s_pts,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,0.005486854016338421,-6.495068113814019e-05,0.0002607801290453415,21.289216773534445,0.0004997501249375312,0.0007301843613269561,False
R1_s_pts,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,0.0003039805974474836,-6.146181166283079e-05,0.0002461842911233819,1.484426189188339,0.041979010494752625,0.0006893160151454692,False
R1_s_pts,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.00025109884865539607,-0.0001236040620902345,0.00029009518239515625,-0.4394929468063113,0.7171414292853573,0.0008122665107064375,True
R1_s_pts,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-8.517575758244075e-05,-5.063743349392186e-05,0.00022399751744440913,-0.1541906556937198,0.6551724137931034,0.0006271930488443455,True
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.006352963738718167,-5.413627512457283e-05,0.0005246618576182212,-12.00549910791693,1.0,0.0014690532013310192,False
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.009706401051518156,-9.307734166964518e-05,0.00044735371450478514,-21.489312367709605,1.0,0.0012525904006133984,False
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.009173653495531741,-8.158428833743268e-05,0.0004149734723496078,-21.910001031425935,1.0,0.0011619257225789017,False
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,N_TGSWAP,1776,1776,0.0026403372615433885,-0.0004101743890783925,0.0006017720670838594,5.069214437626397,0.0004997501249375312,0.0016849617878348063,False
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.00012256019198065332,-8.827677876909457e-05,0.0002957899867316322,-0.1159045767247821,0.657671164417791,0.0008282119628485701,True
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.0032197538428898964,-6.718795674801384e-05,0.0004741108758902057,-6.649427478799182,1.0,0.001327510452492576,False
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.001183705419092662,-9.840968671868502e-05,0.00041536346103010914,-2.6128820519802667,0.9785107446276862,0.0011630176908843054,False
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.00028584861331473006,-8.379548787687755e-05,0.0003924918532949697,-0.5147957180298552,0.7856071964017991,0.001098977189225915,True
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,N_TGSWAP,1776,1776,0.00017529677230674557,-0.0005124823126580098,0.0007488576069355524,0.9184377358190428,0.1664167916041979,0.0020968012994195466,False
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.00013226954862122187,-8.826266991344678e-05,0.0002961057897322629,-0.14861877151259303,0.6701649175412294,0.000829096211250336,True
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.0011015100469712836,-4.902367220897379e-05,0.0002857951070738401,-3.682660579946114,0.9965017491254373,0.0008002262998067523,False
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.00043157542133101377,-5.690143556658922e-05,0.00025025986630906806,-1.4971397183666135,0.9320339830084957,0.0007007276256653905,False
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,N_TGSWAP,1776,1776,-0.0010863831316744478,-4.5550678049372735e-05,0.00023191048065099337,-4.488078549547936,0.9975012493753124,0.0006493493458227813,False
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,N_TGSWAP,1776,1776,0.00015986087963367442,-6.72795155154409e-05,0.00029311941719463246,0.7749073647969666,0.19640179910044978,0.0008207343681449708,False
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,N_TGSWAP,1776,1776,-6.90406481121397e-05,-4.1581182875682764e-05,0.00016478394839581948,-0.1666391994109638,0.655672163918041,0.0004613950555082945,True
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.002241292088867353,-4.9186030564135884e-05,0.00028232431845309964,-7.764496060113131,1.0,0.0007905080916686789,False
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,0.00011194124906091956,-5.684420735572233e-05,0.00024801686755577076,0.6805402313158706,0.17691154422788605,0.0006944472291561581,False
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-0.0012684498254296986,-4.541808439123281e-05,0.0002302853820262493,-5.310939540656807,0.999000499750125,0.000644799069673498,False
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,N_TGSWAP,1776,1776,3.169693281448933e-05,-6.987586820625937e-05,0.0003046811434846653,0.3333740967985467,0.3658170914542729,0.0008531072017570627,False
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,N_TGSWAP,1776,1776,-6.995572211052574e-05,-4.159159298763705e-05,0.00016491655434488223,-0.1719907939840419,0.6591704147926037,0.0004617663521656702,True
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGBLOCK,335,1776,-5.393791088799799e-06,-4.1286946996572354e-07,2.9451802967384343e-06,-1.6912111032217862,0.9540229885057471,8.246504830867616e-06,False
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,-5.393791088799799e-06,-5.3937910887998e-06,8.491585037889521e-22,0.9974968671630001,1.0,2.3776438106090657e-21,True
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGBLOCK,335,1776,-5.620672760451617e-06,-5.557200438906717e-07,2.9581676905804922e-06,-1.7121925618648857,0.952023988005997,8.282869533625378e-06,False
R1_s_pts,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,-5.620672760451617e-06,-5.620672760451617e-06,0.0,,1.0,0.0,True
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGBLOCK,335,1776,2.197991171142126e-05,1.5316116278963243e-06,6.8280312568343355e-06,2.9947578319969983,0.011494252873563218,1.9118487519136137e-05,False
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,2.197991171142126e-05,2.1979911711421264e-05,3.3966340151558086e-21,-0.9974968671630001,1.0,9.510575242436263e-21,True
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGBLOCK,335,1776,2.057944067827748e-05,6.409549378803327e-07,6.644420337600542e-06,3.00078633309304,0.009495252373813094,1.8604376945281517e-05,False
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,2.057944067827748e-05,2.057944067827748e-05,0.0,,1.0,0.0,True
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGBLOCK,335,1776,-4.0896382784372985e-06,-4.452370920487322e-07,1.3631629298905883e-06,-2.673489064642535,0.9795102448775612,3.816856203693647e-06,False
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,-4.0896382784372985e-06,-4.089638278437299e-06,8.491585037889521e-22,0.9974968671630001,1.0,2.3776438106090657e-21,True
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGBLOCK,335,1776,-4.125033281055945e-06,-4.6619766613624666e-07,1.3692101368562102e-06,-2.6722235809038106,0.9780109945027486,3.833788383197389e-06,False
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,N_TGSWAP_VACUOUS_CONTROL,1776,1776,-4.125033281055945e-06,-4.125033281055944e-06,8.491585037889521e-22,-0.9974968671630001,1.0,2.3776438106090657e-21,True
