population,channel,share_col,level_col,n_rows,icc_share,icc_level,cv_share,cv_level,acf1_share,n_pairs_L1,acf1_level,acf1_share_withincentred,acf1_level_withincentred,acf2_share,n_pairs_L2,acf2_level,acf2_share_withincentred,acf2_level_withincentred,acf3_share,n_pairs_L3,acf3_level,acf3_share_withincentred,acf3_level_withincentred,acf4_share,n_pairs_L4,acf4_level,acf4_share_withincentred,acf4_level_withincentred,acf5_share,n_pairs_L5,acf5_level,acf5_share_withincentred,acf5_level_withincentred,acf1_gap_share_minus_level
DECISION,points,R1_s_pts,pts,5673,0.3801258937057167,0.3777592744698703,0.5415832250326383,0.5621238510103589,0.3628532611218412,5182,0.3594643126217511,-0.009305487496813727,-0.011141514933561815,0.33412328476308883,4799,0.3290312051504408,-0.03935460337384684,-0.043498863509881254,0.3264852261185503,4475,0.322631951976036,-0.03441328625791698,-0.038449805634692386,0.33339897574203553,4186,0.32954131498596606,-0.01200568079124528,-0.0161045570158097,0.30312856186063847,3925,0.30074242285678787,-0.06155700965590752,-0.06292912644382562,0.003388948500090083
DECISION,minutes,R2_s_min,minutes,5673,0.32621596013059645,0.31575163466830564,0.21500185160897362,0.21875764961525787,0.36773682755516623,5182,0.3561073427335068,0.09835236446910209,0.09653719225011616,0.2738247054554118,4799,0.2604577946662539,-0.00046559900879073173,-0.0028444580048796572,0.24954553085943515,4475,0.23585456820231168,-0.008884264964195572,-0.010889699408093482,0.2151395362833187,4186,0.19788897530602076,-0.040450162281244775,-0.04688604738066901,0.2092292208401301,3925,0.19266248531571092,-0.051941711460698516,-0.05659255203368647,0.01162948482165943
DECISION,attempts,R3_s_fga,fga,5673,0.5054844585197495,0.4944000102984422,0.4395382939073815,0.45257420886607425,0.5121464865249855,5182,0.502237421164855,0.02561157749376327,0.029023133371773344,0.48217416423348275,4799,0.46943329155727614,-0.022973209377321006,-0.021755922523115548,0.49031164140495415,4475,0.4771871162833647,0.009166417511849715,0.010072022558382007,0.4716595780451406,4186,0.45316044933960165,-0.023372773559733738,-0.030885846871053748,0.4577820684731273,3925,0.4376027373760277,-0.054196976090987004,-0.06366174712563945,0.009909065360130476
DECISION_CLEAN_2023_24,points,R1_s_pts,pts,3167,0.3933341154923548,0.39233817883859484,0.5381963203560014,0.5636460038029759,0.3826463958687763,2919,0.384970862426081,-0.0002445093016426101,0.005817307724624688,0.34353095929080174,2718,0.3368084857025424,-0.03705356809808748,-0.04763778647675902,0.34109871089875293,2552,0.34177684494783644,-0.024884264699111827,-0.028135478133033996,0.33584162068203977,2402,0.3386047944153235,-0.018596572169639676,-0.020063141798931323,0.3167774907309226,2273,0.31975841000737865,-0.048876267424244904,-0.048696466805837224,-0.002324466557304672
DECISION_CLEAN_2023_24,minutes,R2_s_min,minutes,3167,0.3371181878431664,0.32707729523186424,0.21287126309059112,0.2166972119084517,0.37938809349564717,2919,0.3706564298058291,0.0932732676831771,0.0944593752988149,0.27963431908449715,2718,0.2640864591699338,-0.008492820025307112,-0.016172962020043934,0.2645953100015221,2552,0.2539922677487873,-0.004350983728035464,-0.006122869426778894,0.24575254150891573,2402,0.23316026987420493,-0.011718476801049066,-0.01676834543419771,0.22898253114279762,2273,0.2093978803408835,-0.04767361192130476,-0.06068717394844568,0.008731663689818092
DECISION_CLEAN_2023_24,attempts,R3_s_fga,fga,3167,0.52645456484241,0.5183543919707718,0.4411951159332757,0.45372191234927844,0.5317803198694101,2919,0.5271673560250975,0.0229660694757257,0.03189825179889588,0.5078922742728352,2718,0.4955610333121782,-0.008843853221376855,-0.01467485392084453,0.5227294752472676,2552,0.5169603192707177,0.03042040169982702,0.03731053534696907,0.504466528018984,2402,0.4964263581260553,0.003479645065470962,0.00439864638683435,0.4794941702566571,2273,0.46258525508278225,-0.0477447425939248,-0.06234646244905483,0.004612963844312645
ALL_APPEARED,points,R1_s_pts,pts,16717,0.5476049228926512,0.5456337723103241,0.8397580188619403,0.8571799986208158,0.5742426760544878,16083,0.5696441473304774,0.05574582053651824,0.049255907802721086,0.5620335496685223,15462,0.5536828838637233,0.029530550275497742,0.01583899571234187,0.5494976310649674,14852,0.5452688417519538,0.006885958887812296,0.0022190827157491403,0.5465999945928799,14252,0.5416111005821599,0.003922474883707221,-0.0015908756040450655,0.5366616509150232,13660,0.5321872751837426,-0.013378397217347966,-0.017798691447919297,0.004598528724010342
ALL_APPEARED,minutes,R2_s_min,minutes,16717,0.6578775345261485,0.6533930999201912,0.4885497814853377,0.490695622182671,0.7661632429181838,16083,0.7612191973698805,0.3093745766551017,0.3040519789509723,0.7289394356978098,15462,0.7237640079565231,0.19964499161806668,0.19534407054555042,0.7063708553251647,14852,0.7018263321555613,0.13715685189954868,0.13558191722985696,0.6892929060532634,14252,0.6838326490762311,0.0930772848463913,0.08970828514413283,0.6685606881038416,13660,0.6627695164036582,0.040113476144448795,0.03672351623956228,0.0049440455483033
ALL_APPEARED,attempts,R3_s_fga,fga,16717,0.6583738166261277,0.6486479932622383,0.7172225625126086,0.7270015497136567,0.701208498741102,16083,0.6915256585149832,0.11999836518745036,0.11726320847962314,0.6868771685561111,15462,0.6756638448528633,0.07876758955372833,0.07373477927422559,0.6804542776306707,14852,0.6697859031277992,0.06519699424694475,0.06257874510038543,0.6662383710724917,14252,0.6558900240597868,0.027402282341717533,0.026649988528162846,0.6555870456277265,13660,0.6443640118823178,0.0005520121195902373,-0.002144908333687872,0.009682840226118872
ALL_CLEAN_2023_24,points,R1_s_pts,pts,9056,0.5749634674554923,0.571256716052901,0.8633765543446009,0.8843579095223751,0.6018227033320207,8743,0.5954964388890867,0.06011193404954066,0.05373375287532065,0.5861594968696303,8435,0.5751703214347218,0.024613989515024845,0.008628759011969576,0.5766354813841167,8131,0.5717594016147002,0.008437503398115042,0.00652152953888462,0.5726218976441837,7829,0.5676401965784826,0.0026753821203216576,0.0016400863524347847,0.5664745983873689,7529,0.5602207866139158,-0.00730959765944867,-0.011583012888022026,0.006326264442934049
ALL_CLEAN_2023_24,minutes,R2_s_min,minutes,9056,0.6760652207426916,0.67233176356917,0.5071663634555722,0.5090541013725147,0.7877174419811763,8743,0.7840019679898983,0.3378477634784277,0.3339842442201195,0.7515973958680184,8435,0.7471691619147655,0.22506837022639403,0.22031050482929526,0.7318164540342931,8131,0.7289308989550304,0.16749187315216552,0.16821281442669067,0.7155437582299173,7829,0.711324344993733,0.12322315514501792,0.12044292605423985,0.6889392465128417,7529,0.6839334201930471,0.04749632125613193,0.04341543776005681,0.003715473991278029
ALL_CLEAN_2023_24,attempts,R3_s_fga,fga,9056,0.683606821669086,0.6758879304540417,0.7407692379588036,0.750436507420158,0.7240992316793458,8743,0.7172292625882803,0.12232603437729316,0.12204481714967584,0.7117688129983721,8435,0.7030337037394936,0.08358852791099496,0.07881758398144544,0.7076687153493746,8131,0.700289385986822,0.0746416048491926,0.07499373369818711,0.6964516851479996,7829,0.6892505634211644,0.0434821116690499,0.04511167130947964,0.6836995650305108,7529,0.674397764502781,0.00744250538828861,0.0033593322762774293,0.006869969091065409
