response,candidate,arm,target_x_floor,target_dr2,theta,noiseless_dr2,n_replicates,n_draws,rejection_rate,mean_recovered_centred,sd_recovered
R1_s_pts,A2_fga_share_prior,UNFROZEN,0.0,0.0,0.0,0.0,30,150,0.0,2.704022208910518e-05,0.00014354624938925077
R1_s_pts,A2_fga_share_prior,UNFROZEN,0.5,0.00051,0.0018205196882738444,0.0005101511312466276,30,150,0.1,7.477285065441572e-05,0.00018640864445524074
R1_s_pts,A2_fga_share_prior,UNFROZEN,1.0,0.00102,0.003596419571011895,0.0010157357339481282,30,150,0.2,0.00015744433069847657,0.0002948441606489668
R1_s_pts,A2_fga_share_prior,UNFROZEN,2.0,0.00204,0.00682175894488285,0.0020394232011234975,30,150,0.5666666666666667,0.0003629330415146597,0.00047968950366029847
R1_s_pts,A2_fga_share_prior,UNFROZEN,4.0,0.00408,0.012929350955492637,0.004075443557093966,30,150,0.9,0.0011676277640318238,0.0008383319613226637
R1_s_pts,A4_vac_x_own,FROZEN,0.0,0.0,0.0,0.0,30,150,0.03333333333333333,1.5986374849818465e-05,9.180204626523817e-05
R1_s_pts,A4_vac_x_own,FROZEN,0.5,0.00051,0.35764905445333955,0.0008148582439220758,30,150,1.0,0.003904933042499714,0.00028444542944584925
R1_s_pts,A4_vac_x_own,FROZEN,1.0,0.00102,0.3776039911347899,0.001881757645994026,30,150,1.0,0.004735580523543971,0.00030358807914352944
R1_s_pts,A4_vac_x_own,FROZEN,2.0,0.00204,0.4758488613842585,0.002185284987904312,30,150,1.0,0.0035965918815690236,0.0002581097956493997
R1_s_pts,A4_vac_x_own,FROZEN,4.0,0.00408,0.5054796821191235,0.002347633742838861,30,150,1.0,0.0037798690431986837,0.0002475281502704777
R1_s_pts,A1_min_share_prior,UNFROZEN,0.0,0.0,0.0,0.0,30,150,0.03333333333333333,-8.720936261738642e-06,0.00021585647346714695
R1_s_pts,A1_min_share_prior,UNFROZEN,0.5,0.00051,0.0011122867657457347,0.0005095821375197629,30,150,0.13333333333333333,5.2352956314444554e-05,0.0003238201037618887
R1_s_pts,A1_min_share_prior,UNFROZEN,1.0,0.00102,0.0020074887953489087,0.0010163367743518334,30,150,0.26666666666666666,0.00017255351586783213,0.00037810414251565047
R1_s_pts,A1_min_share_prior,UNFROZEN,2.0,0.00204,0.003487219387176213,0.0020291475201982953,30,150,0.5333333333333333,0.00046464550320711787,0.000755997241144979
R1_s_pts,A1_min_share_prior,UNFROZEN,4.0,0.00408,0.005970821743335204,0.004078311482889841,30,150,0.8,0.0015165212905104283,0.0013566738939663082
R2_s_min,A4_vac_x_own,FROZEN,0.0,0.0,0.0,0.0,30,150,0.0,1.4148476679283333e-05,6.514213952834353e-05
R2_s_min,A4_vac_x_own,FROZEN,0.5,0.00051,0.017426203322559387,0.0004686051795781119,30,150,1.0,0.007453622812672786,0.0010499962353675866
R2_s_min,A4_vac_x_own,FROZEN,1.0,0.00102,0.018357615080300725,0.0009653310252468808,30,150,1.0,0.008396811235260091,0.0011959970427447729
R2_s_min,A4_vac_x_own,FROZEN,2.0,0.00204,0.0202204385957834,0.002002496527613508,30,150,1.0,0.009001318592724116,0.0011847132986949446
R2_s_min,A4_vac_x_own,FROZEN,4.0,0.00408,0.023944976492035655,0.004087807379985681,30,150,1.0,0.011605233805185683,0.0014535303905590324
R3_s_fga,A4_vac_x_own,FROZEN,0.0,0.0,0.0,0.0,30,150,0.0,1.7781308677286326e-06,6.546484735901028e-05
R3_s_fga,A4_vac_x_own,FROZEN,0.5,0.00051,0.3374239022290753,0.004021592980966681,30,150,1.0,0.006600019326576568,0.00030338099686051
R3_s_fga,A4_vac_x_own,FROZEN,1.0,0.00102,0.33983820596637826,0.004119377019000342,30,150,1.0,0.006611814603371521,0.0003040615082371407
R3_s_fga,A4_vac_x_own,FROZEN,2.0,0.00204,0.3446668134409841,0.004852424903345103,30,150,1.0,0.007147930235414851,0.0003617865273153624
R3_s_fga,A4_vac_x_own,FROZEN,4.0,0.00408,0.3543240283901958,0.005165393963734786,30,150,1.0,0.007206496168788776,0.0003345072145756
