response,candidate,arm,n_replicates,mean_dr2,sd_dr2,max_dr2
R1_s_pts,A2_fga_share_prior,UNFROZEN,60,-0.0011005974834644415,0.0010821930812559095,0.0020193602786433666
R1_s_pts,A4_vac_x_own,FROZEN,60,-0.001517717989691115,0.0007927591442059221,0.00029220112908294314
