response,candidate,arm,null,n_blocks,n_groups,observed,null_mean,null_sd,z,p,mde80_analytic
R1_s_pts,A1_min_share_prior,FROZEN,N_PSWAP,48,634,-0.004251804949529598,-7.403581785893126e-05,0.00024108685158893774,-17.328896636776868,1.0,0.0006750431844490257
R1_s_pts,A1_min_share_prior,UNFROZEN,N_PSWAP,48,634,-0.0008788880355548668,-6.603724395490199e-05,0.00023830428342689204,-3.4109785183501935,0.9916805324459235,0.0006672519935952976
R1_s_pts,A2_fga_share_prior,FROZEN,N_PSWAP,48,634,-0.00469621494063064,-7.96494250148755e-05,0.00024183391651739003,-19.089818260805416,1.0,0.0006771349662486921
R1_s_pts,A2_fga_share_prior,UNFROZEN,N_PSWAP,48,634,0.005486854016338421,-6.897460891161241e-05,0.00023751373667012105,23.3916096944171,0.0016638935108153079,0.0006650384626763389
R1_s_pts,A4_vac_x_own,FROZEN,N_PSWAP,48,634,0.0005730298476837614,-9.080489180146683e-05,0.0002339715982017322,2.837244967283869,0.0066555740432612314,0.0006551204749648501
R1_s_pts,A4_vac_x_own,UNFROZEN,N_PSWAP,48,634,-0.00025109884865539607,-0.0001125806396308271,0.00026639671310043565,-0.5199696625849339,0.7820299500831946,0.0007459107966812198
R1_s_pts,G01_noise,FROZEN,N_PSWAP,48,634,-6.861511867330983e-05,-4.509137892033883e-05,0.00021965283780982066,-0.1070950868995295,0.6422628951747088,0.0006150279458674978
R1_s_pts,G01_noise,UNFROZEN,N_PSWAP,48,634,-8.517575758244075e-05,-4.622224368468741e-05,0.00022013760542858514,-0.17695074779211337,0.6738768718801996,0.0006163852952000384
R2_s_min,A1_min_share_prior,FROZEN,N_PSWAP,48,634,-0.006352963738718167,-6.100601790161744e-05,0.00032893592461836693,-19.128216925884608,1.0,0.0009210205889314273
R2_s_min,A1_min_share_prior,UNFROZEN,N_PSWAP,48,634,-0.0032197538428898964,-4.1309030557283585e-05,0.00031972116306314754,-9.941302545883847,1.0,0.000895219256576813
R2_s_min,A2_fga_share_prior,FROZEN,N_PSWAP,48,634,-0.009706401051518156,-6.806000485749075e-05,0.00029216542146836844,-32.9893284366787,1.0,0.0008180631801114316
R2_s_min,A2_fga_share_prior,UNFROZEN,N_PSWAP,48,634,-0.001183705419092662,-3.088061941373292e-05,0.0002861444197159588,-4.028821532928304,0.9983361064891847,0.0008012043752046846
R2_s_min,A4_vac_x_own,FROZEN,N_PSWAP,48,634,0.0026403372615433885,-0.00016055942434270272,0.00036961231093854196,7.57793126201312,0.0016638935108153079,0.0010349144706279173
R2_s_min,A4_vac_x_own,UNFROZEN,N_PSWAP,48,634,0.00017529677230674557,-0.0002501666940177067,0.00044838040242523285,0.9488895233225499,0.10316139767054909,0.0012554651267906519
R2_s_min,G01_noise,FROZEN,N_PSWAP,48,634,-0.00012256019198065332,-0.00011573581875654438,0.00034578522727193075,-0.01973587269169874,0.6222961730449251,0.000968198636361406
R2_s_min,G01_noise,UNFROZEN,N_PSWAP,48,634,-0.00013226954862122187,-0.00011633829075999542,0.0003467373483467306,-0.04594618358013024,0.627287853577371,0.0009708645753708456
R3_s_fga,A1_min_share_prior,FROZEN,N_PSWAP,48,634,-0.0011015100469712836,-4.8734846500401064e-05,0.00019773915037167035,-5.324060503406064,0.9966722129783694,0.0005536696210406769
R3_s_fga,A1_min_share_prior,UNFROZEN,N_PSWAP,48,634,-0.002241292088867353,-4.7338886218504316e-05,0.00019586845271957608,-11.20115655270898,1.0,0.000548431667614813
R3_s_fga,A2_fga_share_prior,FROZEN,N_PSWAP,48,634,-0.00043157542133101377,-4.5739166450167435e-05,0.0001894727926363958,-2.0363675940602097,0.9667221297836939,0.0005305238193819082
R3_s_fga,A2_fga_share_prior,UNFROZEN,N_PSWAP,48,634,0.00011194124906091956,-4.4008106927400646e-05,0.00018695853823537558,0.8341387211317641,0.12479201331114809,0.0005234839070590516
R3_s_fga,A4_vac_x_own,FROZEN,N_PSWAP,48,634,0.00015986087963367442,-9.313533865924622e-05,0.00018768552216058014,1.3479794039545678,0.06156405990016639,0.0005255194620496244
R3_s_fga,A4_vac_x_own,UNFROZEN,N_PSWAP,48,634,3.169693281448933e-05,-0.00010028239171424517,0.0001972598572570628,0.6690632669207665,0.20465890183028287,0.0005523276003197758
R3_s_fga,G01_noise,FROZEN,N_PSWAP,48,634,-6.90406481121397e-05,-4.402246809503005e-05,0.0001668645403334683,-0.14993107563244046,0.64891846921797,0.0004672207129337112
R3_s_fga,G01_noise,UNFROZEN,N_PSWAP,48,634,-6.995572211052574e-05,-4.4025804654287245e-05,0.00016668788077686125,-0.15555970437316854,0.6505823627287853,0.00046672606617521146
