response,candidate,arm,window,n,r2_base,dr2,beta
R1_s_pts,A2_fga_share_prior,UNFROZEN,CLEAN_2023_24,3167,0.33491177406521533,0.005486854016338421,0.025573295384746814
R1_s_pts,A2_fga_share_prior,UNFROZEN,EVAL_2023_ONLY,1596,0.34480619738355156,0.005471674708398519,0.025726507136323833
R1_s_pts,A2_fga_share_prior,UNFROZEN,EVAL_2024_ONLY,1571,0.32427401075265383,0.005503217351133783,0.025420083633169794
R1_s_pts,A2_fga_share_prior,UNFROZEN,DISCLOSED_2022,1350,0.2856006614110722,0.00859001940041858,0.02152152894282309
R1_s_pts,A2_fga_share_prior,FROZEN,CLEAN_2023_24,3167,0.33491177406521533,-0.00469621494063064,0.0033432877593450837
R1_s_pts,A2_fga_share_prior,FROZEN,EVAL_2023_ONLY,1596,0.34480619738355156,-0.004600350807803564,0.003535795997120292
R1_s_pts,A2_fga_share_prior,FROZEN,EVAL_2024_ONLY,1571,0.32427401075265383,-0.0047992639957501965,0.003150779521569875
R1_s_pts,A2_fga_share_prior,FROZEN,DISCLOSED_2022,1350,0.2856006614110722,0.005224311466041609,0.0025965490912102625
R1_s_pts,A4_vac_x_own,FROZEN,CLEAN_2023_24,3167,0.33491177406521533,0.0005730298476837614,-0.0011270512266790583
R1_s_pts,A4_vac_x_own,FROZEN,EVAL_2023_ONLY,1596,0.34480619738355156,0.0005230450938907553,-0.001245708267724836
R1_s_pts,A4_vac_x_own,FROZEN,EVAL_2024_ONLY,1571,0.32427401075265383,0.0006267425801489105,-0.001008394185633281
R1_s_pts,A4_vac_x_own,FROZEN,DISCLOSED_2022,1350,0.2856006614110722,-0.0007361030851305531,-0.0007180031275219964
R1_s_pts,A1_min_share_prior,UNFROZEN,CLEAN_2023_24,3167,0.33491177406521533,-0.0008788880355548668,0.01103388983399254
R1_s_pts,A1_min_share_prior,UNFROZEN,EVAL_2023_ONLY,1596,0.34480619738355156,-0.00015128372091706652,0.011185914302289041
R1_s_pts,A1_min_share_prior,UNFROZEN,EVAL_2024_ONLY,1571,0.32427401075265383,-0.0016606858391119872,0.01088186536569604
R1_s_pts,A1_min_share_prior,UNFROZEN,DISCLOSED_2022,1350,0.2856006614110722,-0.005321120098337646,0.010379451883692613
R2_s_min,A4_vac_x_own,FROZEN,CLEAN_2023_24,3167,0.2551124058274965,0.0026403372615433885,-0.0008236143776804293
R2_s_min,A4_vac_x_own,FROZEN,EVAL_2023_ONLY,1596,0.27058877630344624,0.0024858716477047195,-0.0007881927528884226
R2_s_min,A4_vac_x_own,FROZEN,EVAL_2024_ONLY,1571,0.2386220902056645,0.0027969384354286364,-0.0008590360024724362
R2_s_min,A4_vac_x_own,FROZEN,DISCLOSED_2022,1350,0.24020969619421328,0.0005777878145294163,-0.0006165764907746974
