literal,file,line,n_candidate_matches,literal_chars,reason
{p}_sum,bottomup_3pt.py,235,1,4,file_outside_exploration
{p}_home,bottomup_3pt.py,665,2,5,file_outside_exploration
{season}_games,collect_misc_backfill.py,37,3,6,file_outside_exploration
{p}_sum,experiments\channel_reval\run_reval.py,217,1,4,file_outside_exploration
{p}_home,experiments\channel_reval\run_reval.py,248,2,5,file_outside_exploration
%s__%s,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,28,21,2,literal_chars<4(2);matches>10(21)
%s_%d,experiments\exploration\E0_I0019_availability_forecast\s00_inspect.py,63,351,1,literal_chars<4(1);matches>10(351)
{tgt}_{nm}_{s},experiments\exploration\E1_I0004_rim_finishing\_validate_sandbox\baseline\validate_baseline.py,80,301,2,literal_chars<4(2);matches>10(301)
{kind}__{label},experiments\exploration\E1_I0009_additive_pressure\analyze.py,464,21,2,literal_chars<4(2);matches>10(21)
{kind}__{lab},experiments\exploration\E1_I0009_r2_rerun\step4_verdict_and_nulls.py,197,21,2,literal_chars<4(2);matches>10(21)
{kind}__{label},experiments\exploration\E1_I0009_r2_rerun\src\E1_analyze_original.py,464,21,2,literal_chars<4(2);matches>10(21)
{tgt}_{nm}_{s},experiments\exploration\E1_I0011_split_alpha\baseline\validate_baseline.py,80,301,2,literal_chars<4(2);matches>10(301)
A%d,experiments\exploration\E1_I0013_tempo_redundancy\step3_redundancy.py,258,31,1,literal_chars<4(1);matches>10(31)
R4_%s,experiments\exploration\E1_I0032_aggregate_stack\scripts\s04_build.py,128,1,3,literal_chars<4(3)
R2_%s,experiments\exploration\E1_I0032_aggregate_stack\scripts\s04_build.py,129,1,3,literal_chars<4(3)
R4_%s,experiments\exploration\E1_I0032_aggregate_stack\scripts\s06_build.py,139,1,3,literal_chars<4(3)
%s_%s_%s,experiments\exploration\E1_I0039_stacking\scripts\s05_lattice.py,94,301,2,literal_chars<4(2);matches>10(301)
%s__%s,experiments\exploration\E1_I0044_broken_nulls_and_composites\scripts\s02_diagnose.py,36,21,2,literal_chars<4(2);matches>10(21)
%s__%s,experiments\exploration\E1_I0044_broken_nulls_and_composites\scripts\_rebuild_e14.py,21,21,2,literal_chars<4(2);matches>10(21)
{tag}__{c},experiments\exploration\MEASURE_F1_m13_fitpool\step2_variants.py,175,21,2,literal_chars<4(2);matches>10(21)
{tag}__{c},experiments\exploration\MEASURE_F1_m13_fitpool\step2_variants.py,215,21,2,literal_chars<4(2);matches>10(21)
tier_{lvl},experiments\player_program\stage2b\P27_FOLD_LOCAL_ESTIMABILITY_GUARD\run_s7_measurements.py,52,3,5,file_outside_exploration
tier_{lvl},experiments\player_program\stage2b\P29_TIP_TIME_AND_COVERAGE_AUDIT\run_measurements.py,63,3,5,file_outside_exploration
_{k},experiments\player_program\stage2b\P36_IMPLEMENT_ARMS\arms\A18\feature_construction.py,147,7,1,literal_chars<4(1);file_outside_exploration
{s},experiments\player_program\stage3_score\S33R_PREREGISTRATION_REPAIR\MEASURE_A1_DATE_WITNESS.py,186,410,0,literal_chars<4(0);matches>10(410);file_outside_exploration
n_{tag},experiments\player_program\stage3_score\S36_IMPLEMENT_ARMS\runner\features_common.py,156,1,2,literal_chars<4(2);file_outside_exploration
n_{tag},experiments\player_program\stage3_score\S36_IMPLEMENT_ARMS\runner\features_common.py,161,1,2,literal_chars<4(2);file_outside_exploration
{s},experiments\player_program\stage3_score\S37_IMPLEMENTATION_AUDIT\measurements\m5_a1_rerun.py,186,410,0,literal_chars<4(0);matches>10(410);file_outside_exploration
{m}_diff,experiments\playoff_shift\run_playoff_shift.py,147,1,5,file_outside_exploration
{m}_diff,experiments\playoff_shift\run_playoff_shift.py,373,1,5,file_outside_exploration
{col}_bucket,features\common.py,491,2,7,file_outside_exploration
{col}_bucket,features\common.py,493,2,7,file_outside_exploration
rate_{ch},features\common.py,898,2,5,file_outside_exploration
opp_{metric},wnba-prediction-engine\scripts\02_processing\normalize_opponent_strength.py,85,3,4,file_outside_exploration
