screen,candidate,n_sites,site_scope,sites
E0_I0014_residual_heterogeneity,pl_games_prior,3,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 171, ""    d[\""pl_games_prior\""] = d.groupby([\""season\"", \""player_id\""], sort=False)[\""_ap\""].transform(""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 211, ""               (\""pl_games_prior\"", \""pl_minutes_prior\"", \""pl_career_games_prior\"",""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 83, ""    median_prior_games=(\""pl_games_prior\"", \""median\""),""]]"
E0_I0014_residual_heterogeneity,pl_minutes_prior,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 173, ""    d[\""pl_minutes_prior\""] = d.groupby([\""season\"", \""player_id\""], sort=False)[\""_apmin\""].transform(""]]"
E0_I0014_residual_heterogeneity,pl_career_games_prior,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 176, ""    d[\""pl_career_games_prior\""] = d.groupby([\""player_id\""], sort=False)[\""_ap\""].transform(""]]"
E0_I0014_residual_heterogeneity,pl_prior_season_games,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 178, ""    d[\""pl_prior_season_games\""] = d[\""pl_career_games_prior\""] - d[\""pl_games_prior\""]""]]"
E0_I0014_residual_heterogeneity,pl_is_rookie_window,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 179, ""    d[\""pl_is_rookie_window\""] = (d[\""pl_prior_season_games\""] <= 0).astype(float)""]]"
E0_I0014_residual_heterogeneity,pl_min_mean5,1,WORKTREE,"[[""experiments\\exploration\\E1_I0032_aggregate_stack\\scripts\\s06_build.py"", 125, ""for c, out_c in ((\""pl_games_prior\"", \""n_prior\""), (\""pl_min_mean5\"", \""min5\""),""]]"
E0_I0014_residual_heterogeneity,pl_fga_mean5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_pts_mean5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_usg_mean5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_start_frac5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 202, ""    app[\""pl_start_frac5\""] = gsf.transform(lambda x: x.shift(1).rolling(5, min_periods=3).mean())""]]"
E0_I0014_residual_heterogeneity,pl_min_sd5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_min_cv5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 191, ""    app[\""pl_min_cv5\""] = app[\""pl_min_sd5\""] / app[\""pl_min_mean5\""].replace(0, np.nan)""]]"
E0_I0014_residual_heterogeneity,pl_min_rng5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 194, ""    app[\""pl_min_rng5\""] = (gmn.transform(lambda x: x.shift(1).rolling(5, min_periods=3).max()) -""]]"
E0_I0014_residual_heterogeneity,pl_fga_sd5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_pts_sd5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_usg_sd5,0,NONE,[]
E0_I0014_residual_heterogeneity,pl_min_trend5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 196, ""    app[\""pl_min_trend5\""] = (gmn.transform(lambda x: x.shift(1).rolling(2, min_periods=2).mean()) -""]]"
E0_I0014_residual_heterogeneity,pl_abs_min_trend5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 198, ""    app[\""pl_abs_min_trend5\""] = app[\""pl_min_trend5\""].abs()""]]"
E0_I0014_residual_heterogeneity,pl_start_switch5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 204, ""    app[\""pl_start_switch5\""] = app.groupby([\""season\"", \""player_id\""], sort=False)[\""_sfchg\""].transform(""]]"
E0_I0014_residual_heterogeneity,pl_rest_days,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 207, ""    app[\""pl_rest_days\""] = app.groupby([\""season\"", \""player_id\""], sort=False)[\""gdate\""].transform(""]]"
E0_I0014_residual_heterogeneity,pl_teamgames_since_appear,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 326, ""    d[\""pl_teamgames_since_appear\""] = d[\""tm_game_idx\""] - d[\""_last_ap_idx\""] - 1.0""]]"
E0_I0014_residual_heterogeneity,pl_dnp_frac5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 328, ""    d[\""pl_dnp_frac5\""] = 1.0 - g[\""_apf\""].transform(""]]"
