screen,decision,source_file,candidate,target,stratum,base,level_recorded,n,dr2_reported,p_correct_level,p_familywise,ceiling_recorded,d103_K,mde80_fw,mde80_percell,mde80_fw_used,blind_to_best_lead_fw,blind_used,kill_reason,kill_reason_corrected,T1_not_ceiling,T2_roster_constant,T3_summable_target,T4_power_recorded,ELIGIBLE
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,pts_absres,,,WITHIN-block,,0.0004333762221835,0.903,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,pts_sqres,,,WITHIN-block,,0.0005251968884392,0.562,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,minutes_absres,,,WITHIN-block,,0.0165100390196486,0.0,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,minutes_sqres,,,WITHIN-block,,0.0190204800139105,0.0,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,fga_absres,,,WITHIN-block,,0.0034846069782292,0.0,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_games_prior,fga_sqres,,,WITHIN-block,,0.0043311266542878,0.0,1.0,,348.0,0.0026705643066675,0.0002913951706835,0.0026705643066675,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_minutes_prior,pts_absres,,,WITHIN-block,,0.0120848952144151,1.0,1.0,,348.0,0.0026726310189959,0.00029162067732650004,0.0026726310189959,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_minutes_prior,pts_sqres,,,WITHIN-block,,0.0064691266121032,1.0,1.0,,348.0,0.0026726310189959,0.00029162067732650004,0.0026726310189959,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_minutes_prior,minutes_absres,,,WITHIN-block,,0.0215155130841955,0.0,1.0,,348.0,0.0026726310189959,0.00029162067732650004,0.0026726310189959,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_minutes_prior,minutes_sqres,,,WITHIN-block,,0.0210611607790034,0.0,1.0,,348.0,0.0026726310189959,0.00029162067732650004,0.0026726310189959,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
E0_I0014_residual_heterogeneity,D078/D082,E0_I0014_residual_heterogeneity/screen_results.csv,pl_minutes_prior,fga_absres,,,WITHIN-block,,0.0022155541511143,1.0,1.0,,348.0,0.0026726310189959,0.00029162067732650004,0.0026726310189959,0.6666666666666666,0.6666666666666666,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,True,False,False,True,False
