cell,null,planted_along,delta,power,nrep
L1,N_ROW,FULL,0.0,0.016666666666666666,60
L1,N_ROW,FULL,0.0005,0.016666666666666666,60
L1,N_ROW,FULL,0.001127,0.016666666666666666,60
L1,N_ROW,FULL,0.002057,0.05,60
L1,N_ROW,FULL,0.005,1.0,60
L1,N_ROW,FULL,0.01,1.0,60
L1,N_ROW,BETWEEN,0.0,0.05,60
L1,N_ROW,BETWEEN,0.002057,0.03333333333333333,60
L1,N_ROW,BETWEEN,0.01,1.0,60
L1,N_ESWAP,FULL,0.0,0.016666666666666666,60
L1,N_ESWAP,FULL,0.0005,0.016666666666666666,60
L1,N_ESWAP,FULL,0.001127,0.03333333333333333,60
L1,N_ESWAP,FULL,0.002057,0.26666666666666666,60
L1,N_ESWAP,FULL,0.005,0.9666666666666667,60
L1,N_ESWAP,FULL,0.01,1.0,60
L1,N_ESWAP,BETWEEN,0.0,0.05,60
L1,N_ESWAP,BETWEEN,0.002057,0.35,60
L1,N_ESWAP,BETWEEN,0.01,1.0,60
L2,N_ROW,FULL,0.0,0.03333333333333333,60
L2,N_ROW,FULL,0.0005,0.05,60
L2,N_ROW,FULL,0.001127,0.016666666666666666,60
L2,N_ROW,FULL,0.002057,0.016666666666666666,60
L2,N_ROW,FULL,0.005,1.0,60
L2,N_ROW,FULL,0.01,1.0,60
L2,N_ROW,BETWEEN,0.0,0.05,60
L2,N_ROW,BETWEEN,0.002057,0.03333333333333333,60
L2,N_ROW,BETWEEN,0.01,1.0,60
L2,N_ESWAP,FULL,0.0,0.016666666666666666,60
L2,N_ESWAP,FULL,0.0005,0.03333333333333333,60
L2,N_ESWAP,FULL,0.001127,0.05,60
L2,N_ESWAP,FULL,0.002057,0.2833333333333333,60
L2,N_ESWAP,FULL,0.005,0.9833333333333333,60
L2,N_ESWAP,FULL,0.01,1.0,60
L2,N_ESWAP,BETWEEN,0.0,0.06666666666666667,60
L2,N_ESWAP,BETWEEN,0.002057,0.2833333333333333,60
L2,N_ESWAP,BETWEEN,0.01,1.0,60
L3,N_ROW,FULL,0.0,0.06666666666666667,60
L3,N_ROW,FULL,0.0005,0.06666666666666667,60
L3,N_ROW,FULL,0.001127,0.1,60
L3,N_ROW,FULL,0.002057,0.03333333333333333,60
L3,N_ROW,FULL,0.005,1.0,60
L3,N_ROW,FULL,0.01,1.0,60
L3,N_ROW,BETWEEN,0.0,0.03333333333333333,60
L3,N_ROW,BETWEEN,0.002057,0.03333333333333333,60
L3,N_ROW,BETWEEN,0.01,1.0,60
L3,N_ESWAP,FULL,0.0,0.08333333333333333,60
L3,N_ESWAP,FULL,0.0005,0.05,60
L3,N_ESWAP,FULL,0.001127,0.08333333333333333,60
L3,N_ESWAP,FULL,0.002057,0.11666666666666667,60
L3,N_ESWAP,FULL,0.005,1.0,60
L3,N_ESWAP,FULL,0.01,1.0,60
L3,N_ESWAP,BETWEEN,0.0,0.03333333333333333,60
L3,N_ESWAP,BETWEEN,0.002057,0.13333333333333333,60
L3,N_ESWAP,BETWEEN,0.01,1.0,60
L4,N_ROW,FULL,0.0,0.08333333333333333,60
L4,N_ROW,FULL,0.0005,0.06666666666666667,60
L4,N_ROW,FULL,0.001127,0.03333333333333333,60
L4,N_ROW,FULL,0.002057,0.016666666666666666,60
L4,N_ROW,FULL,0.005,1.0,60
L4,N_ROW,FULL,0.01,1.0,60
L4,N_ROW,BETWEEN,0.0,0.06666666666666667,60
L4,N_ROW,BETWEEN,0.002057,0.0,60
L4,N_ROW,BETWEEN,0.01,1.0,60
L4,N_ESWAP,FULL,0.0,0.1,60
L4,N_ESWAP,FULL,0.0005,0.06666666666666667,60
L4,N_ESWAP,FULL,0.001127,0.03333333333333333,60
L4,N_ESWAP,FULL,0.002057,0.13333333333333333,60
L4,N_ESWAP,FULL,0.005,1.0,60
L4,N_ESWAP,FULL,0.01,1.0,60
L4,N_ESWAP,BETWEEN,0.0,0.05,60
L4,N_ESWAP,BETWEEN,0.002057,0.15,60
L4,N_ESWAP,BETWEEN,0.01,1.0,60
C1_LEVELUP,N_ROW,FULL,0.0,0.05,60
C1_LEVELUP,N_ROW,FULL,0.0005,0.03333333333333333,60
C1_LEVELUP,N_ROW,FULL,0.001127,0.03333333333333333,60
C1_LEVELUP,N_ROW,FULL,0.002057,0.15,60
C1_LEVELUP,N_ROW,FULL,0.005,1.0,60
C1_LEVELUP,N_ROW,FULL,0.01,1.0,60
C1_LEVELUP,N_ROW,BETWEEN,0.0,0.016666666666666666,60
C1_LEVELUP,N_ROW,BETWEEN,0.002057,0.13333333333333333,60
C1_LEVELUP,N_ROW,BETWEEN,0.01,1.0,60
C1_LEVELUP,N_ESWAP,FULL,0.0,0.05,60
C1_LEVELUP,N_ESWAP,FULL,0.0005,0.016666666666666666,60
C1_LEVELUP,N_ESWAP,FULL,0.001127,0.03333333333333333,60
C1_LEVELUP,N_ESWAP,FULL,0.002057,0.3333333333333333,60
C1_LEVELUP,N_ESWAP,FULL,0.005,1.0,60
C1_LEVELUP,N_ESWAP,FULL,0.01,1.0,60
C1_LEVELUP,N_ESWAP,BETWEEN,0.0,0.016666666666666666,60
C1_LEVELUP,N_ESWAP,BETWEEN,0.002057,0.23333333333333334,60
C1_LEVELUP,N_ESWAP,BETWEEN,0.01,1.0,60
