stratum,null,planted_along,delta,power,achieved,nrep
DECISION,N_CYCLIC,BETWEEN,0.0005,0.0,0.0005,60
DECISION,N_CYCLIC,BETWEEN,0.001127,0.0,0.0011269999999999997,60
DECISION,N_CYCLIC,BETWEEN,0.002057,0.0,0.0020569999999999994,60
DECISION,N_CYCLIC,WITHIN,0.0,0.23333333333333334,6.386289195052888e-05,60
DECISION,N_CYCLIC,WITHIN,0.0005,0.9666666666666667,0.0004999999999999999,60
DECISION,N_CYCLIC,WITHIN,0.001127,0.9833333333333333,0.0011269999999999997,60
DECISION,N_CYCLIC,WITHIN,0.002057,1.0,0.0020569999999999994,60
DECISION,N_PSWAP,FULL,0.0,0.1,0.00010597813914912031,60
DECISION,N_PSWAP,FULL,0.0005,0.23333333333333334,0.0005,60
DECISION,N_PSWAP,FULL,0.001127,1.0,0.0011270000000000002,60
DECISION,N_PSWAP,FULL,0.002057,1.0,0.0020570000000000002,60
DECISION,N_PSWAP,BETWEEN,0.0,0.1,0.00010727937077892988,60
DECISION,N_PSWAP,BETWEEN,0.0005,0.23333333333333334,0.0005,60
DECISION,N_PSWAP,BETWEEN,0.001127,1.0,0.0011269999999999997,60
DECISION,N_PSWAP,BETWEEN,0.002057,1.0,0.0020569999999999994,60
DECISION,N_PSWAP,WITHIN,0.0,0.05,6.386289195052888e-05,60
DECISION,N_PSWAP,WITHIN,0.0005,0.2833333333333333,0.0004999999999999999,60
DECISION,N_PSWAP,WITHIN,0.001127,1.0,0.0011269999999999997,60
DECISION,N_PSWAP,WITHIN,0.002057,1.0,0.0020569999999999994,60
