null,n,obs_dr2,p,null_mean,null_sd,R,mde80,power_at_best_live,typeI_at_0,status
N_ROW,13784,0.006488115969526343,0.0016611295681063123,4.9258096265809535e-05,6.795546670571084e-05,601,0.00042580000000000005,1.0,0.05,USABLE
N_CYCLIC,13784,0.006488115969526343,0.9950166112956811,0.007900880181740138,0.0005774944122775161,601,0.0015403333333333332,0.95,0.04,USABLE
N_PSWAP,13784,0.006488115969526343,0.0016611295681063123,7.543285071534914e-05,9.484293883580335e-05,601,0.00042428571428571434,1.0,0.05,USABLE
