candidate,target,level_recorded,screen,decision,dr2_max,n_max,p_correct_min,p_fw_min,mde80,cells,kill,EV
M06_opp_pace,y_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.003493200093515,12942.0,0.0033277870216306,0.108153078202995,,6,POWERED_NULL,-1.883776536887248
M06_opp_pace,y_ftm,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0032672007134285,12942.0,0.0116472545757071,0.1963394342762063,,6,POWERED_NULL,-1.919824184760291
M04_opp_allowed_ft_rate,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0015657674848832,12942.0,0.0049916805324459,0.1430948419301164,,5,POWERED_NULL,-2.03227272984483
M01_opp_pf_pg,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0014646306907239,12942.0,0.0083194675540765,0.1580698835274542,,5,POWERED_NULL,-2.0612718696444876
M03_opp_allowed_ftm_pg,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0010573703147002,12942.0,0.0066555740432612,0.2146422628951747,,4,POWERED_NULL,-2.202772886424634
M05_opp_allowed_hurdle_rate,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0009174351644516,12942.0,0.0449251247920133,0.5141430948419301,,6,POWERED_NULL,-2.264424617774333
X01_fd_x_oppfoul,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0008114273497042,12942.0,0.0332778702163061,0.3743760399334442,,4,POWERED_NULL,-2.3177503581975807
X01_fd_x_oppfoul,y_ftm,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.001067944064229,12942.0,0.0099833610648918,0.1530782029950083,,3,POWERED_NULL,-2.4054514937801805
A01_c04_prevgame,y_reb,team_season,E0_I0024_reb_ast_characterisation,D097,0.0013405728145867,5111.0,0.0066555740432612,0.0881863560732113,0.0021068620512050998,2,UNINFORMATIVE_NULL,-2.4657095918904464
M04_opp_allowed_ft_rate,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007876951143454,12942.0,0.0066555740432612,0.151414309484193,,4,POWERED_NULL,-2.5306418482204305
A01_c04_prevgame,y_ast,team_season,E0_I0024_reb_ast_characterisation,D097,0.001271315398334,5111.0,0.0099833610648918,0.1131447587354409,0.0021068620512050998,1,UNINFORMATIVE_NULL,-2.5357466927476295
M02_opp_allowed_fta_pg,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0004845715957362,12942.0,0.0332778702163061,0.4442595673876872,,2,POWERED_NULL,-2.541642046609098
A04_teammate_prior_fgm_pg,y_ast,team_season,E0_I0024_reb_ast_characterisation,D097,0.0012540697880472,5111.0,0.0133111480865224,0.1797004991680532,0.00226370315590995,1,UNINFORMATIVE_NULL,-2.5416782946692087
M06_opp_pace,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007661789100634,12942.0,0.0332778702163061,0.5590682196339434,,6,POWERED_NULL,-2.5426698066326945
M02_opp_allowed_fta_pg,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007567551310159,12942.0,0.0066555740432612,0.1763727121464226,,2,POWERED_NULL,-2.548044625720795
M05_opp_allowed_hurdle_rate,y_ftm,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007482718730994,12942.0,0.0149750415973377,0.367720465890183,,4,POWERED_NULL,-2.559940579228794
M05_opp_allowed_hurdle_rate,y_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007300830334745,12942.0,0.038269550748752,0.4725457570715474,,4,POWERED_NULL,-2.5636277440862902
M01_opp_pf_pg,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007252290367753,12942.0,0.0083194675540765,0.1630615640599001,,4,POWERED_NULL,-2.5665248159129446
M03_opp_allowed_ftm_pg,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0007163941894012,12942.0,0.0083194675540765,0.1930116472545757,,4,POWERED_NULL,-2.571847945326118
X01_fd_x_oppfoul,y_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0006972064265323,12942.0,0.0349417637271214,0.5574043261231281,,3,POWERED_NULL,-2.5836386184142355
M06_opp_pace,y_pts,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0003587292795208,12942.0,0.0366056572379367,0.4875207986688852,,6,POWERED_NULL,-2.6722331747169403
X02_ftr_x_oppftrate,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0005586015938134,12942.0,0.021630615640599,0.3044925124792013,,4,POWERED_NULL,-2.6798978294954194
X02_ftr_x_oppftrate,y_ftm,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0004897041123908,12942.0,0.0981697171381031,0.8602329450915142,,4,POWERED_NULL,-2.7440662488894136
X02_ftr_x_oppftrate,y_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0003192654644331,12942.0,0.2046589018302828,0.9850249584026622,,4,POWERED_NULL,-2.922848057399544
M03_opp_allowed_ftm_pg,y_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0003024191376044,12942.0,0.1530782029950083,0.9267886855241264,,2,POWERED_NULL,-2.9463907293976708
X01_fd_x_oppfoul,y_any_fta,opp_team_season,E0_I0029_freethrow_hurdle,D108,0.0002278603795927,12942.0,0.059900166389351,0.6505823627287853,,4,POWERED_NULL,-3.0693311834644077
