cell,base,candidate,response,level,n,r2_base,dr2,ceiling,null,p_percell,null_mean,null_sd,z,R,mde80,typeI,power_at_0p002057,power_at_0p020,null_status,above_own_mde,var_share_between_opp,p_familywise_maxz
L1,B_TEAM_COMPLETE,M06_opp_pace,T_fta,team_game,1486,0.049443577645267744,0.011610025745288181,0.011610025745288185,N_ESWAP,0.011627906976744186,0.002049705253501272,0.002591651363926374,3.688891424540584,601,0.0039028500000000002,0.06666666666666667,0.16666666666666666,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6485183347156587,0.053156146179401995
L1,B_TEAM_PLUS_OPP,M06_opp_pace,T_fta,team_game,1486,0.07596709855158379,0.005329761196802186,0.005329761196802186,N_ESWAP,0.011627906976744186,0.0008561464820907557,0.001141891765242439,3.9177221965180054,601,0.0037954736842105265,0.05,0.23333333333333334,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6485183347156587,0.04983388704318937
L2,B_TEAM_COMPLETE,M06_opp_pace,T_ftm,team_game,1486,0.040263617117586636,0.010428550501299452,0.010428550501299453,N_ESWAP,0.019933554817275746,0.0020538571976588685,0.0025028188190734687,3.346104496185966,601,0.0038612142857142864,0.016666666666666666,0.15,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6485183347156587,0.07475083056478406
L2,B_TEAM_PLUS_OPP,M06_opp_pace,T_ftm,team_game,1486,0.06682078467113095,0.004375235561871665,0.004375235561871664,N_ESWAP,0.026578073089700997,0.0009345604330307965,0.0011963398701150315,2.8760013895633505,601,0.003950179487179488,0.016666666666666666,0.16666666666666666,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6485183347156587,0.09966777408637874
L3,B_TEAM_COMPLETE,M04_opp_allowed_ft_rate,T_pts,team_game,1486,0.05001459710125389,0.007601479109157092,0.007601479109157093,N_ESWAP,0.07142857142857142,0.0023673038574684837,0.003168889026042679,1.6517382617923564,601,0.00353368,0.05,0.16666666666666666,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6632732987663915,0.24750830564784054
L3,B_TEAM_PLUS_OPP,M04_opp_allowed_ft_rate,T_pts,team_game,1486,0.09710697611022467,0.0009117546228956087,0.0009117546228956084,N_ESWAP,0.2956810631229236,0.0008858705923224477,0.0013457159924865746,0.019234393228346212,601,0.0035725400000000004,0.06666666666666667,0.15,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,False,0.6632732987663915,0.7541528239202658
L4,B_TEAM_COMPLETE,M01_opp_pf_pg,T_pts,team_game,1486,0.05001459710125389,0.017503557048585368,0.01750355704858537,N_ESWAP,0.006644518272425249,0.0023834945967715336,0.003276132807192737,4.615216580542094,601,0.003596735849056604,0.03333333333333333,0.1,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,True,0.6961643763682479,0.016611295681063124
L4,B_TEAM_PLUS_OPP,M01_opp_pf_pg,T_pts,team_game,1486,0.09710697611022467,0.0032866763172703438,0.0032866763172703433,N_ESWAP,0.05647840531561462,0.0009214788525623134,0.0013377716942233413,1.768012789417833,601,0.00351425,0.06666666666666667,0.25,1.0,USABLE_BUT_UNDERPOWERED_AT_0.002057,False,0.6961643763682479,0.2159468438538206
