delta,benchmark,achieved_dr2_med,power,nrep,null
0.0,TYPE-I CHECK,1.579849296969709e-05,0.05,100,N_ROW
5e-05,(below every benchmark),5.000000000000003e-05,0.04,100,N_ROW
0.000129,"D084 opp conversion, DEAD",0.00012900000000000002,0.0,100,N_ROW
0.0005,(intermediate),0.0005,1.0,100,N_ROW
0.001127,"D079 shot mix, DEAD",0.001127,1.0,100,N_ROW
0.002057,"D089 largest measured, ALIVE",0.002057,1.0,100,N_ROW
0.0,TYPE-I CHECK,1.579849296969709e-05,0.04,100,N_CYCLIC
5e-05,(below every benchmark),5.000000000000003e-05,0.07,100,N_CYCLIC
0.000129,"D084 opp conversion, DEAD",0.00012900000000000002,0.11,100,N_CYCLIC
0.0005,(intermediate),0.0005,0.4,100,N_CYCLIC
0.001127,"D079 shot mix, DEAD",0.001127,0.68,100,N_CYCLIC
0.002057,"D089 largest measured, ALIVE",0.002057,0.95,100,N_CYCLIC
0.0,TYPE-I CHECK,1.579849296969709e-05,0.05,100,N_PSWAP
5e-05,(below every benchmark),5.000000000000003e-05,0.04,100,N_PSWAP
0.000129,"D084 opp conversion, DEAD",0.00012900000000000002,0.02,100,N_PSWAP
0.0005,(intermediate),0.0005,1.0,100,N_PSWAP
0.001127,"D079 shot mix, DEAD",0.001127,1.0,100,N_PSWAP
0.002057,"D089 largest measured, ALIVE",0.002057,1.0,100,N_PSWAP
