stratum,n,null,obs_dr2,p,null_mean,null_sd,R,ceiling,pow_full_at_best,pow_between_at_best,pow_within_at_best,typeI,flag_blind_between,flag_blind_within,flag_null_mean_above_obs
POOLED,13784,N_ROW,0.006488115969526343,0.0016611295681063123,5.498220014065029e-05,8.151921462106033e-05,601,0.00648811596952634,1.0,1.0,1.0,0.06666666666666667,False,False,False
POOLED,13784,N_CYCLIC,0.006488115969526343,0.9916943521594684,0.007865872719891602,0.0005886027513700721,601,0.00648811596952634,0.85,0.0,1.0,0.03333333333333333,True,False,True
POOLED,13784,N_PSWAP,0.006488115969526343,0.0016611295681063123,6.828246226546776e-05,9.822670552068936e-05,601,0.00648811596952634,1.0,1.0,1.0,0.05,False,False,False
DECISION,5111,N_ROW,0.0011459764767566332,0.008305647840531562,0.00013795408687864677,0.00020619667964537813,601,0.0011459764767566335,1.0,1.0,1.0,0.1,False,False,False
DECISION,5111,N_CYCLIC,0.0011459764767566332,0.6810631229235881,0.0012517077704582802,0.00019703489172828955,601,0.0011459764767566335,0.13333333333333333,0.0,1.0,0.05,True,False,True
DECISION,5111,N_PSWAP,0.0011459764767566332,0.0033222591362126247,0.00013909242614645013,0.00018533294791731278,601,0.0011459764767566335,1.0,1.0,1.0,0.1,False,False,False
