floor,player_id,n_retained,n_scored,y_sd,y_mean,mae_wf_6feature,r2_wf_6feature,mae_wf_1feature,r2_wf_1feature,mae_ref_prior_mean,r2_ref_prior_mean,mae_ref_refB,r2_ref_refB,best_reference,best_ref_mae,skill_6feature_vs_best_ref,skill_1feature_vs_best_ref,r2_INSAMPLE_UPPER_BOUND_not_attainable
0,203866,107,82,0.19628802688325614,0.26521903060000046,0.166362979939749,-0.167316467206565,0.15353128945053907,0.01663554234077158,0.1581950416435515,-0.02612045745019098,0.1761407955259042,-0.14338616391742032,ref_prior_mean,0.1581950416435515,-0.05163207526188884,0.029481026361881213,0.18252137334192586
0,203826,107,82,0.15378450937280216,0.38096194369747516,0.12837408094669445,-0.08409764239063033,0.12535673673909203,-0.029717649352387854,0.12387698787966914,-0.019422402734151856,0.11857145238780471,0.058611467908817105,ref_refB_prior_ratio,0.11857145238780471,-0.0826727543728556,-0.057225278215325304,0.09031657064657828
0,1629567,107,82,0.22247202747103373,0.30270576934763915,0.20351134392815334,-0.1942151774944747,0.1893255819901093,-0.0336592499582129,0.18979548348196226,-0.03359375815742682,0.18808101092576196,-0.02826997027283551,ref_refB_prior_ratio,0.18808101092576196,-0.08204088720302516,-0.006617207437483286,0.04179729164835866
0,1628244,106,81,0.22701774160499574,0.34489330356291487,0.1946411407812668,-0.19699037417450138,0.18082325557401058,-0.010359462803093633,0.18170484535224188,-0.020997428389142314,0.18444833210951217,-0.03664916506415583,ref_prior_mean,0.18170484535224188,-0.07119400368189077,0.004851768132667633,0.12698649453372113
0,1628278,106,81,0.16701352740986314,0.28890422025648055,0.14552716220048803,-0.12543312624484315,0.1421854374738712,-0.07513852510939567,0.14164246019156615,-0.06525718497060029,0.13455025606173446,-0.008089742981471248,ref_refB_prior_ratio,0.13455025606173446,-0.08158220177386455,-0.05674594486563844,0.08244142436973934
20,203826,105,80,0.14934845006132044,0.3866750166801559,0.12665335045654835,-0.10746783911709312,0.12261713217835175,-0.030669300604261984,0.12124634219288902,-0.02224788950021095,0.11572855227758871,0.05095527880319328,ref_refB_prior_ratio,0.11572855227758871,-0.09440019739256056,-0.059523598672866385,0.09306541444243288
20,1628276,104,79,0.2090549451534375,0.5658004311952527,0.1690700467307277,-0.07391893761679524,0.1596929864541669,0.0023857556309739847,0.16106179535568338,-0.03186317135977168,0.15631359516321924,-0.029872415905122685,ref_refB_prior_ratio,0.15631359516321924,-0.08160807480749477,-0.021619305009388246,0.10604425147815211
20,1628932,103,78,0.23521626386190272,0.75266135169065,0.1758588115511742,-0.05187602490964549,0.17436630218761798,-0.03661810925963249,0.1759647120874609,-0.058058080947136936,0.16806462698242047,-0.00988275867970545,ref_refB_prior_ratio,0.16806462698242047,-0.04637611559729926,-0.037495547506595006,0.09346219471528683
20,1627668,102,77,0.24393258913866708,0.6565990554778013,0.19814762413970083,-0.061422573970265404,0.19555358196116573,-0.0008063245607816683,0.19696261130412696,-0.026846329551607928,0.18619218076422792,-0.0548197412773932,ref_refB_prior_ratio,0.18619218076422792,-0.06421023335352571,-0.05027816505781191,0.08830520155622601
20,1629498,102,77,0.2190942289842568,0.4990442426818917,0.18180039210066967,-0.1206495443533373,0.17367965712033845,-0.022582172321597982,0.17372434348071084,-0.019074224592044775,0.18587359954540575,-0.07890910092593528,ref_prior_mean,0.17372434348071084,-0.04648771990239542,0.0002572256684184593,0.14028430773642997
