floor,relationship,x,y,is_negative_control,n_rows,n_players_eligible,pooled_beta,pooled_se,pooled_t,obs_spread_weighted,obs_spread_unweighted,var_observed,var_sampling_noise,excess_var,tau_excess_sd,var_ratio_obs_over_noise,n1_null_mean_w,n1_null_sd_w,n1_ratio_w,n1_p_w,n1_null_mean_u,n1_ratio_u,n1_p_u,n2_rowlevel_null_mean_w,n2_rowlevel_ratio_w,n2_rowlevel_p_w,n3_teamgame_null_mean_w,n3_teamgame_ratio_w,n3_teamgame_p_w,n4_cyclic_null_mean_w,n4_cyclic_ratio_w,n4_cyclic_p_w
0,R01_prior_efficiency_persistence,refA_ppm_floor,y_ppm_floor,False,11705,204,0.038859598235998334,0.024323408187911573,1.597621432645737,0.4307224533170866,0.5960695566243808,0.3552989163343859,0.3358893064024141,0.019409609931971772,0.1393183761460482,1.0577857334604097,0.3468231903262389,0.10748993940240117,1.241907880819411,0.079960019990005,0.5804151433186432,1.0269710628434507,0.3353323338330835,0.18058170013121913,2.3851943635711894,0.0004997501249375312,,,,0.4179648346287327,1.0305231867166198,0.6411794102948526
0,R02_opp_efg_allowed,A01_opp_efg_allowed,y_ppm_floor,False,11705,204,0.2725735330653367,0.07852134719795253,3.471330317068785,1.1365020360982891,3.8028501575085327,14.461669320462672,20.31526851375901,-5.853599193296336,0.0,0.7118620810090772,1.154525931599993,0.06135788313801134,0.9843884879426437,0.607696151924038,4.211481215364425,0.9029721285791055,0.5052473763118441,1.1578780933380401,0.981538594293527,0.6361819090454772,1.1437325866068027,0.9936781109560191,0.553223388305847,1.1661050725712596,0.9746137486498573,0.6656671664167916
0,R03_opp_ts_allowed,A02_opp_ts_allowed,y_ppm_floor,False,11705,204,0.3192778617855201,0.078003374442343,4.093128843054317,1.15303516551863,3.3395796096435317,11.152791969146845,23.068998686469676,-11.916206717322831,0.0,0.48345366527278577,1.146246379411944,0.05934667919539585,1.0059226238168524,0.44227886056971516,4.372039299086087,0.7638494032616825,0.6661669165417291,1.1510238566359494,1.0017474085103317,0.4852573713143428,1.1438206535645283,1.008055906251899,0.4407796101949025,1.1557080778698146,0.997687208039498,0.49375312343828087
0,R04_opp_defrtg,A10_opp_defrtg,y_ppm_floor,False,11705,204,0.0020650449860045027,0.00037038720542325557,5.575368035849665,0.005686310459840716,0.023881432547166636,0.0005703228205048698,0.0006698005811874944,-9.947776068262458e-05,0.0,0.851481525282854,0.005462397256506336,0.0002880685354668706,1.040991746447528,0.2128935532233883,0.022965830593065156,1.039868009580196,0.39280359820089955,0.0054679763488021315,1.0399296004794196,0.20739630184907545,0.005435051878557589,1.0462292884957352,0.18640679660169915,0.005474129092129008,1.038760753380258,0.21689155422288856
0,R05_teammate_volume_pregame,P01_c04_prevgame,y_ppm_floor,False,11705,204,-0.0017501005985885438,0.00019815904550854544,-8.831797680984854,0.0033179946856347698,0.009204283129497616,8.471882792795445e-05,0.00015560421299825155,-7.08853850702971e-05,0.0,0.5444507336630172,0.003187623418319111,0.00018043710538501992,1.0408992061503946,0.239880059970015,0.011529776159677903,0.7983054486076638,0.6661669165417291,0.0026279444694673544,1.2625817341974803,0.0009995002498750624,,,,0.003405646440773834,0.9742628142223865,0.6776611694152923
0,R06_own_usage,O01_own_usg_pg,y_ppm_floor,False,11705,204,0.008201558852450991,0.0009596490147982083,8.54641512259103,0.017239977654609922,0.10178743703906615,0.010360682338981854,0.044402758153710725,-0.03404207581472887,0.0,0.23333420647239714,0.014394239932546595,0.0007674089122385391,1.1976997559717533,0.0014992503748125937,0.1880646741588524,0.5412363459236872,0.9010494752623688,0.004772173244112759,3.6126051534022157,0.0004997501249375312,,,,0.017041181804360227,1.0116656140713687,0.3933033483258371
0,NC1_noise_eff_frame,G01_noise,y_ppm_floor,True,11705,204,0.0006065260963897549,0.0018525913944769815,0.3273933465295987,0.026756707219926474,0.09030245228250997,0.00815453288823499,0.009373121436034278,-0.0012185885477992882,0.0,0.8699911703784703,0.02714309865368252,0.0014193537474483963,0.9857646527875835,0.5962018990504747,0.09197520086239055,0.981813047819452,0.4257871064467766,0.02714873057489416,0.9855601589221188,0.6046976511744128,,,,0.027265795046652205,0.9813287004521719,0.632183908045977
0,NC2_noise_tv_frame,G01_noise_tvframe,y_ppm_floor,True,11705,204,-0.00042945991321349764,0.0018239875964023578,-0.23545111494210075,0.028375496217451234,0.12508930839889656,0.015647335075714256,0.007323406172171993,0.008323928903542263,0.09123556819323406,2.136619860738044,0.026857560051325717,0.0014560149880830304,1.0565180218614307,0.1454272863568216,0.08527466603677361,1.466898836577717,0.046476761619190406,0.02706531300751769,1.04840820461118,0.1634182908545727,,,,0.027183551582155137,1.043848009767736,0.191904047976012
10,R01_prior_efficiency_persistence,refA_ppm_floor,y_ppm_floor,False,9666,178,0.02204199572745174,0.026944248483012242,0.8180593992572751,0.4242856417344447,0.5196905524492916,0.27007827030504994,0.27914576882004366,-0.009067498514993722,0.0,0.9675169766917039,0.37433897508831815,0.022275785766250177,1.1334263060220822,0.014992503748125937,0.5255948519697738,0.9887664433957931,0.5482258870564718,0.19252814607499524,2.2037590367133815,0.0004997501249375312,,,,0.4521172566871745,0.9384415999586877,0.8580709645177411
10,R02_opp_efg_allowed,A01_opp_efg_allowed,y_ppm_floor,False,9666,178,0.2873373012758314,0.08001850004948423,3.590885871368986,1.0947100588697367,1.6186289210271572,2.619959583985539,2.5797099751279386,0.04024960885760054,0.20062305166057198,1.0156023774942393,1.1068513438530296,0.0630508511949221,0.9890307898610592,0.5702148925537232,1.6124933871049016,1.003804997881741,0.4707646176911544,1.1017787574037234,0.9935842849696579,0.5452273863068465,1.0940275146061564,1.0006238821734077,0.47626186906546725,1.1122740669580058,0.9842089206158465,0.5997001499250375
10,R03_opp_ts_allowed,A02_opp_ts_allowed,y_ppm_floor,False,9666,178,0.3331549904671756,0.07942878131058251,4.194386278752945,1.119629143806258,1.8974095953272365,3.600163172439867,2.5908792919940917,1.0092838804457753,1.0046312161414135,1.3895526447582864,1.0990085893058164,0.06300165730665785,1.0187628692815462,0.36731634182908546,1.65475346164699,1.1466418649692558,0.053973013493253376,1.094848065122528,1.0226342626645246,0.3343328335832084,1.0942852924527295,1.023160186405067,0.3313343328335832,1.1047377116139387,1.013479608811909,0.3988005997001499
10,R04_opp_defrtg,A10_opp_defrtg,y_ppm_floor,False,9666,178,0.002109618971796018,0.000378846845328507,5.568527223624411,0.005506888117890903,0.008263654536898257,6.828798630519914e-05,6.68395079145659e-05,1.4484783906332363e-06,0.0012035274781380092,1.0216709912419564,0.005255224062328126,0.00029209268223137744,1.047888358817433,0.19990004997501248,0.008192036080563323,1.0087424488406318,0.4337831084457771,0.005221211400946199,1.0547146428303849,0.15592203898050974,0.005210975565643403,1.0567864018013224,0.15642178910544727,0.005349356385938592,1.0294487262741367,0.29535232383808097
10,R05_teammate_volume_pregame,P01_c04_prevgame,y_ppm_floor,False,9666,178,-0.0009273205319071348,0.0002164470600969822,-4.284283332338335,0.0034413315565507687,0.005226226801530494,2.7313446581035658e-05,2.7396167193964724e-05,-8.272061292906627e-08,0.0,0.996980577160907,0.002996373038046593,0.00016490984474518762,1.1484990396236694,0.0079960019990005,0.00517149285416412,1.0105837809139198,0.42278860569715143,0.0025839488411603623,1.3318110257188318,0.0004997501249375312,,,,0.0032025491581828174,1.0745601040214605,0.07846076961519241
10,R06_own_usage,O01_own_usg_pg,y_ppm_floor,False,9666,178,0.005144064250568839,0.000976793834244646,5.266274284528773,0.016567447325960195,0.051441773468383925,0.0026462560575725284,0.002813213022447772,-0.00016695696487524373,0.0,0.9406525693066874,0.013664559248164695,0.0007785620103243912,1.2124392031294673,0.0009995002498750624,0.05202593967994919,0.9887716355502868,0.5057471264367817,0.004761028138883549,3.479804538572886,0.0004997501249375312,,,,0.015678244343283337,1.056715724235909,0.12393803098450774
10,NC1_noise_eff_frame,G01_noise,y_ppm_floor,True,9666,178,-0.00021698430902818621,0.0018965789870055297,-0.11440826378171487,0.024866795482414574,0.03694813504151458,0.001365164683045998,0.00135742161921901,7.743063826987908e-06,0.0027826361291027448,1.0057042437790573,0.026106106944263997,0.0014510596741592369,0.952527909868165,0.8025987006496752,0.03677660849365994,1.0046640121229289,0.4577711144427786,0.026015967875757176,0.9558281898705198,0.7831084457771115,,,,0.025644499885630844,0.9696736373614354,0.7161419290354822
10,NC2_noise_tv_frame,G01_noise_tvframe,y_ppm_floor,True,9666,178,0.0005709841284484447,0.0018713190149417423,0.3051238852859198,0.026787103439612603,0.04177502383172765,0.0017451526161414135,0.0013482492151925222,0.0003969034009488914,0.01992243461399463,1.2943842996357435,0.02585196752211967,0.001505232412393522,1.036172717480509,0.2673663168415792,0.03717634264898608,1.1236991283989846,0.07146426786606697,0.02591599197178165,1.0336128931039743,0.2723638180909545,,,,0.025824831569344012,1.0372614964664815,0.25537231384307846
15,R01_prior_efficiency_persistence,refA_ppm_floor,y_ppm_floor,False,8242,155,-0.010689165733668182,0.028516991566970133,-0.37483497193473003,0.3962206957428736,0.5672279969226893,0.3217476004929265,0.2850439912761474,0.03670360921677912,0.19158186035420766,1.1287647182193048,0.3675440691296543,0.022175907759373115,1.0780222809230078,0.10344827586206896,0.537029237459029,1.056232989485911,0.2368815592203898,0.19484870297946463,2.03347874368264,0.0004997501249375312,,,,0.4434297683407324,0.8935365282883236,0.9505247376311844
15,R02_opp_efg_allowed,A01_opp_efg_allowed,y_ppm_floor,False,8242,155,0.2981860969634517,0.08554511108249449,3.48571757275409,1.0358831491036034,1.3087537020009592,1.7128362525012157,2.6656041667026478,-0.952767914201432,0.0,0.6425696185116615,1.0987639227420136,0.06498851070686709,0.9427713521194903,0.8315842078960519,1.5985613616538685,0.818707203486343,0.984007996001999,1.0930773011615564,0.947676022549205,0.8010994502748626,1.0818511062363645,0.9575099042116079,0.7531234382808596,1.1112905114118121,0.9321443299174674,0.8810594702648675
